,WORD
0,afraid_ADJ
1,angry_ADJ
2,anxious_ADJ
3,attractive_ADJ
4,available_ADJ
5,awful_ADJ
6,bad_ADJ
7,bare_ADJ
8,beautiful_ADJ
9,bitter_ADJ
10,black_ADJ
11,blind_ADJ
12,bloody_ADJ
13,blue_ADJ
14,bright_ADJ
15,brilliant_ADJ
16,broken_ADJ
17,calm_ADJ
18,cheap_ADJ
19,clean_ADJ
20,clear_ADJ
21,cold_ADJ
22,comfortable_ADJ
23,complex_ADJ
24,complicated_ADJ
25,conservative_ADJ
26,cool_ADJ
27,correct_ADJ
28,crazy_ADJ
29,critical_ADJ
30,curious_ADJ
31,dangerous_ADJ
32,dark_ADJ
33,dead_ADJ
34,decent_ADJ
35,delicate_ADJ
36,desperate_ADJ
37,difficult_ADJ
38,dirty_ADJ
39,dramatic_ADJ
40,drunk_ADJ
41,dull_ADJ
42,eager_ADJ
43,easy_ADJ
44,effective_ADJ
45,enormous_ADJ
46,evil_ADJ
47,excellent_ADJ
48,expensive_ADJ
49,extraordinary_ADJ
50,fair_ADJ
51,false_ADJ
52,famous_ADJ
53,fast_ADJ
54,fat_ADJ
55,fine_ADJ
56,firm_ADJ
57,flat_ADJ
58,free_ADJ
59,fresh_ADJ
60,gentle_ADJ
61,glad_ADJ
62,good_ADJ
63,grand_ADJ
64,great_ADJ
65,guilty_ADJ
66,handsome_ADJ
67,happy_ADJ
68,hard_ADJ
69,healthy_ADJ
70,honest_ADJ
71,hot_ADJ
72,ill_ADJ
73,important_ADJ
74,impossible_ADJ
75,individual_ADJ
76,intense_ADJ
77,interesting_ADJ
78,kind_ADJ
79,like_ADJ
80,loud_ADJ
81,lovely_ADJ
82,lucky_ADJ
83,mad_ADJ
84,modern_ADJ
85,nervous_ADJ
86,odd_ADJ
87,open_ADJ
88,pale_ADJ
89,patient_ADJ
90,pleasant_ADJ
91,poor_ADJ
92,popular_ADJ
93,positive_ADJ
94,powerful_ADJ
95,pretty_ADJ
96,proper_ADJ
97,proud_ADJ
98,pure_ADJ
99,quick_ADJ
100,quiet_ADJ
101,radical_ADJ
102,rapid_ADJ
103,ready_ADJ
104,reasonable_ADJ
105,remarkable_ADJ
106,responsible_ADJ
107,rich_ADJ
108,right_ADJ
109,rough_ADJ
110,sad_ADJ
111,safe_ADJ
112,sensitive_ADJ
113,severe_ADJ
114,sharp_ADJ
115,sick_ADJ
116,significant_ADJ
117,silent_ADJ
118,silly_ADJ
119,slow_ADJ
120,smooth_ADJ
121,soft_ADJ
122,solid_ADJ
123,sorry_ADJ
124,steady_ADJ
125,strange_ADJ
126,strong_ADJ
127,stupid_ADJ
128,successful_ADJ
129,supreme_ADJ
130,sweet_ADJ
131,terrible_ADJ
132,thin_ADJ
133,tired_ADJ
134,tough_ADJ
135,unable_ADJ
136,unknown_ADJ
137,unusual_ADJ
138,useful_ADJ
139,valuable_ADJ
140,violent_ADJ
141,warm_ADJ
142,weak_ADJ
143,well_ADJ
144,wild_ADJ
145,wonderful_ADJ
146,wrong_ADJ
