,WORD
0,ansvarlig_ADJ
1,avgjørende_ADJ
2,avhengig_ADJ
3,begrenset_ADJ
4,bestemt_ADJ
5,betydelig_ADJ
6,dårlig_ADJ
7,død_ADJ
8,effektiv_ADJ
9,enkel_ADJ
10,enkelt_ADJ
11,fast_ADJ
12,full_ADJ
13,gammel_ADJ
14,god_ADJ
15,hensiktsmessig_ADJ
16,jevn_ADJ
17,kjent_ADJ
18,klar_ADJ
19,lav_ADJ
20,lett_ADJ
21,liten_ADJ
22,moderne_ADJ
23,ny_ADJ
24,nøyaktig_ADJ
25,omfattende_ADJ
26,ordinær_ADJ
27,praktisk_ADJ
28,prinsipiell_ADJ
29,rasjonell_ADJ
30,rask_ADJ
31,ren_ADJ
32,rett_ADJ
33,rik_ADJ
34,riktig_ADJ
35,rimelig_ADJ
36,sein_ADJ
37,selvsagt_ADJ
38,sen_ADJ
39,sikker_ADJ
40,sosial_ADJ
41,sterk_ADJ
42,stor_ADJ
43,svak_ADJ
44,særskilt_ADJ
45,tilstrekkelig_ADJ
46,tung_ADJ
47,tydelig_ADJ
48,ulik_ADJ
49,usikker_ADJ
50,vanskelig_ADJ
51,vesentlig_ADJ
52,vid_ADJ
53,viktig_ADJ
54,åpen_ADJ
55,økonomisk_ADJ
56,ønskelig_ADJ
