,WORD
0,absolutt_ADJ
1,aggressiv_ADJ
2,akutt_ADJ
3,allsidig_ADJ
4,alvorlig_ADJ
5,anselig_ADJ
6,anstrengende_ADJ
7,anstrengt_ADJ
8,ansvarlig_ADJ
9,arbeidsledig_ADJ
10,arbeidsløs_ADJ
11,asosial_ADJ
12,attraktiv_ADJ
13,autentisk_ADJ
14,autoritær_ADJ
15,avbrutt_ADJ
16,avgjørende_ADJ
17,avhengig_ADJ
18,avvikende_ADJ
19,banebrytende_ADJ
20,bedre_ADJ
21,begavet_ADJ
22,begrenset_ADJ
23,behagelig_ADJ
24,beklagelig_ADJ
25,bemerkelsesverdig_ADJ
26,berømt_ADJ
27,besatt_ADJ
28,beskjeden_ADJ
29,bestemt_ADJ
30,besværlig_ADJ
31,betrodd_ADJ
32,betydelig_ADJ
33,betydningsfull_ADJ
34,bevisstløs_ADJ
35,billig_ADJ
36,bitter_ADJ
37,blid_ADJ
38,blind_ADJ
39,blinde_ADJ
40,blodig_ADJ
41,blomstrende_ADJ
42,bløt_ADJ
43,bra_ADJ
44,brakk_ADJ
45,bratt_ADJ
46,brukbar_ADJ
47,brukervennlig_ADJ
48,brutal_ADJ
49,brå_ADJ
50,bærekraftig_ADJ
51,dagligdags_ADJ
52,defekt_ADJ
53,deilig_ADJ
54,destruktiv_ADJ
55,diffus_ADJ
56,diplomatisk_ADJ
57,dominerende_ADJ
58,drastisk_ADJ
59,driftig_ADJ
60,dristig_ADJ
61,dum_ADJ
62,dyktig_ADJ
63,dynamisk_ADJ
64,dyp_ADJ
65,dyr_ADJ
66,dyster_ADJ
67,dårlig_ADJ
68,død_ADJ
69,døde_ADJ
70,dødelig_ADJ
71,døv_ADJ
72,edel_ADJ
73,effektiv_ADJ
74,eksepsjonell_ADJ
75,eksklusiv_ADJ
76,eksplosiv_ADJ
77,ekstra_ADJ
78,ekstraordinær_ADJ
79,ekte_ADJ
80,elendig_ADJ
81,energisk_ADJ
82,enestående_ADJ
83,engstelig_ADJ
84,enkel_ADJ
85,enkelt_ADJ
86,ensidig_ADJ
87,ensom_ADJ
88,entydig_ADJ
89,erfaren_ADJ
90,ervervet_ADJ
91,etisk_ADJ
92,evig_ADJ
93,fagmessig_ADJ
94,falsk_ADJ
95,fantasifull_ADJ
96,fantastisk_ADJ
97,farefull_ADJ
98,faretruende_ADJ
99,farlig_ADJ
100,fast_ADJ
101,fastsatt_ADJ
102,fattig_ADJ
103,feilaktig_ADJ
104,fersk_ADJ
105,festlig_ADJ
106,fet_ADJ
107,fett_ADJ
108,fiendtlig_ADJ
109,fiktiv_ADJ
110,fin_ADJ
111,fjerne_ADJ
112,fleksibel_ADJ
113,flink_ADJ
114,flittig_ADJ
115,flott_ADJ
116,flyktig_ADJ
117,flytende_ADJ
118,forbedret_ADJ
119,forbudt_ADJ
120,fordelaktig_ADJ
121,forenklet_ADJ
122,forestående_ADJ
123,forferdelig_ADJ
124,forgjeves_ADJ
125,fornuftig_ADJ
126,fornærmet_ADJ
127,fornøyd_ADJ
128,forsiktig_ADJ
129,forståelig_ADJ
130,forsvarlig_ADJ
131,forsømt_ADJ
132,fortjent_ADJ
133,foruroligende_ADJ
134,fragmentarisk_ADJ
135,fraværende_ADJ
136,fredelig_ADJ
137,fredsbevarende_ADJ
138,fremmed_ADJ
139,fremragende_ADJ
140,fremtredende_ADJ
141,frigjort_ADJ
142,frisk_ADJ
143,fristende_ADJ
144,frodig_ADJ
145,frossen_ADJ
146,fruktbar_ADJ
147,fuktig_ADJ
148,full_ADJ
149,funksjonshemmet_ADJ
150,følsom_ADJ
151,gal_ADJ
152,gammel_ADJ
153,gammeldags_ADJ
154,gift_ADJ
155,giftig_ADJ
156,givende_ADJ
157,gjeld_ADJ
158,glad_ADJ
159,glatt_ADJ
160,gledelig_ADJ
161,glimrende_ADJ
162,god_ADJ
163,godkjent_ADJ
164,godtroende_ADJ
165,grov_ADJ
166,grusom_ADJ
167,gunstig_ADJ
168,hard_ADJ
169,harmonisk_ADJ
170,hederlig_ADJ
171,heftig_ADJ
172,hektisk_ADJ
173,heldig_ADJ
174,hellig_ADJ
175,helt_ADJ
176,hensiktsmessig_ADJ
177,hensynsløs_ADJ
178,herlig_ADJ
179,hjelpeløs_ADJ
180,hjertelig_ADJ
181,holdbar_ADJ
182,humoristisk_ADJ
183,hyggelig_ADJ
184,håpløs_ADJ
185,høytidelig_ADJ
186,ideell_ADJ
187,ille_ADJ
188,illusorisk_ADJ
189,inaktiv_ADJ
190,indirekte_ADJ
191,ineffektiv_ADJ
192,inhabil_ADJ
193,inkonsekvent_ADJ
194,innsiktsfull_ADJ
195,inntektsgivende_ADJ
196,insolvent_ADJ
197,intelligent_ADJ
198,intens_ADJ
199,interessant_ADJ
200,irrasjonell_ADJ
201,irrelevant_ADJ
202,ivrig_ADJ
203,iøynefallende_ADJ
204,jevn_ADJ
205,kald_ADJ
206,katastrofal_ADJ
207,kjedelig_ADJ
208,kjent_ADJ
209,kjærlig_ADJ
210,kjølig_ADJ
211,klar_ADJ
212,klok_ADJ
213,knapp_ADJ
214,kompakt_ADJ
215,kompetent_ADJ
216,komplisert_ADJ
217,kongelig_ADJ
218,konkurransedyktig_ADJ
219,konkurs_ADJ
220,konsekvent_ADJ
221,konservativ_ADJ
222,konsis_ADJ
223,konstant_ADJ
224,konstruktiv_ADJ
225,kontroversiell_ADJ
226,kooperativ_ADJ
227,korrekt_ADJ
228,kortsiktig_ADJ
229,koselig_ADJ
230,kostbar_ADJ
231,kraftig_ADJ
232,kriminell_ADJ
233,kritisk_ADJ
234,kronisk_ADJ
235,kul_ADJ
236,kunstig_ADJ
237,kyndig_ADJ
238,langsom_ADJ
239,langvarig_ADJ
240,late_ADJ
241,latent_ADJ
242,lav_ADJ
243,lei_ADJ
244,leselig_ADJ
245,lett_ADJ
246,levende_ADJ
247,like_ADJ
248,likegyldig_ADJ
249,liten_ADJ
250,livlig_ADJ
251,livsfarlig_ADJ
252,logisk_ADJ
253,lojal_ADJ
254,lovlig_ADJ
255,lykkelig_ADJ
256,lyrisk_ADJ
257,lys_ADJ
258,lyst_ADJ
259,lønnet_ADJ
260,løs_ADJ
261,mager_ADJ
262,magisk_ADJ
263,mangelfull_ADJ
