,WORD
0,12_ADJ
1,22_ADJ
2,29_ADJ
3,30_ADJ
4,ab_ADJ
5,abandon_ADJ
6,abandone_ADJ
7,abandoned_ADJ
8,abbasid_ADJ
9,abbey_ADJ
10,abbreviate_ADJ
11,abdominal_ADJ
12,abdul_ADJ
13,aberrant_ADJ
14,abhor_ADJ
15,abide_ADJ
16,abiding_ADJ
17,abietic_ADJ
18,abject_ADJ
19,abl_ADJ
20,ablaze_ADJ
21,able_ADJ
22,abm_ADJ
23,aboard_ADJ
24,abolish_ADJ
25,abolitionist_ADJ
26,aboriginal_ADJ
27,aboveboard_ADJ
28,abroad_ADJ
29,absentminded_ADJ
30,absolute_ADJ
31,absolutely_ADJ
32,absor_ADJ
33,absorb_ADJ
34,absorbent_ADJ
35,abstract_ADJ
36,abuse_ADJ
37,ac_ADJ
38,academic_ADJ
39,academical_ADJ
40,academy_ADJ
41,accelerat_ADJ
42,accelerate_ADJ
43,accent_ADJ
44,accept_ADJ
45,acceptable_ADJ
46,accident_ADJ
47,accommodate_ADJ
48,accompany_ADJ
49,accomplish_ADJ
50,accomplished_ADJ
51,account_ADJ
52,accountable_ADJ
53,accredit_ADJ
54,accumulat_ADJ
55,accumulate_ADJ
56,accuse_ADJ
57,accusing_ADJ
58,accustom_ADJ
59,accustomed_ADJ
60,acetic_ADJ
61,ach_ADJ
62,achieve_ADJ
63,acid_ADJ
64,acidic_ADJ
65,ackerman_ADJ
66,acknowledge_ADJ
67,acknowledged_ADJ
68,acme_ADJ
69,acoustic_ADJ
70,acoustical_ADJ
71,acquaint_ADJ
72,acquir_ADJ
73,acquire_ADJ
74,acquired_ADJ
75,acquisitive_ADJ
76,acquittal_ADJ
77,acre_ADJ
78,acrobatic_ADJ
79,act_ADJ
80,activat_ADJ
81,active_ADJ
82,activist_ADJ
83,actor_ADJ
84,actress_ADJ
85,actual_ADJ
86,actuarial_ADJ
87,acy_ADJ
88,acyclic_ADJ
89,ad_ADJ
90,adapt_ADJ
91,adaptable_ADJ
92,adapted_ADJ
93,adaptive_ADJ
94,add_ADJ
95,added_ADJ
96,addict_ADJ
97,additional_ADJ
98,additive_ADJ
99,address_ADJ
100,adele_ADJ
101,adenauer_ADJ
102,adenoidal_ADJ
103,adhesive_ADJ
104,adjacent_ADJ
105,adjective_ADJ
106,adjoin_ADJ
107,adjust_ADJ
108,adjustable_ADJ
109,adjusted_ADJ
110,adjutant_ADJ
111,administer_ADJ
112,administrative_ADJ
113,admir_ADJ
114,admiral_ADJ
115,admire_ADJ
116,admired_ADJ
117,admissible_ADJ
118,admit_ADJ
119,admitt_ADJ
120,admitted_ADJ
121,admonish_ADJ
122,adolescent_ADJ
123,adopt_ADJ
124,adoptive_ADJ
125,ador_ADJ
126,adore_ADJ
127,adrenal_ADJ
128,adrian_ADJ
129,adriatic_ADJ
130,adult_ADJ
131,adversary_ADJ
132,advertis_ADJ
133,advertise_ADJ
134,advertised_ADJ
135,advertising_ADJ
136,advisable_ADJ
137,advise_ADJ
138,advisory_ADJ
139,advocate_ADJ
140,aec_ADJ
141,aeolian_ADJ
142,aerate_ADJ
143,aerial_ADJ
144,aerobic_ADJ
145,aerodynamic_ADJ
146,aeronautical_ADJ
147,aesthetic_ADJ
148,affect_ADJ
149,affectional_ADJ
150,affective_ADJ
151,afferent_ADJ
152,affiliate_ADJ
153,affinal_ADJ
154,affirm_ADJ
155,afflict_ADJ
156,afford_ADJ
157,affront_ADJ
158,afghan_ADJ
159,afield_ADJ
160,afire_ADJ
161,afloat_ADJ
162,aflome_ADJ
163,aforementioned_ADJ
164,afray_ADJ
165,afresh_ADJ
166,african_ADJ
167,afroamerican_ADJ
168,aft_ADJ
169,after_ADJ
170,against_ADJ
171,agate_ADJ
172,age_ADJ
173,aged_ADJ
174,ageless_ADJ
175,agent_ADJ
176,aggravate_ADJ
177,aggrieve_ADJ
178,agitate_ADJ
179,agnew_ADJ
180,agnostic_ADJ
181,agonize_ADJ
182,agony_ADJ
183,agrarian_ADJ
184,agreable_ADJ
185,agree_ADJ
186,agreed_ADJ
187,agreement_ADJ
188,agricultural_ADJ
189,agriculture_ADJ
190,agronomic_ADJ
191,ah_ADJ
192,ahalf_ADJ
193,ahead_ADJ
194,ahmad_ADJ
195,ahmed_ADJ
196,ai_ADJ
197,aid_ADJ
198,aided_ADJ
199,ail_ADJ
200,ailanthus_ADJ
201,aile_ADJ
202,aim_ADJ
203,air_ADJ
204,airborne_ADJ
205,aircraft_ADJ
206,airless_ADJ
207,airline_ADJ
208,airman_ADJ
209,airplane_ADJ
210,airworthy_ADJ
211,ajar_ADJ
212,al_ADJ
213,alabaster_ADJ
214,alan_ADJ
215,alarm_ADJ
216,alaskan_ADJ
217,albanian_ADJ
218,albany_ADJ
219,albert_ADJ
220,alcohol_ADJ
221,alcoholic_ADJ
222,ald_ADJ
223,ale_ADJ
224,alec_ADJ
225,alert_ADJ
226,alescent_ADJ
227,aleutian_ADJ
228,alexander_ADJ
229,alexandrian_ADJ
230,alf_ADJ
231,alfr_ADJ
232,alfred_ADJ
233,algebraic_ADJ
234,algerian_ADJ
235,alien_ADJ
236,alienate_ADJ
237,aligned_ADJ
238,aliphatic_ADJ
239,alive_ADJ
240,alkali_ADJ
241,alkaline_ADJ
242,all_ADJ
243,allah_ADJ
244,allege_ADJ
245,alleged_ADJ
246,allegheny_ADJ
247,allegorical_ADJ
248,allen_ADJ
249,allied_ADJ
250,alliterative_ADJ
251,allocate_ADJ
252,allot_ADJ
253,allotted_ADJ
254,allow_ADJ
255,allowable_ADJ
256,allusive_ADJ
257,alluvial_ADJ
258,allwhite_ADJ
259,ally_ADJ
260,almond_ADJ
261,almost_ADJ
262,alone_ADJ
263,aloud_ADJ
264,alphabetic_ADJ
265,alphabetical_ADJ
266,alpine_ADJ
267,already_ADJ
268,alsatian_ADJ
269,altar_ADJ
270,alter_ADJ
271,alternat_ADJ
272,alternate_ADJ
273,alternative_ADJ
274,although_ADJ
275,altitude_ADJ
276,altitudinal_ADJ
277,aluminum_ADJ
278,alumni_ADJ
279,amalgamate_ADJ
280,amaze_ADJ
281,ambassador_ADJ
282,ambassadorial_ADJ
283,amber_ADJ
284,ambidextrous_ADJ
285,ambrosial_ADJ
286,ambulatory_ADJ
287,ambush_ADJ
288,amended_ADJ
289,amer_ADJ
290,americal_ADJ
291,american_ADJ
292,amerindian_ADJ
293,amherst_ADJ
294,amicus_ADJ
295,amid_ADJ
296,amish_ADJ
297,ammonium_ADJ
298,amo_ADJ
299,among_ADJ
300,amoral_ADJ
301,amorous_ADJ
302,amorphous_ADJ
303,amos_ADJ
304,amphibian_ADJ
305,amphibious_ADJ
306,amplify_ADJ
307,amputate_ADJ
308,amuse_ADJ
309,amused_ADJ
310,amy_ADJ
311,an_ADJ
