,WORD
0,12_ADJ
1,22_ADJ
2,29_ADJ
3,30_ADJ
4,abandon_ADJ
5,able_ADJ
6,abroad_ADJ
7,absolute_ADJ
8,abstract_ADJ
9,academic_ADJ
10,accept_ADJ
11,acceptable_ADJ
12,acid_ADJ
13,act_ADJ
14,active_ADJ
15,actual_ADJ
16,ad_ADJ
17,add_ADJ
18,added_ADJ
19,additional_ADJ
20,adjacent_ADJ
21,adjoin_ADJ
22,administrative_ADJ
23,admiral_ADJ
24,adolescent_ADJ
25,adult_ADJ
26,advertise_ADJ
27,advisory_ADJ
28,aerial_ADJ
29,aesthetic_ADJ
30,afford_ADJ
31,afray_ADJ
32,african_ADJ
33,age_ADJ
34,aged_ADJ
35,agricultural_ADJ
36,ahead_ADJ
37,ai_ADJ
38,al_ADJ
39,alarm_ADJ
40,alert_ADJ
41,alexander_ADJ
42,alfred_ADJ
43,algerian_ADJ
44,alien_ADJ
45,alive_ADJ
46,alleged_ADJ
47,ally_ADJ
48,alone_ADJ
49,alternative_ADJ
50,american_ADJ
51,an_ADJ
52,ancient_ADJ
53,animal_ADJ
54,announce_ADJ
55,annual_ADJ
56,anonymous_ADJ
57,another_ADJ
58,answer_ADJ
59,anti_ADJ
60,antitrust_ADJ
61,apparent_ADJ
62,applicable_ADJ
63,appoint_ADJ
64,appropriate_ADJ
65,arc_ADJ
66,architectural_ADJ
67,arctic_ADJ
68,aristocratic_ADJ
69,arm_ADJ
70,armed_ADJ
71,armore_ADJ
72,army_ADJ
73,arrest_ADJ
74,artificial_ADJ
75,artistic_ADJ
76,ashame_ADJ
77,asian_ADJ
78,ask_ADJ
79,assistant_ADJ
80,associate_ADJ
81,athletic_ADJ
82,atlantic_ADJ
83,atmospheric_ADJ
84,atomic_ADJ
85,august_ADJ
86,australian_ADJ
87,automatic_ADJ
88,awake_ADJ
89,aware_ADJ
90,baby_ADJ
91,bacterial_ADJ
92,bald_ADJ
93,ballistic_ADJ
94,ban_ADJ
95,bank_ADJ
96,bar_ADJ
97,bargain_ADJ
98,base_ADJ
99,basic_ADJ
100,bathe_ADJ
101,batter_ADJ
102,battle_ADJ
103,be_ADJ
104,bear_ADJ
105,become_ADJ
106,behavioral_ADJ
107,belgian_ADJ
108,better_ADJ
109,between_ADJ
110,bible_ADJ
111,biblical_ADJ
112,big_ADJ
113,bill_ADJ
114,biological_ADJ
115,bird_ADJ
116,birth_ADJ
117,bit_ADJ
118,blame_ADJ
119,blank_ADJ
120,blast_ADJ
121,bless_ADJ
122,bloc_ADJ
123,block_ADJ
124,blond_ADJ
125,blood_ADJ
126,blow_ADJ
127,blown_ADJ
128,body_ADJ
129,boile_ADJ
130,bold_ADJ
131,bomb_ADJ
132,bond_ADJ
133,bony_ADJ
134,border_ADJ
135,bore_ADJ
136,born_ADJ
137,both_ADJ
138,bourgeois_ADJ
139,boyd_ADJ
140,boyish_ADJ
141,break_ADJ
142,breathless_ADJ
143,breed_ADJ
144,brick_ADJ
145,brief_ADJ
146,british_ADJ
147,broad_ADJ
148,broadcast_ADJ
149,broadcasting_ADJ
150,brown_ADJ
151,bud_ADJ
152,buddhist_ADJ
153,bull_ADJ
154,bureaucratic_ADJ
155,burn_ADJ
156,burning_ADJ
157,bus_ADJ
158,busy_ADJ
159,buy_ADJ
160,cable_ADJ
161,cal_ADJ
162,call_ADJ
163,camera_ADJ
164,campaign_ADJ
165,campus_ADJ
166,can_ADJ
167,canadian_ADJ
168,canal_ADJ
169,canned_ADJ
170,capital_ADJ
171,captain_ADJ
172,cardinal_ADJ
173,careful_ADJ
174,cast_ADJ
175,casual_ADJ
176,cathedral_ADJ
177,catholic_ADJ
178,cattle_ADJ
179,cautious_ADJ
180,celebrate_ADJ
181,cent_ADJ
182,center_ADJ
183,central_ADJ
184,century_ADJ
185,ceremonial_ADJ
186,certain_ADJ
187,chairman_ADJ
188,characteristic_ADJ
189,charming_ADJ
190,check_ADJ
191,chemical_ADJ
192,chief_ADJ
193,chill_ADJ
194,chinese_ADJ
195,chinis_ADJ
196,chose_ADJ
197,christ_ADJ
198,christian_ADJ
199,church_ADJ
200,circular_ADJ
201,civic_ADJ
202,civil_ADJ
203,civilian_ADJ
204,civilized_ADJ
205,clad_ADJ
206,classic_ADJ
207,classical_ADJ
208,clerical_ADJ
209,clinical_ADJ
210,clock_ADJ
211,close_ADJ
212,closed_ADJ
213,closer_ADJ
214,cloud_ADJ
215,coal_ADJ
216,coast_ADJ
217,coastal_ADJ
218,collective_ADJ
219,college_ADJ
220,colonial_ADJ
221,color_ADJ
222,colore_ADJ
223,com_ADJ
224,combat_ADJ
225,combined_ADJ
226,comic_ADJ
227,command_ADJ
228,commercial_ADJ
229,common_ADJ
230,communist_ADJ
231,company_ADJ
232,comparable_ADJ
233,comparative_ADJ
234,competent_ADJ
235,complete_ADJ
236,compulsory_ADJ
237,conceivable_ADJ
238,concentrate_ADJ
239,concern_ADJ
240,concrete_ADJ
241,confidential_ADJ
242,confuse_ADJ
243,congress_ADJ
244,congressional_ADJ
245,conscientious_ADJ
246,conscious_ADJ
247,consecutive_ADJ
248,consider_ADJ
249,considerable_ADJ
250,constant_ADJ
251,constitutional_ADJ
252,consum_ADJ
253,contemporary_ADJ
254,content_ADJ
255,continental_ADJ
256,continue_ADJ
257,continued_ADJ
258,continuing_ADJ
259,continuous_ADJ
260,control_ADJ
261,conventional_ADJ
262,convince_ADJ
263,cook_ADJ
264,copper_ADJ
265,cor_ADJ
266,coral_ADJ
267,core_ADJ
268,corn_ADJ
269,corner_ADJ
270,corporate_ADJ
271,correspond_ADJ
272,cosmic_ADJ
273,cost_ADJ
274,council_ADJ
275,countless_ADJ
276,county_ADJ
277,crack_ADJ
278,crash_ADJ
279,crime_ADJ
280,criminal_ADJ
281,crimson_ADJ
282,cripple_ADJ
283,crop_ADJ
284,cross_ADJ
285,crowd_ADJ
286,crown_ADJ
287,crucial_ADJ
288,crush_ADJ
289,cry_ADJ
290,crystal_ADJ
291,cuban_ADJ
292,cultivate_ADJ
293,cultural_ADJ
294,current_ADJ
295,curve_ADJ
296,customary_ADJ
297,cut_ADJ
298,daddy_ADJ
299,daily_ADJ
300,dairy_ADJ
301,damp_ADJ
302,darken_ADJ
303,date_ADJ
304,dazzle_ADJ
305,de_ADJ
306,dear_ADJ
307,declare_ADJ
308,dedicate_ADJ
309,deep_ADJ
310,defense_ADJ
311,define_ADJ
312,definite_ADJ
313,degree_ADJ
314,delay_ADJ
315,deliberate_ADJ
316,democratic_ADJ
317,dental_ADJ
318,dependent_ADJ
319,desert_ADJ
320,desired_ADJ
321,despite_ADJ
322,detail_ADJ
323,detailed_ADJ
324,determine_ADJ
325,determined_ADJ
326,develop_ADJ
327,diamond_ADJ
328,die_ADJ
329,different_ADJ
330,differential_ADJ
