,WORD
0,12_ADJ
1,22_ADJ
2,29_ADJ
3,30_ADJ
4,abandon_ADJ
5,able_ADJ
6,abroad_ADJ
7,absolute_ADJ
8,abstract_ADJ
9,academic_ADJ
10,accept_ADJ
11,acceptable_ADJ
12,acid_ADJ
13,act_ADJ
14,active_ADJ
15,actual_ADJ
16,ad_ADJ
17,add_ADJ
18,added_ADJ
19,additional_ADJ
20,adjacent_ADJ
21,administrative_ADJ
22,adult_ADJ
23,advertise_ADJ
24,aesthetic_ADJ
25,afford_ADJ
26,african_ADJ
27,age_ADJ
28,aged_ADJ
29,agricultural_ADJ
30,ahead_ADJ
31,ai_ADJ
32,al_ADJ
33,alarm_ADJ
34,alert_ADJ
35,alien_ADJ
36,alive_ADJ
37,alleged_ADJ
38,alone_ADJ
39,alternative_ADJ
40,american_ADJ
41,an_ADJ
42,ancient_ADJ
43,animal_ADJ
44,annual_ADJ
45,anonymous_ADJ
46,another_ADJ
47,answer_ADJ
48,anti_ADJ
49,apparent_ADJ
50,appoint_ADJ
51,appropriate_ADJ
52,architectural_ADJ
53,arctic_ADJ
54,arm_ADJ
55,armed_ADJ
56,army_ADJ
57,artificial_ADJ
58,artistic_ADJ
59,ashame_ADJ
60,asian_ADJ
61,ask_ADJ
62,associate_ADJ
63,athletic_ADJ
64,atlantic_ADJ
65,atomic_ADJ
66,august_ADJ
67,australian_ADJ
68,automatic_ADJ
69,awake_ADJ
70,aware_ADJ
71,baby_ADJ
72,bald_ADJ
73,bank_ADJ
74,bar_ADJ
75,base_ADJ
76,basic_ADJ
77,bathe_ADJ
78,batter_ADJ
79,battle_ADJ
80,be_ADJ
81,bear_ADJ
82,become_ADJ
83,better_ADJ
84,between_ADJ
85,bible_ADJ
86,biblical_ADJ
87,big_ADJ
88,bill_ADJ
89,biological_ADJ
90,bird_ADJ
91,birth_ADJ
92,bit_ADJ
93,blame_ADJ
94,blank_ADJ
95,blast_ADJ
96,bless_ADJ
97,block_ADJ
98,blond_ADJ
99,blood_ADJ
100,blow_ADJ
101,body_ADJ
102,boile_ADJ
103,bold_ADJ
104,bomb_ADJ
105,bond_ADJ
106,bony_ADJ
107,border_ADJ
108,bore_ADJ
109,born_ADJ
110,both_ADJ
111,break_ADJ
112,breathless_ADJ
113,brick_ADJ
114,brief_ADJ
115,british_ADJ
116,broad_ADJ
117,broadcast_ADJ
118,brown_ADJ
119,bud_ADJ
120,bull_ADJ
121,bureaucratic_ADJ
122,burn_ADJ
123,bus_ADJ
124,busy_ADJ
125,buy_ADJ
126,cable_ADJ
127,cal_ADJ
128,call_ADJ
129,campaign_ADJ
130,canadian_ADJ
131,capital_ADJ
132,cardinal_ADJ
133,careful_ADJ
134,cast_ADJ
135,casual_ADJ
136,catholic_ADJ
137,cattle_ADJ
138,cautious_ADJ
139,celebrate_ADJ
140,center_ADJ
141,central_ADJ
142,century_ADJ
143,ceremonial_ADJ
144,certain_ADJ
145,characteristic_ADJ
146,charming_ADJ
147,chemical_ADJ
148,chief_ADJ
149,chinese_ADJ
150,chinis_ADJ
151,chose_ADJ
152,christian_ADJ
153,circular_ADJ
154,civic_ADJ
155,civil_ADJ
156,civilian_ADJ
157,civilized_ADJ
158,clad_ADJ
159,classic_ADJ
160,classical_ADJ
161,clinical_ADJ
162,clock_ADJ
163,close_ADJ
164,closed_ADJ
165,closer_ADJ
166,cloud_ADJ
167,coal_ADJ
168,coast_ADJ
169,coastal_ADJ
170,collective_ADJ
171,college_ADJ
172,colonial_ADJ
173,color_ADJ
174,com_ADJ
175,combined_ADJ
176,comic_ADJ
177,commercial_ADJ
178,common_ADJ
179,communist_ADJ
180,company_ADJ
181,comparable_ADJ
182,competent_ADJ
183,complete_ADJ
184,concentrate_ADJ
185,concern_ADJ
186,concrete_ADJ
187,confidential_ADJ
188,confuse_ADJ
189,congressional_ADJ
190,conscious_ADJ
191,consecutive_ADJ
192,consider_ADJ
193,considerable_ADJ
194,constant_ADJ
195,constitutional_ADJ
196,consum_ADJ
197,contemporary_ADJ
198,content_ADJ
199,continental_ADJ
200,continued_ADJ
201,continuous_ADJ
202,control_ADJ
203,conventional_ADJ
204,convince_ADJ
205,cook_ADJ
206,core_ADJ
207,corn_ADJ
208,corporate_ADJ
209,cosmic_ADJ
210,cost_ADJ
211,countless_ADJ
212,county_ADJ
213,crack_ADJ
214,crash_ADJ
215,crime_ADJ
216,criminal_ADJ
217,crimson_ADJ
218,cripple_ADJ
219,crop_ADJ
220,cross_ADJ
221,crowd_ADJ
222,crown_ADJ
223,crucial_ADJ
224,crush_ADJ
225,cry_ADJ
226,crystal_ADJ
227,cuban_ADJ
228,cultural_ADJ
229,current_ADJ
230,curve_ADJ
231,customary_ADJ
232,cut_ADJ
233,daily_ADJ
234,dairy_ADJ
235,damp_ADJ
236,darken_ADJ
237,date_ADJ
238,dazzle_ADJ
239,de_ADJ
240,dear_ADJ
241,dedicate_ADJ
242,deep_ADJ
243,define_ADJ
244,definite_ADJ
245,degree_ADJ
246,deliberate_ADJ
247,democratic_ADJ
248,dental_ADJ
249,dependent_ADJ
250,desert_ADJ
251,despite_ADJ
252,detailed_ADJ
253,determine_ADJ
254,determined_ADJ
255,develop_ADJ
256,diamond_ADJ
257,die_ADJ
258,different_ADJ
259,dining_ADJ
260,direct_ADJ
261,distant_ADJ
262,distinguish_ADJ
263,disturb_ADJ
264,do_ADJ
265,dog_ADJ
266,dollar_ADJ
267,domestic_ADJ
268,double_ADJ
269,down_ADJ
270,downtown_ADJ
271,dozen_ADJ
272,draw_ADJ
273,dress_ADJ
274,drink_ADJ
275,drive_ADJ
276,drug_ADJ
277,dry_ADJ
278,dual_ADJ
279,due_ADJ
280,dy_ADJ
281,earli_ADJ
282,early_ADJ
283,earn_ADJ
284,east_ADJ
285,eastern_ADJ
286,economic_ADJ
287,economy_ADJ
288,ed_ADJ
289,editorial_ADJ
290,educational_ADJ
291,egyptian_ADJ
292,eight_ADJ
293,eighteen_ADJ
294,eighth_ADJ
295,eighty_ADJ
296,elaborate_ADJ
297,elderly_ADJ
298,elect_ADJ
299,electoral_ADJ
300,electric_ADJ
301,electrical_ADJ
302,electronic_ADJ
303,elementary_ADJ
304,eligible_ADJ
305,elusive_ADJ
306,emotional_ADJ
307,empirical_ADJ
308,empty_ADJ
309,enable_ADJ
310,endless_ADJ
311,enemy_ADJ
312,english_ADJ
313,enough_ADJ
314,entire_ADJ
315,environmental_ADJ
316,equal_ADJ
317,equipment_ADJ
318,equivalent_ADJ
319,erotic_ADJ
320,escape_ADJ
321,essential_ADJ
322,establish_ADJ
323,estate_ADJ
324,estimate_ADJ
325,et_ADJ
326,etc_ADJ
327,eternal_ADJ
328,ethnic_ADJ
329,european_ADJ
330,eventual_ADJ
331,evident_ADJ
332,exact_ADJ
