,WORD
0,spawn_ADJ
1,obdurate_ADJ
2,medium_ADJ
3,titian_ADJ
4,persist_ADJ
5,wattle_ADJ
6,heating_ADJ
7,grecian_ADJ
8,likewise_ADJ
9,unofficial_ADJ
10,byrd_ADJ
11,mongoloid_ADJ
12,luminescent_ADJ
13,concurr_ADJ
14,galvanic_ADJ
15,obsess_ADJ
16,ip_ADJ
17,added_ADJ
18,editorial_ADJ
19,interamerican_ADJ
20,oxford_ADJ
21,averted_ADJ
22,franciscan_ADJ
23,spotted_ADJ
24,balance_ADJ
25,occur_ADJ
26,gardner_ADJ
27,ambidextrous_ADJ
28,textual_ADJ
29,spatiotemporal_ADJ
30,spunky_ADJ
31,account_ADJ
32,theoretical_ADJ
33,socialist_ADJ
34,nontechnical_ADJ
35,recreational_ADJ
36,yawn_ADJ
37,journey_ADJ
38,homogeneous_ADJ
39,thc_ADJ
40,empress_ADJ
41,slightest_ADJ
42,fluke_ADJ
43,skeletal_ADJ
44,blunder_ADJ
45,playwright_ADJ
46,simultaneous_ADJ
47,deny_ADJ
48,stray_ADJ
49,chamber_ADJ
50,arithmetic_ADJ
51,bupp_ADJ
52,sunbaked_ADJ
53,cambial_ADJ
54,sylvus_ADJ
55,switchbox_ADJ
56,reactive_ADJ
57,unmitigate_ADJ
58,sweeten_ADJ
59,curse_ADJ
60,nod_ADJ
61,procedural_ADJ
62,standardize_ADJ
63,cause_ADJ
64,noninflationary_ADJ
65,he_ADJ
66,pervad_ADJ
67,mutual_ADJ
68,furrowed_ADJ
69,irrigate_ADJ
70,hershey_ADJ
71,daylight_ADJ
72,sleepy_ADJ
73,gree_ADJ
74,farsight_ADJ
75,upraised_ADJ
76,descriptive_ADJ
77,teal_ADJ
78,gasp_ADJ
79,tailore_ADJ
80,sincer_ADJ
81,extremely_ADJ
82,kilowatt_ADJ
83,slip_ADJ
84,dish_ADJ
85,shaped_ADJ
86,uninterrupte_ADJ
87,certain_ADJ
88,cc_ADJ
89,exhaustive_ADJ
90,figger_ADJ
91,humped_ADJ
92,recurr_ADJ
93,decibel_ADJ
94,joint_ADJ
95,background_ADJ
96,water_ADJ
97,gelatinous_ADJ
98,sulfite_ADJ
99,seat_ADJ
100,rott_ADJ
101,bbb_ADJ
102,concupiscent_ADJ
103,intrepid_ADJ
104,goldfing_ADJ
105,makeup_ADJ
106,wilsonian_ADJ
107,issue_ADJ
108,nocturnal_ADJ
109,godly_ADJ
110,museum_ADJ
111,unhelpful_ADJ
112,arthritic_ADJ
113,singe_ADJ
114,mindful_ADJ
115,teeny_ADJ
116,rumor_ADJ
117,emil_ADJ
118,till_ADJ
119,liberate_ADJ
120,irve_ADJ
121,pelt_ADJ
122,unscientific_ADJ
123,unremarkable_ADJ
124,senate_ADJ
125,mill_ADJ
126,putty_ADJ
127,poetry_ADJ
128,cookie_ADJ
129,alkali_ADJ
130,finger_ADJ
131,sweete_ADJ
132,artillery_ADJ
133,aligned_ADJ
134,dimple_ADJ
135,largest_ADJ
136,verbatim_ADJ
137,scheduling_ADJ
138,cripple_ADJ
139,placid_ADJ
140,vanished_ADJ
141,terminal_ADJ
142,extracurricular_ADJ
143,equivalend_ADJ
144,affect_ADJ
145,meal_ADJ
146,clouded_ADJ
147,eliminate_ADJ
148,realize_ADJ
149,many_ADJ
150,ovarian_ADJ
151,crash_ADJ
152,enigmatic_ADJ
153,fighte_ADJ
154,strategy_ADJ
155,recover_ADJ
156,heate_ADJ
157,winning_ADJ
158,trifle_ADJ
159,hange_ADJ
160,erase_ADJ
161,pedagogical_ADJ
162,lldb_ADJ
163,nationalize_ADJ
164,controlle_ADJ
165,doctor_ADJ
166,immediately_ADJ
167,religious_ADJ
168,erotic_ADJ
169,broae_ADJ
170,growl_ADJ
171,president_ADJ
172,learn_ADJ
173,fallout_ADJ
174,erod_ADJ
175,weisman_ADJ
176,ore_ADJ
177,abandone_ADJ
178,bobby_ADJ
179,combat_ADJ
180,banquet_ADJ
181,terrify_ADJ
182,psi_ADJ
183,fak_ADJ
184,oligarchic_ADJ
185,sunshine_ADJ
186,mustached_ADJ
187,powell_ADJ
188,saudi_ADJ
189,gallop_ADJ
190,base_ADJ
191,currency_ADJ
192,lead_ADJ
193,israel_ADJ
194,waterless_ADJ
195,churn_ADJ
196,equine_ADJ
197,desir_ADJ
198,estate_ADJ
199,tropic_ADJ
200,waffle_ADJ
201,adriatic_ADJ
