,WORD
0,major_ADJ
1,warn_ADJ
2,expert_ADJ
3,gravitational_ADJ
4,raise_ADJ
5,bathe_ADJ
6,unofficial_ADJ
7,okay_ADJ
8,north_ADJ
9,escape_ADJ
10,favore_ADJ
11,disturb_ADJ
12,trade_ADJ
13,ideological_ADJ
14,testing_ADJ
15,half_ADJ
16,editorial_ADJ
17,light_ADJ
18,intereste_ADJ
19,eyed_ADJ
20,wet_ADJ
21,de_ADJ
22,vatican_ADJ
23,night_ADJ
24,fourteen_ADJ
25,extended_ADJ
26,lie_ADJ
27,utter_ADJ
28,socialist_ADJ
29,provincial_ADJ
30,permanent_ADJ
31,breed_ADJ
32,absolute_ADJ
33,live_ADJ
34,village_ADJ
35,slender_ADJ
36,surgical_ADJ
37,southeastern_ADJ
38,faded_ADJ
39,theoretical_ADJ
40,29_ADJ
41,strik_ADJ
42,et_ADJ
43,admiral_ADJ
44,blond_ADJ
45,yale_ADJ
46,despite_ADJ
47,supersonic_ADJ
48,provisional_ADJ
49,sixteen_ADJ
50,22_ADJ
51,nurse_ADJ
52,european_ADJ
53,emotional_ADJ
54,milk_ADJ
55,simultaneous_ADJ
56,opposite_ADJ
57,diamond_ADJ
58,stray_ADJ
59,know_ADJ
60,athletic_ADJ
61,eight_ADJ
62,only_ADJ
63,cardinal_ADJ
64,outright_ADJ
65,misse_ADJ
66,prepare_ADJ
67,round_ADJ
68,slim_ADJ
69,nationalist_ADJ
70,visual_ADJ
71,fly_ADJ
72,blame_ADJ
73,swedish_ADJ
74,30_ADJ
75,primary_ADJ
76,otherwise_ADJ
77,essential_ADJ
78,minor_ADJ
79,financial_ADJ
80,personal_ADJ
81,plump_ADJ
82,mathematical_ADJ
83,profitable_ADJ
84,bargain_ADJ
85,unmistakable_ADJ
86,indirect_ADJ
87,single_ADJ
88,cross_ADJ
89,whisper_ADJ
90,occasional_ADJ
91,straight_ADJ
92,different_ADJ
93,japanis_ADJ
94,unacceptable_ADJ
95,mutual_ADJ
96,fundamental_ADJ
97,outer_ADJ
98,crystal_ADJ
99,bud_ADJ
100,salary_ADJ
101,egyptian_ADJ
102,manufactur_ADJ
103,appropriate_ADJ
104,george_ADJ
105,date_ADJ
106,fix_ADJ
107,symbolic_ADJ
108,gary_ADJ
109,structural_ADJ
110,thick_ADJ
111,jury_ADJ
112,criminal_ADJ
113,publish_ADJ
114,vocational_ADJ
115,score_ADJ
116,industrial_ADJ
117,tall_ADJ
118,noticeable_ADJ
119,sleepy_ADJ
120,fill_ADJ
121,momentary_ADJ
122,unconscious_ADJ
123,expect_ADJ
124,want_ADJ
125,network_ADJ
126,sexual_ADJ
127,notable_ADJ
128,newspap_ADJ
129,receive_ADJ
130,canned_ADJ
131,hit_ADJ
132,freud_ADJ
133,imminent_ADJ
134,captain_ADJ
135,fifteen_ADJ
136,boile_ADJ
137,civic_ADJ
138,oval_ADJ
139,interfere_ADJ
140,olympic_ADJ
141,literary_ADJ
142,judicial_ADJ
143,private_ADJ
144,notre_ADJ
145,le_ADJ
146,goal_ADJ
147,distinguish_ADJ
148,body_ADJ
149,keep_ADJ
150,tourist_ADJ
151,organize_ADJ
152,such_ADJ
153,chinese_ADJ
154,continuous_ADJ
155,square_ADJ
156,hold_ADJ
157,operational_ADJ
158,can_ADJ
159,upper_ADJ
160,genial_ADJ
161,sixty_ADJ
162,ceremonial_ADJ
163,competent_ADJ
164,alive_ADJ
165,flight_ADJ
166,wear_ADJ
167,mild_ADJ
168,enough_ADJ
169,oral_ADJ
170,northwestern_ADJ
171,granite_ADJ
