,WORD
0,aa_ADJ
1,aabenbar_ADJ
2,aabent_ADJ
3,aandelig_ADJ
4,aar_ADJ
5,aare_ADJ
6,aarlig_ADJ
7,aat_ADJ
8,about_ADJ
9,above_ADJ
10,absen_ADJ
11,absent_ADJ
12,absorbere_ADJ
13,abstrakt_ADJ
14,accessory_ADJ
15,accidenne_ADJ
16,accident_ADJ
17,accounn_ADJ
18,account_ADJ
19,acid_ADJ
20,acie_ADJ
21,acyklisk_ADJ
22,ad_ADJ
23,adekvat_ADJ
24,adjacent_ADJ
25,adjektiv_ADJ
26,adkomst_ADJ
27,administra_ADJ
28,administrativ_ADJ
29,administrative_ADJ
30,administrere_ADJ
31,adove_ADJ
32,adskille_ADJ
33,adskillig_ADJ
34,adskilt_ADJ
35,ae_ADJ
36,ael_ADJ
37,aen_ADJ
38,aende_ADJ
39,aeromagnetisk_ADJ
40,af_ADJ
41,afdele_ADJ
42,aff_ADJ
43,afgjørende_ADJ
44,afhænde_ADJ
45,afle_ADJ
46,aflede_ADJ
47,afledes_ADJ
48,aflet_ADJ
49,afrikansk_ADJ
50,afræde_ADJ
51,afsides_ADJ
52,afslid_ADJ
53,aftale_ADJ
54,afvigende_ADJ
55,afvigt_ADJ
56,ag_ADJ
57,agains_ADJ
58,age_ADJ
59,agglomerere_ADJ
60,agnete_ADJ
61,agronomisk_ADJ
62,ai_ADJ
63,ait_ADJ
64,ajourføre_ADJ
65,ajourført_ADJ
66,ak_ADJ
67,akademisk_ADJ
68,akale_ADJ
69,akkumulere_ADJ
70,akselerere_ADJ
71,aksellererende_ADJ
72,aksentuere_ADJ
73,akseptabel_ADJ
74,akseptere_ADJ
75,aksessorisk_ADJ
76,aksjerettslig_ADJ
77,akt_ADJ
78,akte_ADJ
79,akti_ADJ
80,aktiekapital_ADJ
81,aktiekapitale_ADJ
82,aktieågar_ADJ
83,aktieågare_ADJ
84,aktig_ADJ
85,aktiv_ADJ
86,aktivere_ADJ
87,aktløs_ADJ
88,aktløst_ADJ
89,aktsom_ADJ
90,aktuell_ADJ
91,akustisk_ADJ
92,akvatisk_ADJ
93,al_ADJ
94,albit_ADJ
95,albitisere_ADJ
96,albitrik_ADJ
97,aldrig_ADJ
98,alfabetisk_ADJ
99,alfar_ADJ
100,alginsyre_ADJ
101,alis_ADJ
102,alkoholfri_ADJ
103,alkoholholdig_ADJ
104,all_ADJ
105,allerecl_ADJ
106,allerfl_ADJ
107,allernaadig_ADJ
108,allernaadigst_ADJ
109,alliert_ADJ
110,allmene_ADJ
111,allmenn_ADJ
112,allmenndannande_ADJ
113,allmenndannende_ADJ
114,allmennpraktiserende_ADJ
115,allmennpraktisk_ADJ
116,allmennteoretisk_ADJ
117,allmennutdannande_ADJ
118,allmennutdannende_ADJ
119,allmennvitenskapelig_ADJ
120,allment_ADJ
121,allminnelig_ADJ
122,allom_ADJ
123,alluvial_ADJ
124,alm_ADJ
125,almen_ADJ
126,almendannende_ADJ
127,almengyldig_ADJ
128,almenningsberettiget_ADJ
129,almennyttig_ADJ
130,almenpraktisk_ADJ
131,almenutdannende_ADJ
132,almenvitenskapelig_ADJ
133,almindelig_ADJ
134,almindeligt_ADJ
135,almindslig_ADJ
136,alminnelig_ADJ
137,alminnelige_ADJ
138,almost_ADJ
139,along_ADJ
140,alpin_ADJ
141,als_ADJ
142,alsidig_ADJ
143,alt_ADJ
144,alternativ_ADJ
145,alternerende_ADJ
146,altomfattende_ADJ
147,altsk_ADJ
148,alvorligere_ADJ
149,ambolt_ADJ
150,ambulant_ADJ
151,ambulatorisk_ADJ
152,ambulerande_ADJ
153,ambulerende_ADJ
154,ame_ADJ
155,amerikansk_ADJ
156,amfibolitt_ADJ
157,amfibolittisere_ADJ
158,amfibolittisk_ADJ
159,amle_ADJ
160,amme_ADJ
161,ammel_ADJ
162,among_ADJ
163,amounn_ADJ
164,amphibol_ADJ
165,amphiboliten_ADJ
166,amt_ADJ
167,amtidig_ADJ
168,amtlig_ADJ
169,analog_ADJ
170,analoge_ADJ
171,analogisk_ADJ
172,analyse_ADJ
173,analysere_ADJ
174,analysi_ADJ
175,analyst_ADJ
176,analytisk_ADJ
177,anatomi_ADJ
178,anatomisk_ADJ
179,anbefale_ADJ
180,anbrakt_ADJ
181,anbringe_ADJ
182,ancl_ADJ
183,anclr_ADJ
184,and_ADJ
185,ande_ADJ
186,andel_ADJ
187,anden_ADJ
188,andensted_ADJ
189,andensteds_ADJ
190,anderledes_ADJ
191,anderlet_ADJ
192,andetsteds_ADJ
193,andragende_ADJ
194,andre_ADJ
195,andro_ADJ
196,ane_ADJ
197,anerkjenne_ADJ
198,anerkjent_ADJ
199,anføre_ADJ
200,anført_ADJ
201,ang_ADJ
202,angaaende_ADJ
203,angaende_ADJ
204,angar_ADJ
205,angelsaksisk_ADJ
206,angi_ADJ
207,angin_ADJ
208,angitt_ADJ
209,angitte_ADJ
210,angivelig_ADJ
211,angiven_ADJ
212,angjeldende_ADJ
213,angle_ADJ
214,angående_ADJ
215,anhedral_ADJ
216,animalsk_ADJ
217,animalske_ADJ
218,ank_ADJ
219,anke_ADJ
220,ankende_ADJ
221,anl_ADJ
222,anle_ADJ
223,anlegg_ADJ
224,anlegge_ADJ
225,anleggs_ADJ
226,anleggsteknisk_ADJ
227,anlåggningstillgångar_ADJ
228,anlæg_ADJ
229,anmelde_ADJ
230,anmåle_ADJ
231,ann_ADJ
232,anna_ADJ
233,annan_ADJ
234,annat_ADJ
235,anne_ADJ
236,annen_ADJ
237,annerledes_ADJ
238,annleis_ADJ
239,anns_ADJ
240,anonym_ADJ
241,anordnet_ADJ
242,anorganisk_ADJ
243,anorthosit_ADJ
244,anrik_ADJ
245,anrike_ADJ
246,ansamlad_ADJ
247,ansatt_ADJ
248,anse_ADJ
249,anseelig_ADJ
250,ansette_ADJ
251,anskuelig_ADJ
252,anslå_ADJ
253,anslåtte_ADJ
254,anstale_ADJ
255,ansvarig_ADJ
256,ansvarsfull_ADJ
257,ansvarshavende_ADJ
258,ant_ADJ
259,anta_ADJ
260,antag_ADJ
261,antage_ADJ
262,antagelig_ADJ
263,antakelig_ADJ
264,antal_ADJ
265,antarktisk_ADJ
266,antatt_ADJ
267,antikk_ADJ
268,antikvarisk_ADJ
269,antsre_ADJ
270,antyde_ADJ
271,anve_ADJ
272,anven_ADJ
273,anvend_ADJ
274,anvendbar_ADJ
275,anvende_ADJ
276,anvendelig_ADJ
277,anvendes_ADJ
278,anvendt_ADJ
279,anvise_ADJ
280,anvisende_ADJ
281,anvisningsberettige_ADJ
282,any_ADJ
283,apart_ADJ
284,apatin_ADJ
285,apatit_ADJ
286,apatitt_ADJ
287,ape_ADJ
288,apen_ADJ
289,apendar_ADJ
290,aplittisk_ADJ
291,apparent_ADJ
292,ar_ADJ
293,arabisk_ADJ
294,arbeid_ADJ
295,arbeide_ADJ
296,arbeidsbesparende_ADJ
297,arbeidsdyktig_ADJ
298,arbeidsfell_ADJ
299,arbeidsfelle_ADJ
300,arbeidsfelt_ADJ
301,arbeidsforbruke_ADJ
302,arbeidsfør_ADJ
303,arbeidsintensiv_ADJ
304,arbeidskrevende_ADJ
305,arbeidsmarkedsmessig_ADJ
306,arbeidsmessig_ADJ
307,arbeidspsykologisk_ADJ
308,arbeidsteknisk_ADJ
309,arbeidsufør_ADJ
310,arbete_ADJ
311,are_ADJ
312,areal_ADJ
313,arealkrevende_ADJ
314,arig_ADJ
315,arige_ADJ
316,arkeologisk_ADJ
317,arkitektonisk_ADJ
318,arktisk_ADJ
319,arm_ADJ
320,armere_ADJ
321,armert_ADJ
322,arrangere_ADJ
323,art_ADJ
324,artianer_ADJ
325,articl_ADJ
326,article_ADJ
327,artikkel_ADJ
328,artiklar_ADJ
329,artikulere_ADJ
330,artistisk_ADJ
331,artium_ADJ
332,arv_ADJ
333,arvelig_ADJ
334,ase_ADJ
335,asfaltere_ADJ
336,asiatisk_ADJ
337,ask_ADJ
338,assistent_ADJ
339,assisterende_ADJ
340,assosiativ_ADJ
341,assosiere_ADJ
342,astrofysisk_ADJ
343,astronomisk_ADJ
344,atbkillig_ADJ
345,ate_ADJ
346,atlantisk_ADJ
347,atmosfærisk_ADJ
348,atomanleggs_ADJ
349,atomdreven_ADJ
350,atorisk_ADJ
351,atskille_ADJ
352,atskillig_ADJ
353,atskilt_ADJ
354,att_ADJ
355,atte_ADJ
356,attende_ADJ
357,attest_ADJ
358,attåt_ADJ
359,au_ADJ
360,audiologisk_ADJ
361,audiovisuell_ADJ
362,auditiv_ADJ
363,augdahl_ADJ
364,augen_ADJ
365,aukande_ADJ
366,auke_ADJ
367,aur_ADJ
368,auron_ADJ
369,aus_ADJ
370,autoktont_ADJ
371,automatisere_ADJ
372,automatisk_ADJ
373,autorisere_ADJ
374,autoritativ_ADJ
375,autre_ADJ
376,av_ADJ
377,availabel_ADJ
378,avansere_ADJ
379,avbalansere_ADJ
380,avdele_ADJ
381,avdelings_ADJ
382,avdragsfri_ADJ
383,avdsde_ADJ
384,avdø_ADJ
385,avdød_ADJ
386,avdøde_ADJ
387,ave_ADJ
388,averag_ADJ
389,avg_ADJ
390,avgi_ADJ
391,avgift_ADJ
392,avgiftsmessig_ADJ
393,avgiftspliktig_ADJ
394,avgitt_ADJ
395,avgjbrende_ADJ
396,avgjerande_ADJ
