,WORD
0,ad_ADJ
1,administrativ_ADJ
2,administrere_ADJ
3,adskillig_ADJ
4,af_ADJ
5,akademisk_ADJ
6,aktiv_ADJ
7,aktuell_ADJ
8,al_ADJ
9,allmenn_ADJ
10,almindelig_ADJ
11,alminnelig_ADJ
12,alternativ_ADJ
13,amerikansk_ADJ
14,andre_ADJ
15,anføre_ADJ
16,anna_ADJ
17,annan_ADJ
18,annen_ADJ
19,annerledes_ADJ
20,ansatt_ADJ
21,anta_ADJ
22,antagelig_ADJ
23,antakelig_ADJ
24,anvendt_ADJ
25,ar_ADJ
26,are_ADJ
27,arig_ADJ
28,atskillig_ADJ
29,att_ADJ
30,automatisk_ADJ
31,avansere_ADJ
32,avgrense_ADJ
33,bade_ADJ
34,basisk_ADJ
35,begrunne_ADJ
36,bele_ADJ
37,beliggende_ADJ
38,beregne_ADJ
39,berettige_ADJ
40,berre_ADJ
41,berøre_ADJ
42,beskjeden_ADJ
43,beslekte_ADJ
44,bestemme_ADJ
45,bestemmende_ADJ
46,bestå_ADJ
47,betale_ADJ
48,betinge_ADJ
49,betraktelig_ADJ
50,betryggende_ADJ
51,betydningsfull_ADJ
52,bevart_ADJ
53,bevisst_ADJ
54,binde_ADJ
55,biologisk_ADJ
56,bl_ADJ
57,blev_ADJ
58,blå_ADJ
59,bo_ADJ
60,bokstav_ADJ
61,bond_ADJ
62,bortse_ADJ
63,bosatt_ADJ
64,bpd_ADJ
65,bred_ADJ
66,britisk_ADJ
67,brugt_ADJ
68,brukbar_ADJ
69,bruke_ADJ
70,bte_ADJ
71,cg_ADJ
72,daglig_ADJ
73,dansk_ADJ
74,daværende_ADJ
75,definere_ADJ
76,dekar_ADJ
77,dekjære_ADJ
78,dekke_ADJ
79,dele_ADJ
80,demokratisk_ADJ
81,des_ADJ
82,detaljert_ADJ
83,die_ADJ
84,differensiere_ADJ
85,direkte_ADJ
86,diskriminere_ADJ
87,diverse_ADJ
88,dobbelt_ADJ
89,dyp_ADJ
90,dyr_ADJ
91,dyrke_ADJ
92,dårlig_ADJ
93,død_ADJ
94,døde_ADJ
95,effektiv_ADJ
96,egentlig_ADJ
97,egnet_ADJ
98,eige_ADJ
99,ein_ADJ
100,einskild_ADJ
101,eit_ADJ
102,eksistere_ADJ
103,eksklusiv_ADJ
104,ekstraordinær_ADJ
105,ekteskapelig_ADJ
106,ele_ADJ
107,elektrisk_ADJ
108,elektronisk_ADJ
109,elektroteknisk_ADJ
110,elementær_ADJ
111,elev_ADJ
112,elles_ADJ
113,ende_ADJ
114,endelig_ADJ
115,endre_ADJ
116,engasjere_ADJ
117,engelsk_ADJ
118,enig_ADJ
119,enkel_ADJ
120,enligt_ADJ
121,enstemmig_ADJ
122,ere_ADJ
123,ervervsmessig_ADJ
124,est_ADJ
125,estetisk_ADJ
126,etablert_ADJ
127,etterfølge_ADJ
128,europeisk_ADJ
129,eventuell_ADJ
130,exame_ADJ
131,faglig_ADJ
132,faktisk_ADJ
133,fastsette_ADJ
134,felles_ADJ
135,femte_ADJ
136,ferdig_ADJ
137,fig_ADJ
138,fin_ADJ
139,finansiell_ADJ
140,finde_ADJ
141,finkornig_ADJ
142,finsk_ADJ
143,fisk_ADJ
144,fjerde_ADJ
145,flat_ADJ
146,fleire_ADJ
147,fleksibel_ADJ
148,flg_ADJ
149,flytting_ADJ
150,folgende_ADJ
151,for_ADJ
152,forberede_ADJ
153,fordel_ADJ
154,fordele_ADJ
155,fore_ADJ
156,foregå_ADJ
157,forekomme_ADJ
158,foreligge_ADJ
159,foreliggende_ADJ
160,foreløpig_ADJ
161,forene_ADJ
162,foreslå_ADJ
163,formell_ADJ
164,formodentlig_ADJ
165,formålstjenlig_ADJ
166,forretningsmessig_ADJ
167,forskjellig_ADJ
168,forst_ADJ
169,fort_ADJ
170,fortsette_ADJ
171,framtidig_ADJ
172,fransk_ADJ
173,fremre_ADJ
174,fremtidig_ADJ
175,fri_ADJ
176,frisk_ADJ
177,frittstående_ADJ
178,frivillig_ADJ
179,fsrst_ADJ
180,full_ADJ
181,fullmektig_ADJ
182,fullstendig_ADJ
183,fylkeskommunal_ADJ
184,fylle_ADJ
185,fyrst_ADJ
186,fysikalsk_ADJ
187,fysisk_ADJ
188,få_ADJ
189,føde_ADJ
190,følge_ADJ
191,følgende_ADJ
192,første_ADJ
193,gal_ADJ
194,gammel_ADJ
195,gammelnorsk_ADJ
196,gammsi_ADJ
197,gammæl_ADJ
198,gard_ADJ
199,ge_ADJ
200,generell_ADJ
201,geografisk_ADJ
202,geologisk_ADJ
203,gi_ADJ
204,gift_ADJ
205,gifte_ADJ
206,gjeldande_ADJ
207,gjeldende_ADJ
208,gjennomføre_ADJ
209,gjennomgående_ADJ
210,gjennomsnittlig_ADJ
211,gjensidig_ADJ
212,gjenværende_ADJ
213,god_ADJ
214,godkjenne_ADJ
215,grafisk_ADJ
216,granit_ADJ
217,gratis_ADJ
218,grei_ADJ
219,grov_ADJ
220,grundig_ADJ
221,grunnleggende_ADJ
222,grå_ADJ
223,grønn_ADJ
224,gt_ADJ
225,gul_ADJ
226,gunhild_ADJ
227,gyldig_ADJ
228,hafde_ADJ
229,halv_ADJ
230,handelspolitisk_ADJ
231,hard_ADJ
232,hav_ADJ
233,have_ADJ
234,heil_ADJ
235,hel_ADJ
236,historisk_ADJ
237,hornblende_ADJ
238,hovedsakelig_ADJ
239,hurtig_ADJ
240,hvete_ADJ
241,hvit_ADJ
242,hyppig_ADJ
243,høg_ADJ
244,høger_ADJ
245,høve_ADJ
246,høvelig_ADJ
247,høy_ADJ
248,høyre_ADJ
249,id_ADJ
250,ie_ADJ
251,ig_ADJ
252,ikkje_ADJ
253,in_ADJ
254,individuell_ADJ
255,indre_ADJ
256,industriell_ADJ
257,ingeborg_ADJ
258,innenlandsk_ADJ
259,inngå_ADJ
260,integrere_ADJ
261,interessere_ADJ
262,interkommunal_ADJ
263,intern_ADJ
264,internasjonal_ADJ
265,intim_ADJ
266,isolere_ADJ
267,iy_ADJ
268,jamførbar_ADJ
269,jevn_ADJ
270,juridisk_ADJ
271,kald_ADJ
272,kalde_ADJ
273,karakteristisk_ADJ
274,ke_ADJ
275,kelt_ADJ
276,kg_ADJ
277,kjemisk_ADJ
278,klar_ADJ
279,klassisk_ADJ
280,knapp_ADJ
281,knytte_ADJ
282,kollektiv_ADJ
283,kombinere_ADJ
284,komme_ADJ
285,kommersiell_ADJ
286,kommunal_ADJ
287,komplisere_ADJ
288,konkret_ADJ
289,konsentrere_ADJ
290,konstitusjonell_ADJ
291,konsultativ_ADJ
292,kontinuerlig_ADJ
293,kontraherende_ADJ
294,konvensjonell_ADJ
295,koordinere_ADJ
296,kort_ADJ
297,kostbar_ADJ
298,kreve_ADJ
299,kristen_ADJ
300,kulturell_ADJ
301,kund_ADJ
302,kunde_ADJ
303,kunstnerisk_ADJ
