,WORD
0,aarlig_ADJ
1,about_ADJ
2,above_ADJ
3,abstrakt_ADJ
4,accounn_ADJ
5,acid_ADJ
6,ad_ADJ
7,adekvat_ADJ
8,adkomst_ADJ
9,administra_ADJ
10,administrativ_ADJ
11,administrative_ADJ
12,administrere_ADJ
13,adskille_ADJ
14,adskillig_ADJ
15,adskilt_ADJ
16,ael_ADJ
17,af_ADJ
18,afrikansk_ADJ
19,ag_ADJ
20,agains_ADJ
21,age_ADJ
22,aggressiv_ADJ
23,ai_ADJ
24,ajourføre_ADJ
25,ajourført_ADJ
26,akademisk_ADJ
27,akkumulere_ADJ
28,akselerere_ADJ
29,aksentuere_ADJ
30,akseptabel_ADJ
31,akseptere_ADJ
32,aktiv_ADJ
33,aktivere_ADJ
34,aktsom_ADJ
35,aktuell_ADJ
36,akustisk_ADJ
37,akvatisk_ADJ
38,al_ADJ
39,aldrig_ADJ
40,alfabetisk_ADJ
41,alkoholfri_ADJ
42,alkoholholdig_ADJ
43,all_ADJ
44,alliert_ADJ
45,allmene_ADJ
46,allmenn_ADJ
47,allmenndannende_ADJ
48,allmennpraktiserende_ADJ
49,allment_ADJ
50,allminnelig_ADJ
51,alm_ADJ
52,almindelig_ADJ
53,alminnelig_ADJ
54,alminnelige_ADJ
55,almost_ADJ
56,alpin_ADJ
57,alternativ_ADJ
58,altomfattende_ADJ
59,alvorligere_ADJ
60,ambulant_ADJ
61,ambulerende_ADJ
62,amerikansk_ADJ
63,amme_ADJ
64,among_ADJ
65,amt_ADJ
66,analog_ADJ
67,analoge_ADJ
68,analogisk_ADJ
69,analysere_ADJ
70,analytisk_ADJ
71,anatomisk_ADJ
72,anbefale_ADJ
73,and_ADJ
74,ande_ADJ
75,andel_ADJ
76,anden_ADJ
77,anderledes_ADJ
78,andre_ADJ
79,anerkjenne_ADJ
80,anerkjent_ADJ
81,anføre_ADJ
82,anført_ADJ
83,angaaende_ADJ
84,angi_ADJ
85,angin_ADJ
86,angitt_ADJ
87,angitte_ADJ
88,angivelig_ADJ
