,WORD
0,linedelt_ADJ
1,nedennevnt_ADJ
2,herreds_ADJ
3,nautisk_ADJ
4,vtterlig_ADJ
5,identisk_ADJ
6,høier_ADJ
7,kommunistisk_ADJ
8,mu_ADJ
9,arealkrevende_ADJ
10,same_ADJ
11,balansere_ADJ
12,politibetjent_ADJ
13,ofte_ADJ
14,forenlig_ADJ
15,cerebral_ADJ
16,vek_ADJ
17,boten_ADJ
18,årsmøte_ADJ
19,most_ADJ
20,sann_ADJ
21,bro_ADJ
22,udyrke_ADJ
23,uhell_ADJ
24,nsre_ADJ
25,leng_ADJ
26,etterfølge_ADJ
27,årige_ADJ
28,orden_ADJ
29,rente_ADJ
30,grong_ADJ
31,we_ADJ
32,oversikt_ADJ
33,fangstmann_ADJ
34,ferdig_ADJ
35,glasifluvial_ADJ
36,motorisere_ADJ
37,gjor_ADJ
38,enkel_ADJ
39,gjennomførbar_ADJ
40,avtakende_ADJ
41,verdensomspennende_ADJ
42,bekvem_ADJ
43,oit_ADJ
44,parallell_ADJ
45,rlig_ADJ
46,dock_ADJ
47,gate_ADJ
48,gabbroid_ADJ
49,stedlig_ADJ
50,wh_ADJ
51,fisk_ADJ
52,innpasse_ADJ
53,and_ADJ
54,flyttbar_ADJ
55,green_ADJ
56,halff_ADJ
57,pneumatisk_ADJ
58,lø_ADJ
59,bøe_ADJ
60,eksportfremmende_ADJ
61,saakalde_ADJ
62,påstå_ADJ
63,geofysisk_ADJ
64,oppreist_ADJ
65,comprehensiv_ADJ
66,tribunal_ADJ
67,vn_ADJ
68,bruksrett_ADJ
69,hogen_ADJ
70,berre_ADJ
71,bpd_ADJ
72,eigedomsatterhald_ADJ
73,hovedsagelig_ADJ
74,preglasial_ADJ
75,underprikk_ADJ
76,ugjørlig_ADJ
77,sirkulær_ADJ
78,gjensidig_ADJ
79,samtidige_ADJ
80,vannrik_ADJ
81,stet_ADJ
82,unntakstilfell_ADJ
83,saadann_ADJ
84,innlagt_ADJ
85,sentralbibliotek_ADJ
86,havde_ADJ
87,sålet_ADJ
88,kostnadsmessig_ADJ
89,tlie_ADJ
90,nappe_ADJ
91,fla_ADJ
92,inntekt_ADJ
93,met_ADJ
94,svake_ADJ
95,ensarte_ADJ
96,okkentlig_ADJ
97,innhent_ADJ
98,arige_ADJ
99,forvitre_ADJ
100,etterliggende_ADJ
101,geografisk_ADJ
102,fremtidsrettet_ADJ
103,offentliggjorte_ADJ
104,berømmelig_ADJ
105,besteme_ADJ
106,brænde_ADJ
107,anbringe_ADJ
108,rd_ADJ
109,middelaldersk_ADJ
110,tøre_ADJ
111,tilby_ADJ
112,mojligt_ADJ
113,industrisentra_ADJ
114,rasjonal_ADJ
115,innskott_ADJ
116,inngåtte_ADJ
117,local_ADJ
118,stt_ADJ
119,seiiste_ADJ
120,bemelde_ADJ
121,nog_ADJ
122,irr_ADJ
123,ft_ADJ
124,opparbeide_ADJ
125,særlige_ADJ
126,singl_ADJ
127,skiftande_ADJ
128,synderlig_ADJ
129,frialse_ADJ
130,godkånnande_ADJ
131,ligelydende_ADJ
132,villede_ADJ
133,opptrekke_ADJ
134,finde_ADJ
135,underutvikle_ADJ
136,caus_ADJ
137,eastern_ADJ
138,join_ADJ
139,stønad_ADJ
140,skiprede_ADJ
141,realkapital_ADJ
142,slyngende_ADJ
143,litra_ADJ
144,stasjonær_ADJ
145,byggekuns_ADJ
146,uturvande_ADJ
147,sikkerhetmessig_ADJ
148,gjenta_ADJ
149,oppfylle_ADJ
150,require_ADJ
151,eiendommelig_ADJ
152,flest_ADJ
153,ottar_ADJ
154,formentlig_ADJ
155,hovelig_ADJ
156,bevilgende_ADJ
157,løyst_ADJ
158,sammenstille_ADJ
159,gong_ADJ
160,availabel_ADJ
161,fagutdannet_ADJ
162,tillått_ADJ
163,serait_ADJ
164,rase_ADJ
165,administrativ_ADJ
166,nuclear_ADJ
167,storstilt_ADJ
168,mangle_ADJ
169,fele_ADJ
170,takiste_ADJ
171,åpen_ADJ
172,innbudt_ADJ
173,panterett_ADJ
174,funksjonell_ADJ
175,speciell_ADJ
176,uppkommit_ADJ
177,verkstållande_ADJ
178,lilla_ADJ
179,verge_ADJ
180,våsentlig_ADJ
181,blotte_ADJ
182,sv_ADJ
183,foretatt_ADJ
184,stillbar_ADJ
185,due_ADJ
186,økonomiske_ADJ
187,ratifisere_ADJ
188,injisere_ADJ
189,utdanningsmessig_ADJ
190,indgaaende_ADJ
191,nov_ADJ
192,trie_ADJ
193,bibelhistorisk_ADJ
194,rørende_ADJ
195,allmenndannende_ADJ
196,utbetalt_ADJ
197,arabisk_ADJ
198,publisere_ADJ
199,bibelsk_ADJ
200,cd_ADJ
201,litteraturhistorisk_ADJ
202,knapp_ADJ
203,aabenbar_ADJ
204,slitsom_ADJ
205,svaberg_ADJ
206,innlevert_ADJ
207,fordele_ADJ
208,årleg_ADJ
209,tilsett_ADJ
210,uholdig_ADJ
211,langagtig_ADJ
212,itt_ADJ
213,usortere_ADJ
214,spesialutdannet_ADJ
215,the_ADJ
216,teig_ADJ
217,imod_ADJ
218,instituttet_ADJ
219,tiltalt_ADJ
220,samtykt_ADJ
221,well_ADJ
222,uteståande_ADJ
223,nvere_ADJ
224,figur_ADJ
225,skriftligt_ADJ
226,flyteknisk_ADJ
227,tille_ADJ
228,messig_ADJ
229,unionell_ADJ
230,sammenheng_ADJ
231,nyopprette_ADJ
232,nybygd_ADJ
233,fåtallig_ADJ
234,tjenestepliktig_ADJ
235,fotografisk_ADJ
236,ting_ADJ
237,torbkjellig_ADJ
238,nostro_ADJ
239,sovjetisk_ADJ
240,sein_ADJ
241,uformell_ADJ
242,uvise_ADJ
243,moe_ADJ
244,dlitt_ADJ
245,lost_ADJ
246,påbegynt_ADJ
247,avsides_ADJ
248,tlig_ADJ
249,ekspanderende_ADJ
250,ikkevitenskapelig_ADJ
251,vedkomme_ADJ
252,tiltenke_ADJ
253,verdensomfattende_ADJ
254,sonlig_ADJ
255,omdanne_ADJ
256,spredt_ADJ
257,minimal_ADJ
258,cr_ADJ
259,reint_ADJ
260,akkumulere_ADJ
261,naclcl_ADJ
262,flertal_ADJ
263,udtal_ADJ
264,wlgende_ADJ
265,slå_ADJ
266,fille_ADJ
267,unngått_ADJ
268,integrere_ADJ
269,hydrogeologisk_ADJ
270,debitor_ADJ
271,distal_ADJ
272,prove_ADJ
273,peika_ADJ
274,høymetamorf_ADJ
275,dott_ADJ
276,schist_ADJ
277,komm_ADJ
278,flink_ADJ
279,statistisk_ADJ
280,urigtigt_ADJ
