,WORD
0,waste_ADJ
1,landskapsestetisk_ADJ
2,vtterliggaende_ADJ
3,betegnet_ADJ
4,mk_ADJ
5,minse_ADJ
6,correc_ADJ
7,manganese_ADJ
8,erfar_ADJ
9,nøy_ADJ
10,ne_ADJ
11,tillat_ADJ
12,sone_ADJ
13,ajourført_ADJ
14,incomplete_ADJ
15,vie_ADJ
16,rem_ADJ
17,nyutdannet_ADJ
18,passelig_ADJ
19,sandsynligst_ADJ
20,fremsatt_ADJ
21,oppfylle_ADJ
22,baade_ADJ
23,innestående_ADJ
24,næringspolitisk_ADJ
25,fakultativ_ADJ
26,avslutte_ADJ
27,vedkommande_ADJ
28,hedensk_ADJ
29,penge_ADJ
30,veb_ADJ
31,rekna_ADJ
32,demografisk_ADJ
33,ls_ADJ
34,salig_ADJ
35,middelaldrende_ADJ
36,offent_ADJ
37,equivalent_ADJ
38,ovenmelde_ADJ
39,marint_ADJ
40,kott_ADJ
41,yrkesskade_ADJ
42,forestaaende_ADJ
43,temperatur_ADJ
44,kostnad_ADJ
45,omdanne_ADJ
46,endre_ADJ
47,maal_ADJ
48,flate_ADJ
49,tredjedels_ADJ
50,mellomre_ADJ
51,bortf_ADJ
52,hundre_ADJ
53,tslgende_ADJ
54,henhold_ADJ
55,ind_ADJ
56,tollbelegge_ADJ
57,skattekort_ADJ
58,pengar_ADJ
59,tariffmessig_ADJ
60,oppløse_ADJ
61,rettar_ADJ
62,mene_ADJ
63,underbruk_ADJ
64,lovmessig_ADJ
65,åpenbar_ADJ
66,endeløs_ADJ
67,imitere_ADJ
68,rettan_ADJ
69,innsamle_ADJ
70,tvilstilfell_ADJ
71,fu_ADJ
72,illustrere_ADJ
73,avgorande_ADJ
74,søkjiste_ADJ
75,hi_ADJ
76,gravel_ADJ
77,forut_ADJ
78,siste_ADJ
79,volde_ADJ
80,menige_ADJ
81,åfå_ADJ
82,sæm_ADJ
83,bibte_ADJ
84,ad_ADJ
85,suit_ADJ
86,erstatningsmessig_ADJ
87,grafisk_ADJ
88,veßentlig_ADJ
89,vein_ADJ
90,trekkbeløp_ADJ
91,tinglysiste_ADJ
92,und_ADJ
93,skrittlig_ADJ
94,arbeidsintensiv_ADJ
95,likeverdig_ADJ
96,magnetisk_ADJ
97,betwé_ADJ
98,iere_ADJ
99,fyldig_ADJ
100,sydvestre_ADJ
101,sitte_ADJ
102,tale_ADJ
103,vitnesbyrd_ADJ
104,jordløs_ADJ
105,medvirkende_ADJ
106,overdratt_ADJ
107,mr_ADJ
108,orn_ADJ
109,tillegge_ADJ
110,stillings_ADJ
111,makroskopisk_ADJ
112,brede_ADJ
113,sendiste_ADJ
114,recent_ADJ
115,bedrift_ADJ
116,byggeteknisk_ADJ
117,pakke_ADJ
118,fla_ADJ
119,direkte_ADJ
120,formlær_ADJ
121,oppsettende_ADJ
122,kupere_ADJ
123,ovennævnt_ADJ
124,erstatningsrettslig_ADJ
125,einig_ADJ
126,sørlandsk_ADJ
127,overdra_ADJ
128,godkjende_ADJ
129,elementære_ADJ
130,betryggende_ADJ
131,sammenli_ADJ
132,bot_ADJ
133,svovelrik_ADJ
134,gjennomsiktig_ADJ
135,augdahl_ADJ
136,anstale_ADJ
137,our_ADJ
138,åpne_ADJ
139,samlet_ADJ
140,middel_ADJ
141,mari_ADJ
142,kostnadsorientere_ADJ
143,mængd_ADJ
144,industri_ADJ
145,gulgrønn_ADJ
146,and_ADJ
147,stål_ADJ
148,fortsatt_ADJ
149,røst_ADJ
150,prege_ADJ
151,bevilget_ADJ
152,innhegne_ADJ
153,sprei_ADJ
154,korrigere_ADJ
155,tydeligst_ADJ
156,kombinert_ADJ
157,småkupere_ADJ
158,analysi_ADJ
159,vellykt_ADJ
160,allernaadig_ADJ
161,auke_ADJ
162,tidligar_ADJ
163,humusholdig_ADJ
164,korskjellig_ADJ
165,it_ADJ
166,lystbetont_ADJ
167,onal_ADJ
168,eksperimentell_ADJ
169,dlitt_ADJ
170,støyende_ADJ
171,naturleg_ADJ
172,flyte_ADJ
173,maksimum_ADJ
174,justere_ADJ
175,rådgjevande_ADJ
176,oit_ADJ
177,minst_ADJ
178,varom_ADJ
179,egn_ADJ
180,landbruksvitenskapelig_ADJ
181,beskreven_ADJ
182,uoppta_ADJ
183,opplø_ADJ
184,betryggande_ADJ
185,bok_ADJ
186,ven_ADJ
187,kapelig_ADJ
188,bterkt_ADJ
189,seige_ADJ
190,gedvrtri_ADJ
191,vakle_ADJ
192,vandre_ADJ
193,påføre_ADJ
194,personale_ADJ
195,sing_ADJ
196,uttale_ADJ
197,tektonisk_ADJ
198,utfyllende_ADJ
199,mineral_ADJ
200,isdekke_ADJ
