,WORD
0,his_ADJ
1,snarlig_ADJ
2,lende_ADJ
3,arealkrevende_ADJ
4,same_ADJ
5,musikalsk_ADJ
6,liberalisere_ADJ
7,balansere_ADJ
8,cerebral_ADJ
9,avansere_ADJ
10,representativ_ADJ
11,vestlandsk_ADJ
12,fortrolig_ADJ
13,tenke_ADJ
14,brev_ADJ
15,udyrke_ADJ
16,fornye_ADJ
17,overstig_ADJ
18,temmelig_ADJ
19,stige_ADJ
20,sjølvsagt_ADJ
21,oval_ADJ
22,konvensjonell_ADJ
23,nærstående_ADJ
24,fe_ADJ
25,vestfold_ADJ
26,ma_ADJ
27,ungarsk_ADJ
28,oversikt_ADJ
29,elektroteknisk_ADJ
30,primære_ADJ
31,verdensomspennende_ADJ
32,beité_ADJ
33,parallell_ADJ
34,beregne_ADJ
35,gående_ADJ
36,bren_ADJ
37,lokal_ADJ
38,some_ADJ
39,yrk_ADJ
40,aukande_ADJ
41,stund_ADJ
42,pekt_ADJ
43,berettiget_ADJ
44,grinde_ADJ
45,landbasere_ADJ
46,påstå_ADJ
47,brandt_ADJ
48,disponibli_ADJ
49,ro_ADJ
50,separate_ADJ
51,undertegne_ADJ
52,fullstendig_ADJ
53,alliert_ADJ
54,pakke_ADJ
55,arbeidsfør_ADJ
56,rettsmedisinsk_ADJ
57,opplys_ADJ
58,transportmessig_ADJ
59,elektronisk_ADJ
60,ste_ADJ
61,eksister_ADJ
62,enke_ADJ
63,minske_ADJ
64,utvist_ADJ
65,differensiere_ADJ
66,tildels_ADJ
67,liv_ADJ
68,standpunke_ADJ
69,total_ADJ
70,velegnet_ADJ
71,kristelig_ADJ
72,venstre_ADJ
73,frem_ADJ
74,avsnin_ADJ
75,patent_ADJ
76,sjeldn_ADJ
77,veksle_ADJ
78,fulltallig_ADJ
79,übeting_ADJ
80,presen_ADJ
81,alm_ADJ
82,ske_ADJ
83,inntekt_ADJ
84,særleg_ADJ
85,rekniste_ADJ
86,tiltrekke_ADJ
87,rike_ADJ
88,skyldig_ADJ
89,foregå_ADJ
90,proporsjonal_ADJ
91,ymse_ADJ
92,administrative_ADJ
93,jernholdig_ADJ
94,forbigående_ADJ
95,avdø_ADJ
96,personellmessig_ADJ
97,fornøden_ADJ
98,übetale_ADJ
99,kosmetisk_ADJ
100,erfaringsmessig_ADJ
101,angitte_ADJ
102,herværende_ADJ
103,høger_ADJ
104,sjelden_ADJ
105,vende_ADJ
106,bekrefte_ADJ
107,utrettelig_ADJ
108,te_ADJ
109,benytt_ADJ
110,mangelfull_ADJ
111,tilsatt_ADJ
112,utstrakt_ADJ
113,ny_ADJ
114,kvartærgeologisk_ADJ
115,sende_ADJ
116,utferdige_ADJ
117,ventilere_ADJ
118,hindre_ADJ
119,oppdele_ADJ
120,lide_ADJ
121,yrkesforberedende_ADJ
122,særlige_ADJ
123,singl_ADJ
