,WORD
0,-белый_ADJ
1,-бурый_ADJ
2,-воспитательный_ADJ
3,-восточный_ADJ
4,-вычислительный_ADJ
5,-голубой_ADJ
6,-голубый_ADJ
7,-демократический_ADJ
8,-деньский_ADJ
9,-другой_ADJ
10,-единственный_ADJ
11,-желтый_ADJ
12,-зеленый_ADJ
13,-исследовательский_ADJ
14,-исторический_ADJ
15,-коричневой_ADJ
16,-коричневый_ADJ
17,-красный_ADJ
18,-лиловый_ADJ
19,-маленький_ADJ
20,-младший_ADJ
21,-мный_ADJ
22,-ный_ADJ
23,-освободительный_ADJ
24,-политический_ADJ
25,-практический_ADJ
26,-промышленный_ADJ
27,-розовый_ADJ
28,-русый_ADJ
29,-самый_ADJ
30,-серый_ADJ
31,-синий_ADJ
32,-следственный_ADJ
33,-сосудистый_ADJ
34,-строительный_ADJ
35,-технический_ADJ
36,-то_ADJ
37,-третий_ADJ
38,-фантастический_ADJ
39,-философский_ADJ
40,-фиолетовый_ADJ
41,-черный_ADJ
42,-четвертый_ADJ
43,-ый_ADJ
44,-экономический_ADJ
45,..с_ADJ
46,1-е_ADJ
47,1-й_ADJ
48,10-й_ADJ
49,11-й_ADJ
50,12-го_ADJ
51,12-й_ADJ
52,13-й_ADJ
53,14-й_ADJ
54,15-й_ADJ
55,16-го_ADJ
56,16-й_ADJ
57,17-й_ADJ
58,17-ый_ADJ
59,18-й_ADJ
60,18-летний_ADJ
61,19-й_ADJ
62,1900-й_ADJ
63,1917-й_ADJ
64,1920-й_ADJ
65,1930-й_ADJ
66,1937-й_ADJ
67,1938-й_ADJ
68,1940-й_ADJ
69,1942-й_ADJ
70,1943-й_ADJ
71,1950-й_ADJ
72,1960-й_ADJ
73,1970-й_ADJ
74,1980-й_ADJ
75,2-й_ADJ
76,20-го_ADJ
77,20-й_ADJ
78,2000-й_ADJ
79,21-й_ADJ
80,22-й_ADJ
81,23-й_ADJ
82,24-й_ADJ
83,25-й_ADJ
84,26-й_ADJ
85,27-й_ADJ
86,28-й_ADJ
87,29-й_ADJ
88,3-й_ADJ
89,30-й_ADJ
90,30-х_ADJ
91,31-й_ADJ
92,32-й_ADJ
93,33-й_ADJ
94,34-й_ADJ
95,35-й_ADJ
96,36-й_ADJ
97,37-й_ADJ
98,38-й_ADJ
99,39-й_ADJ
100,39-ый_ADJ
101,4-й_ADJ
102,40-й_ADJ
103,41-й_ADJ
104,42-й_ADJ
105,43-й_ADJ
106,44-й_ADJ
107,45-й_ADJ
108,46-й_ADJ
109,47-й_ADJ
110,48-й_ADJ
111,49-й_ADJ
112,5-й_ADJ
113,5-ый_ADJ
114,50-й_ADJ
115,52-й_ADJ
116,54-й_ADJ
117,55-й_ADJ
118,56-й_ADJ
119,58-й_ADJ
120,6-го_ADJ
121,6-й_ADJ
122,60-й_ADJ
123,60-ые_ADJ
124,62-й_ADJ
125,63-й_ADJ
126,64-й_ADJ
127,65-й_ADJ
128,66-й_ADJ
129,67-й_ADJ
130,68-й_ADJ
131,69-й_ADJ
132,7-й_ADJ
133,70-й_ADJ
134,72-й_ADJ
135,8-й_ADJ
136,80-й_ADJ
137,9-й_ADJ
138,9-ый_ADJ
139,90-й_ADJ
140,bысоцкий_ADJ
141,а.вадратный_ADJ
142,абразивный_ADJ
143,абрикосовый_ADJ
144,абсолютный_ADJ
145,абстрактный_ADJ
146,абхазский_ADJ
147,авангардный_ADJ
148,аварийный_ADJ
149,августовский_ADJ
150,авдотья_ADJ
151,авиационный_ADJ
152,австралийский_ADJ
153,австрийский_ADJ
154,австро-венгерский_ADJ
155,автобиографический_ADJ
156,автобусный_ADJ
157,автоматизировать_ADJ
158,автоматический_ADJ
159,автоматный_ADJ
160,автомобильный_ADJ
161,автономный_ADJ
162,авторемонтный_ADJ
163,авторский_ADJ
164,агентурный_ADJ
165,агитационный_ADJ
166,аглая_ADJ
167,аграрный_ADJ
168,агрегатный_ADJ
169,адвокатский_ADJ
170,административный_ADJ
171,адмиралтейский_ADJ
172,адмиральский_ADJ
173,адресный_ADJ
174,адриатический_ADJ
175,ажурный_ADJ
176,азартный_ADJ
177,азбучный_ADJ
178,азербайджанский_ADJ
179,азиатский_ADJ
180,азовский_ADJ
181,азотный_ADJ
182,академический_ADJ
183,акакий_ADJ
184,акварельный_ADJ
185,аквариумный_ADJ
186,аккумуляторный_ADJ
187,аккуратненький_ADJ
188,акробатический_ADJ
189,аксиома_ADJ
190,актерский_ADJ
191,актовый_ADJ
192,акулий_ADJ
193,акустический_ADJ
194,акционерный_ADJ
195,алгебраический_ADJ
196,алебастровый_ADJ
197,александрийский_ADJ
198,александровна_ADJ
199,александровский_ADJ
200,алексеевна_ADJ
201,алеша_ADJ
202,алешин_ADJ
203,алжирский_ADJ
204,алкогольный_ADJ
205,аллегорический_ADJ
206,аллергический_ADJ
207,алма-атинский_ADJ
208,алмазный_ADJ
209,алтайский_ADJ
210,алфавитный_ADJ
211,алый_ADJ
212,альпийский_ADJ
213,альпинистский_ADJ
214,альтернативный_ADJ
215,алюминиевой_ADJ
216,алюминиевый_ADJ
217,аляповатый_ADJ
218,амбарный_ADJ
219,амбивалентный_ADJ
220,амбулаторный_ADJ
221,американский_ADJ
222,аминокислотный_ADJ
223,аммиачный_ADJ
224,амурский_ADJ
225,аналитический_ADJ
226,аналогичный_ADJ
227,ананасный_ADJ
228,анархический_ADJ
229,анатомический_ADJ
230,английский_ADJ
231,англо-американский_ADJ
232,англо-русский_ADJ
233,андреевна_ADJ
234,андреевский_ADJ
235,андрюша_ADJ
236,анекдотический_ADJ
237,аничков_ADJ
238,анкетный_ADJ
239,анна_ADJ
240,анненский_ADJ
241,анонимный_ADJ
242,антарктический_ADJ
243,антенна_ADJ
244,антенный_ADJ
245,антигитлеровский_ADJ
246,антиимпериалистический_ADJ
247,антикварный_ADJ
248,антикоммунистический_ADJ
249,антинаучный_ADJ
250,антипартийный_ADJ
251,антирелигиозный_ADJ
252,антисемитский_ADJ
253,антисоветский_ADJ
254,антифашистский_ADJ
255,античный_ADJ
256,антокольский_ADJ
257,антропологический_ADJ
258,аня_ADJ
259,апельсиновый_ADJ
260,апокалипсический_ADJ
261,апокалиптический_ADJ
262,аполитичный_ADJ
263,апостольский_ADJ
264,аппаратный_ADJ
265,апрельский_ADJ
266,априорный_ADJ
267,аптекарский_ADJ
268,аптечный_ADJ
269,арабский_ADJ
270,аравийский_ADJ
271,аральский_ADJ
272,арамейский_ADJ
273,арбатский_ADJ
274,арбузный_ADJ
275,аргентинский_ADJ
276,арестантский_ADJ
277,арестовать_ADJ
278,арестовывать_ADJ
279,ариадна_ADJ
280,арийский_ADJ
281,аристотелевский_ADJ
282,арифметический_ADJ
283,арктический_ADJ
284,арматурный_ADJ
285,армейский_ADJ
286,армянский_ADJ
287,ароматический_ADJ
288,ароматный_ADJ
289,арочный_ADJ
290,артельный_ADJ
291,артериальный_ADJ
292,артиллерийский_ADJ
293,архангельский_ADJ
294,археологический_ADJ
295,архив_ADJ
296,архивный_ADJ
297,архиерейский_ADJ
298,архитектурный_ADJ
299,аршинный_ADJ
300,асимметричный_ADJ
301,аскетический_ADJ
302,аскорбиновый_ADJ
303,аспирантский_ADJ
304,ассирийский_ADJ
305,ассоциативный_ADJ
306,астраханский_ADJ
307,астрономический_ADJ
308,астрофизический_ADJ
309,асфальтовый_ADJ
310,атеистический_ADJ
311,атлантический_ADJ
312,атласный_ADJ
313,атлетический_ADJ
314,атмосферный_ADJ
315,атомарный_ADJ
316,атомный_ADJ
317,афганский_ADJ
318,афинский_ADJ
319,афонский_ADJ
320,африканский_ADJ
321,ахматова_ADJ
322,ахматовский_ADJ
323,аэродинамический_ADJ
324,аэродромный_ADJ
325,аэрозольный_ADJ
326,баба_ADJ
327,бабий_ADJ
328,бабкин_ADJ
329,бабушкин_ADJ
330,баварский_ADJ
331,багажный_ADJ
332,багдадский_ADJ
333,багровый_ADJ
334,багряный_ADJ
335,базальтовый_ADJ
336,базарный_ADJ
337,базисный_ADJ
338,базовый_ADJ
339,байкальский_ADJ
340,байковый_ADJ
341,бакалейный_ADJ
342,бакинский_ADJ
343,бактериальный_ADJ
344,бактериологический_ADJ
345,бактерицидный_ADJ
346,балаганный_ADJ
347,балетный_ADJ
348,балканский_ADJ
349,балконный_ADJ
350,баллистический_ADJ
351,балтийский_ADJ
352,бальзаковский_ADJ
353,бальный_ADJ
354,бамбуковый_ADJ
355,банан_ADJ
356,банановый_ADJ
357,банкетный_ADJ
358,банковский_ADJ
359,банный_ADJ
360,барабанный_ADJ
361,бараний_ADJ
362,баратынский_ADJ
363,барачный_ADJ
364,барашковый_ADJ
365,баренцев_ADJ
366,барский_ADJ
367,барственный_ADJ
368,бархатистый_ADJ
369,бархатный_ADJ
370,баскетбольный_ADJ
371,баснословный_ADJ
372,басовитый_ADJ
373,басовый_ADJ
374,бассейн_ADJ
375,батальный_ADJ
376,батальонный_ADJ
377,батарейный_ADJ
378,батистовый_ADJ
379,батумский_ADJ
380,бахчисарайский_ADJ
381,башенный_ADJ
382,башкирский_ADJ
383,бегать_ADJ
384,беглый_ADJ
385,беговой_ADJ
386,бедовый_ADJ
387,бежать_ADJ
388,бежевый_ADJ
389,безалкогольный_ADJ
390,безболезненный_ADJ
391,безбородый_ADJ
392,безбрежный_ADJ
393,безвестный_ADJ
394,безветренный_ADJ
395,безводный_ADJ
396,безвозвратный_ADJ
397,безвоздушный_ADJ
398,безволосый_ADJ
399,безглазый_ADJ
400,безгласный_ADJ
401,безголосый_ADJ
402,безграничный_ADJ
403,бездетный_ADJ
404,бездна_ADJ
405,бездомный_ADJ
406,бездонный_ADJ
407,бездыханный_ADJ
408,беззаветный_ADJ
409,беззвездный_ADJ
410,беззвучный_ADJ
411,беззубый_ADJ
412,безлесный_ADJ
413,безличный_ADJ
414,безлунный_ADJ
415,безлюдный_ADJ
416,безмерный_ADJ
417,безмолвный_ADJ
418,безнадежно_ADJ
419,безнадежной_ADJ
420,безналичный_ADJ
421,безногий_ADJ
422,безнравственный_ADJ
423,безоглядный_ADJ
424,безоговорочный_ADJ
425,безопасно_ADJ
426,безоружный_ADJ
427,безостановочный_ADJ
428,безответный_ADJ
429,безотказно_ADJ
430,безотказной_ADJ
431,безотлагательный_ADJ
432,безотчетный_ADJ
433,безошибочной_ADJ
434,безработный_ADJ
435,безраздельный_ADJ
436,безразличная_ADJ
437,безразлично_ADJ
438,безразмерный_ADJ
439,безрассудный_ADJ
440,безродный_ADJ
441,безропотный_ADJ
442,безударный_ADJ
443,безудержный_ADJ
444,безумная_ADJ
445,безупречной_ADJ
446,безусловный_ADJ
447,безусый_ADJ
448,безъязыкий_ADJ
449,безыдейный_ADJ
450,безымянный_ADJ
451,бела_ADJ
452,белгородский_ADJ
453,беленый_ADJ
454,беленький_ADJ
455,белеть_ADJ
456,белизна_ADJ
457,беличий_ADJ
458,белковый_ADJ
459,беллетристический_ADJ
460,бело-розовый_ADJ
461,белобрысый_ADJ
462,беловатый_ADJ
463,белогвардейский_ADJ
464,белоголовый_ADJ
465,белозубый_ADJ
466,белокаменный_ADJ
467,белокурый_ADJ
468,белолицый_ADJ
469,беломорский_ADJ
470,беломраморный_ADJ
471,белорусский_ADJ
472,белоснежный_ADJ
473,белый_ADJ
474,бельгийский_ADJ
475,бельевой_ADJ
476,бенгальский_ADJ
477,бензиновый_ADJ
478,береговой_ADJ
479,береженый_ADJ
480,березовой_ADJ
481,березовый_ADJ
482,беременный_ADJ
483,берестяной_ADJ
484,бериевский_ADJ
485,берлинский_ADJ
486,бермудский_ADJ
487,беседовать_ADJ
488,бесклассовый_ADJ
489,бесконечный_ADJ
490,бескостный_ADJ
491,бескрайний_ADJ
492,бескровный_ADJ
493,бескрылый_ADJ
494,бесноватый_ADJ
495,бесовский_ADJ
496,беспартийный_ADJ
497,бесперебойный_ADJ
498,бесплатный_ADJ
499,бесплотный_ADJ
500,бесповоротный_ADJ
501,беспозвоночный_ADJ
502,беспокойный_ADJ
503,бесполезно_ADJ
504,беспощадно_ADJ
505,бесправный_ADJ
506,беспредельный_ADJ
507,беспредметный_ADJ
508,беспрекословный_ADJ
509,беспрерывный_ADJ
510,беспрестанный_ADJ
511,беспрецедентный_ADJ
512,беспримерный_ADJ
513,беспричинный_ADJ
514,бесприютный_ADJ
515,беспробудный_ADJ
516,бессарабский_ADJ
517,бессистемный_ADJ
518,бесследный_ADJ
519,бессловесный_ADJ
520,бессменный_ADJ
521,бессмертие_ADJ
522,бессмысленно_ADJ
523,бесснежный_ADJ
524,бессознательный_ADJ
525,бессонный_ADJ
526,бесспорный_ADJ
527,бессрочный_ADJ
528,бесстрастный_ADJ
529,бесстыжий_ADJ
530,бестелесный_ADJ
531,бестолково_ADJ
532,бесформенный_ADJ
533,бесхвостый_ADJ
534,бесхозный_ADJ
535,бесцельный_ADJ
536,бесчеловечной_ADJ
537,бесшабашный_ADJ
538,бесшумный_ADJ
539,бетонный_ADJ
540,бетховенский_ADJ
541,библейский_ADJ
542,библиографический_ADJ
543,библиотечный_ADJ
544,билетный_ADJ
545,бильярдная_ADJ
546,бильярдный_ADJ
547,биографический_ADJ
548,биологический_ADJ
549,биохимический_ADJ
550,биржевой_ADJ
551,бирюзовый_ADJ
552,бисерный_ADJ
553,бить_ADJ
554,благовещенский_ADJ
555,благовидный_ADJ
556,благоговейный_ADJ
557,благодарный_ADJ
558,благодарственный_ADJ
559,благодушный_ADJ
560,благозвучный_ADJ
561,благонамеренный_ADJ
562,благообразный_ADJ
563,благополучно_ADJ
564,благоприобретенный_ADJ
565,благороднейший_ADJ
566,благородно_ADJ
567,благостной_ADJ
568,благостный_ADJ
569,благотворительный_ADJ
570,благоуханный_ADJ
571,благочинный_ADJ
572,блаженный_ADJ
573,блатной_ADJ
574,бледнолицый_ADJ
575,блеск_ADJ
576,блескучий_ADJ
577,блестеть_ADJ
578,ближайший_ADJ
579,ближневосточный_ADJ
580,ближний_ADJ
581,близкие_ADJ
582,близкий_ADJ
583,близко_ADJ
584,близлежащий_ADJ
585,блистать_ADJ
586,блокадный_ADJ
587,блоковский_ADJ
588,блоха_ADJ
589,блочный_ADJ
590,блудливый_ADJ
591,блудный_ADJ
592,блуждать_ADJ
593,бобовый_ADJ
594,бобровый_ADJ
