,WORD
0,пестровать_ADJ
1,спокойно_ADJ
2,синильный_ADJ
3,стратосферный_ADJ
4,пулевой_ADJ
5,астрономический_ADJ
6,сложить_ADJ
7,вечереть_ADJ
8,возделать_ADJ
9,царскосельский_ADJ
10,изумрудный_ADJ
11,массированный_ADJ
12,проторенный_ADJ
13,воинский_ADJ
14,двадцатисемилетний_ADJ
15,человечий_ADJ
16,короста_ADJ
17,угарный_ADJ
18,досточтимый_ADJ
19,смирительный_ADJ
20,манный_ADJ
21,брюсовский_ADJ
22,отвислый_ADJ
23,интернациональный_ADJ
24,передаточный_ADJ
25,знойный_ADJ
26,ацетилсалициловый_ADJ
27,званый_ADJ
28,металлорежущий_ADJ
29,ломберный_ADJ
30,съедобный_ADJ
31,нечерноземный_ADJ
32,певческий_ADJ
33,тамбовский_ADJ
34,выжечь_ADJ
35,белых_ADJ
36,вакантный_ADJ
37,объемистый_ADJ
38,коротковолновый_ADJ
39,противотуберкулезный_ADJ
40,жестяной_ADJ
41,бестолково_ADJ
42,смородиновый_ADJ
43,пегтымельский_ADJ
44,отвлечять_ADJ
45,читательский_ADJ
46,конкурсный_ADJ
47,дразнящий_ADJ
48,стайный_ADJ
49,неоткрывать_ADJ
50,тв[ардовско]й_ADJ
51,сестра_ADJ
52,путеводный_ADJ
53,испитой_ADJ
54,владимиро-суздальский_ADJ
55,гидрогеологический_ADJ
56,подписный_ADJ
57,слитный_ADJ
58,согласно_ADJ
59,материализованный_ADJ
60,хохловский_ADJ
61,конденсаторный_ADJ
62,плащ_ADJ
63,прицельный_ADJ
64,ксеноновый_ADJ
65,пражский_ADJ
66,семилетний_ADJ
67,колебательный_ADJ
68,внезапный_ADJ
69,нетребовательный_ADJ
70,отрадный_ADJ
71,нахичеванская_ADJ
72,хихикать_ADJ
73,замужний_ADJ
74,отцовский_ADJ
75,запутать_ADJ
76,ирригационный_ADJ
77,ласкать_ADJ
78,гарусный_ADJ
79,ростовый_ADJ
80,должкова_ADJ
81,б[ывший_ADJ
82,каленый_ADJ
83,австрийский_ADJ
84,мять_ADJ
85,обидеть_ADJ
86,карбоксильный_ADJ
87,стяжный_ADJ
88,вестовый_ADJ
89,пастернаковский_ADJ
90,длиннорукий_ADJ
91,чиатурский_ADJ
92,краткосрочный_ADJ
93,внешнеторговый_ADJ
94,убитый_ADJ
95,мазать_ADJ
96,полотняный_ADJ
97,порошковый_ADJ
98,повсеместный_ADJ
99,дозорный_ADJ
100,склеивать_ADJ
101,плоскостной_ADJ
102,мало_ADJ
103,нефтехимический_ADJ
104,пшенный_ADJ
105,бесповоротно_ADJ
106,побочный_ADJ
107,лакокрасочный_ADJ
108,изыскательский_ADJ
109,отчетный_ADJ
110,вероятностный_ADJ
111,корректурный_ADJ
112,стационарный_ADJ
113,хинный_ADJ
114,неповадно_ADJ
115,изящно_ADJ
116,кирилло-белозерский_ADJ
117,настоящее_ADJ
118,-ный_ADJ
119,незаметный_ADJ
120,жарко_ADJ
121,бровальский_ADJ
122,смущенный_ADJ
123,тазобедренный_ADJ
124,вышеназванный_ADJ
125,константиновский_ADJ
126,рябенький_ADJ
127,неутолимый_ADJ
128,акцепторный_ADJ
129,этилен_ADJ
130,шалавый_ADJ
131,барственный_ADJ
132,непонятливый_ADJ
133,гидроакустический_ADJ
134,платонический_ADJ
135,эскадронный_ADJ
136,ительный_ADJ
137,оглушительный_ADJ
138,белоярский_ADJ
139,внештатный_ADJ
140,прощальный_ADJ
141,фотоэлектрический_ADJ
142,огульный_ADJ
143,долгоживти_ADJ
144,купоросный_ADJ
145,верхвреметь_ADJ
146,неуклонный_ADJ
147,железобетоть_ADJ
148,теркин_ADJ
149,вымереть_ADJ
150,мучный_ADJ
151,волгоградский_ADJ
152,ананасный_ADJ
153,казаться_ADJ
154,рябиновый_ADJ
155,земельный_ADJ
156,попа_ADJ
157,кончать_ADJ
158,прокиснуть_ADJ
159,организационный_ADJ
160,общепринятый_ADJ
161,журнальный_ADJ
