,WORD
0,ихний_ADJ
1,предварительный_ADJ
2,постоянный_ADJ
3,сплошной_ADJ
4,иностранный_ADJ
5,евангельский_ADJ
6,рядовой_ADJ
7,весенний_ADJ
8,минувший_ADJ
9,обидный_ADJ
10,возможный_ADJ
11,желтый_ADJ
12,немыслимый_ADJ
13,траурный_ADJ
14,неистовый_ADJ
15,дорожный_ADJ
16,женатый_ADJ
17,новый_ADJ
18,хлебный_ADJ
19,дальний_ADJ
20,испуганный_ADJ
21,информационный_ADJ
22,бурный_ADJ
23,германский_ADJ
24,комсомольский_ADJ
25,должный_ADJ
26,ученый_ADJ
27,армянский_ADJ
28,дневной_ADJ
29,подпольный_ADJ
30,давний_ADJ
31,венгерский_ADJ
32,тугой_ADJ
33,вероятный_ADJ
34,британский_ADJ
35,иронический_ADJ
36,всевозможный_ADJ
37,садовый_ADJ
38,металлический_ADJ
39,квадратный_ADJ
40,отечественный_ADJ
41,дощатый_ADJ
42,обратный_ADJ
43,подводный_ADJ
44,тягостный_ADJ
45,сегодняшний_ADJ
46,брезентовый_ADJ
47,христов_ADJ
48,один_ADJ
49,недолгий_ADJ
50,сельский_ADJ
51,уважаемый_ADJ
52,общий_ADJ
53,двенадцатый_ADJ
54,выходной_ADJ
55,медленный_ADJ
56,публичный_ADJ
57,господень_ADJ
58,годовой_ADJ
59,требовать_ADJ
60,будущее_ADJ
61,новенький_ADJ
62,таинственный_ADJ
63,крымский_ADJ
64,двадцатый_ADJ
65,братский_ADJ
66,дореволюционный_ADJ
67,молочный_ADJ
68,докторский_ADJ
69,тревожный_ADJ
70,детский_ADJ
71,веселой_ADJ
72,бурый_ADJ
73,психологический_ADJ
74,квантовый_ADJ
75,новогодний_ADJ
76,девятнадцатый_ADJ
77,лихой_ADJ
78,дамский_ADJ
79,влюбленный_ADJ
80,частный_ADJ
81,голубой_ADJ
82,пищевой_ADJ
83,близко_ADJ
84,научный_ADJ
85,фактический_ADJ
86,самодельный_ADJ
87,незаметный_ADJ
88,миленький_ADJ
89,сходный_ADJ
90,славянский_ADJ
