,WORD
0,дробный_ADJ
1,вышестоящий_ADJ
2,лайковый_ADJ
3,эвристический_ADJ
4,прифронтовый_ADJ
5,безоговорочный_ADJ
6,мариинский_ADJ
7,щелочный_ADJ
8,1940-й_ADJ
9,обветрить_ADJ
10,пренебрежительный_ADJ
11,торцовый_ADJ
12,вожатая_ADJ
13,гидротехнический_ADJ
14,ватиканский_ADJ
15,антикварный_ADJ
16,капризной_ADJ
17,тухачевский_ADJ
18,лакомый_ADJ
19,смешливый_ADJ
20,постельный_ADJ
21,задний_ADJ
22,дарственный_ADJ
23,чисто_ADJ
24,какой-то_ADJ
25,беспрекословный_ADJ
26,раскосый_ADJ
27,рубиновый_ADJ
28,железобетонный_ADJ
29,ободрать_ADJ
30,44-й_ADJ
31,дубовый_ADJ
32,сизый_ADJ
33,болтливый_ADJ
34,южноафриканский_ADJ
35,думать_ADJ
36,возлюбленная_ADJ
37,обутый_ADJ
38,осведомленный_ADJ
39,кулоновский_ADJ
40,календарный_ADJ
41,оперный_ADJ
42,татаро-монгольский_ADJ
43,слуховой_ADJ
44,можно_ADJ
45,панический_ADJ
46,выездной_ADJ
47,котельная_ADJ
48,мертворожденный_ADJ
49,васильковый_ADJ
50,думский_ADJ
51,убористый_ADJ
52,поголовный_ADJ
53,проектный_ADJ
54,бескровный_ADJ
55,сверхновый_ADJ
56,ванна_ADJ
57,светло_ADJ
58,насиженный_ADJ
59,ноздреватый_ADJ
60,содержаться_ADJ
61,питейный_ADJ
62,катиный_ADJ
63,описать_ADJ
64,условленный_ADJ
65,настоять_ADJ
66,салонный_ADJ
67,комариный_ADJ
68,гастрономический_ADJ
69,прямолинейный_ADJ
70,неспортивный_ADJ
71,сорокалетний_ADJ
72,чопорный_ADJ
73,одесский_ADJ
74,кофейный_ADJ
75,колониальный_ADJ
76,подзорный_ADJ
77,христов_ADJ
78,фортепьяно_ADJ
79,некий_ADJ
80,бородинский_ADJ
81,такой-то_ADJ
82,писать_ADJ
83,клокотать_ADJ
84,выраженный_ADJ
85,вышний_ADJ
86,крестовский_ADJ
87,мишкин_ADJ
88,тележный_ADJ
89,встревожить_ADJ
90,предположительный_ADJ
91,зубной_ADJ
92,тысячный_ADJ
93,неограниченный_ADJ
94,тверской_ADJ
95,благодарный_ADJ
96,неразбериха_ADJ
97,нобелевский_ADJ
98,гордо_ADJ
99,ответный_ADJ
100,парламентский_ADJ
101,сберегательный_ADJ
102,дощатый_ADJ
103,непознанный_ADJ
104,приоткрытый_ADJ
105,легкая_ADJ
106,вагонный_ADJ
107,дебелый_ADJ
108,совместный_ADJ
109,ожидать_ADJ
110,многоопытный_ADJ
111,есенинский_ADJ
112,равномерный_ADJ
113,двусторонний_ADJ
