,WORD
0,ульяновский_ADJ
1,маринкиный_ADJ
2,чековый_ADJ
3,крестильный_ADJ
4,обшарпать_ADJ
5,геббельсовский_ADJ
6,джунгахорский_ADJ
7,равноценный_ADJ
8,далекий_ADJ
9,дивинилстирольный_ADJ
10,желто-зеленый_ADJ
11,арабский_ADJ
12,нейлон_ADJ
13,10-процентный_ADJ
14,поздравительный_ADJ
15,странное_ADJ
16,продовольственный_ADJ
17,квебекский_ADJ
18,замасленный_ADJ
19,манерный_ADJ
20,ноэй_ADJ
21,светло-серый_ADJ
22,достижимый_ADJ
23,папиросный_ADJ
24,инструкторский_ADJ
25,нонче_ADJ
26,плиточный_ADJ
27,непыльный_ADJ
28,неопреновый_ADJ
29,амазонка_ADJ
30,кривоватый_ADJ
31,47-й_ADJ
32,лодочный_ADJ
33,сластолюбивый_ADJ
34,злобно_ADJ
35,графитовый_ADJ
36,деревообрабатывающий_ADJ
37,осмысленный_ADJ
38,мимо_ADJ
39,луковый_ADJ
40,сверхлегкий_ADJ
41,петь_ADJ
42,поклон_ADJ
43,общегородской_ADJ
44,снять_ADJ
45,чиненый_ADJ
46,зубовный_ADJ
47,дуплистый_ADJ
48,72-й_ADJ
49,говно_ADJ
50,двадцатичетырехлетний_ADJ
51,амбулаторный_ADJ
52,синтетический_ADJ
53,взбаламученный_ADJ
54,восстановить_ADJ
55,прицельный_ADJ
56,недоразвитый_ADJ
57,металлорежущий_ADJ
58,голанский_ADJ
59,гидрохиноновый_ADJ
60,исступлять_ADJ
61,научно-художественный_ADJ
62,налипший_ADJ
63,придоть_ADJ
64,правительственный_ADJ
65,рисковать_ADJ
66,телепатический_ADJ
67,предельный_ADJ
68,олешин_ADJ
69,дешевенький_ADJ
70,подобострастный_ADJ
71,марокканский_ADJ
72,фланелевой_ADJ
73,комплементарный_ADJ
74,румын_ADJ
75,искать_ADJ
76,горнохимический_ADJ
77,саксонский_ADJ
78,сталеплавильный_ADJ
79,утешительный_ADJ
80,бесовский_ADJ
81,исправительный_ADJ
82,симпатичнейший_ADJ
83,непроизводительный_ADJ
84,растворимый_ADJ
85,умозрительный_ADJ
86,зеленинский_ADJ
87,азотный_ADJ
88,тиофен_ADJ
89,советовать_ADJ
90,невыяснять_ADJ
91,дюжий_ADJ
92,склочный_ADJ
93,завидно_ADJ
94,зубо_ADJ
95,блудливый_ADJ
96,фонологический_ADJ
97,двенадцатилетний_ADJ
98,шахматный_ADJ
99,керенский_ADJ
100,чадный_ADJ
101,срочно_ADJ
102,фрунзенский_ADJ
103,водовозный_ADJ
104,сумчатый_ADJ
105,вздыхать_ADJ
106,клапать_ADJ
107,-педагогический_ADJ
108,экстатический_ADJ
109,взмыленный_ADJ
110,непрореагировавший_ADJ
111,валиный_ADJ
112,тяжко_ADJ
113,скрупулезный_ADJ
114,десятый_ADJ
115,туманный_ADJ
116,порошковый_ADJ
117,безрезультатный_ADJ
118,гаревый_ADJ
119,китайгородский_ADJ
120,легковерный_ADJ
121,удобрить_ADJ
122,непревзойдеть_ADJ
123,рыболовный_ADJ
124,рысий_ADJ
125,адренокортикотропный_ADJ
126,космологический_ADJ
127,серо-стальный_ADJ
128,обгорелый_ADJ
129,лейтенантский_ADJ
130,лицевой_ADJ
131,первооснова_ADJ
132,этакий_ADJ
133,башкирский_ADJ
134,щебнистый_ADJ
135,премудрый_ADJ
136,хлестко_ADJ
137,прославленный_ADJ
138,саянский_ADJ
139,умершая_ADJ
140,гидрологический_ADJ
141,шаляпинский_ADJ
142,поповский_ADJ
143,лиственничный_ADJ
144,дмитриевский_ADJ
145,огнеметный_ADJ
146,приговаривать_ADJ
147,ругательный_ADJ
148,общепонятный_ADJ
149,общедоступный_ADJ
150,чернявый_ADJ
151,утлый_ADJ
152,соленопадский_ADJ
153,порошкообразный_ADJ
154,колористический_ADJ
155,модифицировать_ADJ
156,узкоглазый_ADJ
157,сверхдальний_ADJ
158,отведять_ADJ
159,злополучный_ADJ
160,троцкистский_ADJ
161,чечевичный_ADJ
162,окровавленный_ADJ
163,коротко_ADJ
164,четырехмерный_ADJ
165,долгоживти_ADJ
166,отвесно_ADJ
167,висеть_ADJ
168,опасливый_ADJ
169,верховский_ADJ
170,циклический_ADJ
171,пустячный_ADJ
172,рясный_ADJ
173,вежеприготовлеть_ADJ
174,животное_ADJ
175,азотнокислый_ADJ
176,многый_ADJ
177,раскатистый_ADJ
178,директорский_ADJ
179,хватать_ADJ
180,нагловатый_ADJ
181,предательский_ADJ
182,побрить_ADJ
183,лосский_ADJ
184,многотомный_ADJ
185,шелковистой_ADJ
186,ненасыщеть_ADJ
187,маршальский_ADJ
188,родный_ADJ
189,санькиный_ADJ
190,плыть_ADJ
191,фракционный_ADJ
192,спешной_ADJ
193,учен_ADJ
194,легковой_ADJ
195,попеременный_ADJ
196,шинный_ADJ
197,урожденный_ADJ
198,-самый_ADJ
199,длиннобородый_ADJ
200,нетолстый_ADJ
201,испитой_ADJ
202,полногрудый_ADJ
203,газогенераторный_ADJ
204,глубоко_ADJ
205,примирительный_ADJ
206,салынский_ADJ
207,1956-й_ADJ
208,васильевна_ADJ
209,страшно_ADJ
210,этажный_ADJ
211,ездовой_ADJ
212,масленый_ADJ
213,аравийский_ADJ
214,тим_ADJ
215,низовой_ADJ
216,ранешный_ADJ
217,панцирный_ADJ
218,сверлильный_ADJ
219,франтоватый_ADJ
220,легонький_ADJ
221,возмущенный_ADJ
222,восьмой_ADJ
223,истребительный_ADJ
224,плешивый_ADJ
225,восьмилетний_ADJ
226,свой_ADJ
227,бесспорно_ADJ
228,ярко-розовый_ADJ
229,коверкотовый_ADJ
230,выподобный_ADJ
231,аничков_ADJ
232,мучительно_ADJ
233,грохотать_ADJ
234,вареный_ADJ
235,заполошный_ADJ
236,разведочный_ADJ
237,сердито_ADJ
238,дальновидный_ADJ
239,пятистопный_ADJ
240,преображенный_ADJ
241,двуглавый_ADJ
242,профсоюзный_ADJ
243,носить_ADJ
244,тьма-тьмущая_ADJ
245,мыслить_ADJ
246,нерастворимый_ADJ
247,всезнающий_ADJ
248,ширококостный_ADJ
249,факультативный_ADJ
250,нижеследующий_ADJ
251,нагреть_ADJ
252,безвредно_ADJ
253,распоследний_ADJ
254,неодушевленный_ADJ
255,49-й_ADJ
256,вводить_ADJ
257,титулярный_ADJ
258,вынужденный_ADJ
259,ожидать_ADJ
260,угольный_ADJ
261,тягкий_ADJ
262,памятливый_ADJ
263,приблудный_ADJ
264,анаэробный_ADJ
265,шарнирный_ADJ
266,военно_ADJ
267,расстрелять_ADJ
268,кастовый_ADJ
269,чумацкий_ADJ
270,михай_ADJ
271,плавать_ADJ
272,лазерный_ADJ
273,гуманитарный_ADJ
274,слабительный_ADJ
275,нетактичный_ADJ
276,вопросительный_ADJ
277,конденсациоть_ADJ
278,пятичасовый_ADJ
279,несвойствать_ADJ
280,20-го_ADJ
281,поразительно_ADJ
282,галогеноводородный_ADJ
283,нрав_ADJ
284,деловитый_ADJ
285,сенный_ADJ
286,главновалентный_ADJ
287,радиоактивна_ADJ
288,заслуженный_ADJ
289,перуанский_ADJ
290,гвоздичный_ADJ
291,шумно_ADJ
292,обломать_ADJ
