,WORD
0,далекий_ADJ
1,арабский_ADJ
2,продовольственный_ADJ
3,синтетический_ADJ
4,правительственный_ADJ
5,предельный_ADJ
6,шахматный_ADJ
7,десятый_ADJ
8,туманный_ADJ
9,этакий_ADJ
10,восьмой_ADJ
11,свой_ADJ
12,вареный_ADJ
13,вынужденный_ADJ
14,угольный_ADJ
15,гуманитарный_ADJ
16,заслуженный_ADJ
17,рыхлый_ADJ
18,массивный_ADJ
19,пролетарский_ADJ
20,проектный_ADJ
21,дошкольный_ADJ
22,аглая_ADJ
23,насмешливый_ADJ
24,настоящее_ADJ
25,фундаментальный_ADJ
26,чугунный_ADJ
27,атомный_ADJ
28,пожарный_ADJ
29,лучший_ADJ
30,грудной_ADJ
31,концертный_ADJ
32,служебный_ADJ
33,любой_ADJ
34,офицерский_ADJ
35,турецкий_ADJ
36,кислый_ADJ
37,лунный_ADJ
38,душистый_ADJ
39,самодельный_ADJ
40,магнитный_ADJ
41,нерв_ADJ
42,радикальный_ADJ
43,много_ADJ
44,шведский_ADJ
45,растерянный_ADJ
46,шестидесятый_ADJ
47,рыбий_ADJ
48,загорелый_ADJ
49,тогдашний_ADJ
50,фанерный_ADJ
51,приветливый_ADJ
52,казанский_ADJ
53,весенний_ADJ
54,исполнительный_ADJ
55,австрийский_ADJ
56,второй_ADJ
57,актерский_ADJ
58,грузинский_ADJ
59,определять_ADJ
60,влиятельный_ADJ
61,определенный_ADJ
62,послевоенный_ADJ
63,могучий_ADJ
64,новгородский_ADJ
65,неслыханный_ADJ
66,давный_ADJ
67,научно-технический_ADJ
68,двенадцатый_ADJ
69,дубовый_ADJ
70,императорский_ADJ
71,индийский_ADJ
72,фронтовой_ADJ
73,региональный_ADJ
74,партийный_ADJ
75,больше_ADJ
76,темный_ADJ
77,священный_ADJ
78,тяжелый_ADJ
79,меховой_ADJ
80,дешевый_ADJ
81,письменный_ADJ
82,родные_ADJ
83,самарский_ADJ
84,декоративный_ADJ
85,заинтересованный_ADJ
86,испуганный_ADJ
