,WORD
0,ульяновский_ADJ
1,чековый_ADJ
2,обшарпать_ADJ
3,равноценный_ADJ
4,далекий_ADJ
5,желто-зеленый_ADJ
6,арабский_ADJ
7,поздравительный_ADJ
8,странное_ADJ
9,продовольственный_ADJ
10,манерный_ADJ
11,светло-серый_ADJ
12,достижимый_ADJ
13,папиросный_ADJ
14,инструкторский_ADJ
15,кривоватый_ADJ
16,47-й_ADJ
17,лодочный_ADJ
18,злобно_ADJ
19,осмысленный_ADJ
20,мимо_ADJ
21,луковый_ADJ
22,общегородской_ADJ
23,снять_ADJ
24,72-й_ADJ
25,говно_ADJ
26,амбулаторный_ADJ
27,синтетический_ADJ
28,прицельный_ADJ
29,недоразвитый_ADJ
30,голанский_ADJ
31,придоть_ADJ
32,правительственный_ADJ
33,рисковать_ADJ
34,телепатический_ADJ
35,предельный_ADJ
36,дешевенький_ADJ
37,подобострастный_ADJ
38,марокканский_ADJ
39,искать_ADJ
40,саксонский_ADJ
41,утешительный_ADJ
42,бесовский_ADJ
43,исправительный_ADJ
44,растворимый_ADJ
45,умозрительный_ADJ
46,азотный_ADJ
47,советовать_ADJ
48,невыяснять_ADJ
49,дюжий_ADJ
50,склочный_ADJ
51,завидно_ADJ
52,блудливый_ADJ
53,двенадцатилетний_ADJ
54,шахматный_ADJ
55,керенский_ADJ
56,срочно_ADJ
57,фрунзенский_ADJ
58,сумчатый_ADJ
59,экстатический_ADJ
60,взмыленный_ADJ
61,тяжко_ADJ
62,скрупулезный_ADJ
63,десятый_ADJ
64,туманный_ADJ
65,порошковый_ADJ
66,безрезультатный_ADJ
67,легковерный_ADJ
68,рыболовный_ADJ
69,космологический_ADJ
70,обгорелый_ADJ
71,лейтенантский_ADJ
72,лицевой_ADJ
73,этакий_ADJ
74,башкирский_ADJ
75,премудрый_ADJ
76,прославленный_ADJ
77,умершая_ADJ
78,обвислый_ADJ
79,гидрологический_ADJ
80,шаляпинский_ADJ
81,поповский_ADJ
82,лиственничный_ADJ
83,дмитриевский_ADJ
84,ругательный_ADJ
85,общепонятный_ADJ
86,общедоступный_ADJ
87,чернявый_ADJ
88,утлый_ADJ
89,колористический_ADJ
90,узкоглазый_ADJ
91,злополучный_ADJ
92,троцкистский_ADJ
93,чечевичный_ADJ
94,окровавленный_ADJ
95,коротко_ADJ
96,четырехмерный_ADJ
97,опасливый_ADJ
98,циклический_ADJ
99,пустячный_ADJ
100,животное_ADJ
101,раскатистый_ADJ
102,директорский_ADJ
103,хватать_ADJ
104,нагловатый_ADJ
105,предательский_ADJ
106,многотомный_ADJ
107,маршальский_ADJ
108,плыть_ADJ
109,фракционный_ADJ
110,легковой_ADJ
111,урожденный_ADJ
112,-самый_ADJ
113,испитой_ADJ
114,глубоко_ADJ
115,примирительный_ADJ
116,васильевна_ADJ
117,страшно_ADJ
118,ездовой_ADJ
119,аравийский_ADJ
120,низовой_ADJ
121,панцирный_ADJ
122,легонький_ADJ
123,возмущенный_ADJ
124,восьмой_ADJ
125,истребительный_ADJ
126,плешивый_ADJ
127,восьмилетний_ADJ
128,свой_ADJ
129,ярко-розовый_ADJ
130,выподобный_ADJ
131,аничков_ADJ
132,грохотать_ADJ
133,вареный_ADJ
134,разведочный_ADJ
135,сердито_ADJ
136,дальновидный_ADJ
137,двуглавый_ADJ
138,профсоюзный_ADJ
139,тьма-тьмущая_ADJ
140,мыслить_ADJ
141,нерастворимый_ADJ
142,всезнающий_ADJ
143,факультативный_ADJ
144,нижеследующий_ADJ
145,нагреть_ADJ
146,неодушевленный_ADJ
147,49-й_ADJ
148,вынужденный_ADJ
149,ожидать_ADJ
150,угольный_ADJ
151,памятливый_ADJ
152,приблудный_ADJ
153,шарнирный_ADJ
154,военно_ADJ
155,лазерный_ADJ
156,гуманитарный_ADJ
157,вопросительный_ADJ
158,20-го_ADJ
159,поразительно_ADJ
160,нрав_ADJ
161,деловитый_ADJ
162,сенный_ADJ
163,заслуженный_ADJ
164,перуанский_ADJ
165,шумно_ADJ
166,ошеломленный_ADJ
167,рыхлый_ADJ
168,пурпурный_ADJ
169,узловатый_ADJ
170,очистной_ADJ
171,перламутровый_ADJ
172,крещеный_ADJ
173,бесполезно_ADJ
174,неопровержимый_ADJ
175,жилетный_ADJ
176,аллергический_ADJ
177,плясать_ADJ
178,позвоночный_ADJ
179,боязный_ADJ
180,ненадежно_ADJ
181,вдова_ADJ
182,турнирный_ADJ
183,отвлеченный_ADJ
184,глубочайший_ADJ
185,отверженный_ADJ
186,разъяренный_ADJ
187,водительский_ADJ
188,четверо_ADJ
189,толстенный_ADJ
190,яковлевна_ADJ
191,возникнуть_ADJ
192,казаться_ADJ
193,статический_ADJ
194,мажорный_ADJ
195,грабительский_ADJ
196,азбучный_ADJ
197,голубовато_ADJ
198,аппетитный_ADJ
199,шашлычная_ADJ
200,вольфрамовый_ADJ
201,тронный_ADJ
202,неразбериха_ADJ
203,очкастый_ADJ
204,маскарадный_ADJ
205,неповоротливый_ADJ
206,просветленный_ADJ
207,квалификационный_ADJ
208,правоверный_ADJ
209,край_ADJ
210,преимущественный_ADJ
211,производная_ADJ
212,массивный_ADJ
213,соединительный_ADJ
214,русой_ADJ
215,повинная_ADJ
216,наручный_ADJ
217,мариновать_ADJ
218,иудейский_ADJ
219,коротконогий_ADJ
220,пролетарский_ADJ
221,солоноватый_ADJ
222,эвакуировать_ADJ
223,безъязыкий_ADJ
224,визитный_ADJ
225,дядюшкин_ADJ
226,непреклонный_ADJ
227,неорганический_ADJ
228,пять_ADJ
229,обосновать_ADJ
230,челябинский_ADJ
231,-лиловый_ADJ
232,проектный_ADJ
233,бревенчатый_ADJ
234,балконный_ADJ
235,придаточный_ADJ
236,расслабить_ADJ
237,неофициальный_ADJ
238,новооткрытый_ADJ
239,пробить_ADJ
240,12-го_ADJ
241,млечный_ADJ
242,искрометный_ADJ
243,27-й_ADJ
244,дошкольный_ADJ
245,аглая_ADJ
246,безотрадный_ADJ
247,полуденный_ADJ
248,царскосельский_ADJ
249,всенощная_ADJ
250,каллиграфический_ADJ
251,кировский_ADJ
252,отведенный_ADJ
253,пахнуть_ADJ
254,тисненый_ADJ
255,трупный_ADJ
256,штормовый_ADJ
257,прибавочный_ADJ
258,насмешливый_ADJ
259,полотно_ADJ
260,оба_ADJ
261,невыясненный_ADJ
262,несвоевременный_ADJ
263,семиэтажный_ADJ
264,настоящее_ADJ
265,интеллигентский_ADJ
266,былинный_ADJ
267,карагандинский_ADJ
268,прокурить_ADJ
269,тяжело_ADJ
270,фундаментальный_ADJ
271,укромный_ADJ
272,свидетельский_ADJ
273,прожженный_ADJ
274,стремительной_ADJ
275,замучить_ADJ
276,непокрытый_ADJ
277,всегдашний_ADJ
278,краснокожий_ADJ
279,донорский_ADJ
280,чугунный_ADJ
281,25-й_ADJ
282,кремневой_ADJ
283,знаменательный_ADJ
284,брюсовский_ADJ
285,клубничный_ADJ
286,атомный_ADJ
287,высоцкий_ADJ
288,туристский_ADJ
289,струганый_ADJ
290,худющий_ADJ
291,компрессорный_ADJ
292,ярко-синий_ADJ
293,вознесенский_ADJ
294,добывать_ADJ
295,разгромный_ADJ
296,гнуть_ADJ
297,вероятностный_ADJ
298,нерентабельный_ADJ
299,лакированный_ADJ
300,нема_ADJ
301,обрекать_ADJ
302,запущенный_ADJ
303,гормональный_ADJ
304,обвиснуть_ADJ
305,кособокий_ADJ
306,скептический_ADJ
307,молотый_ADJ
308,паленый_ADJ
309,таить_ADJ
310,заколдованный_ADJ
311,пожарный_ADJ
312,арбатский_ADJ
313,прижизненный_ADJ
314,ого_ADJ
315,небесно_ADJ
316,гордо_ADJ
