,WORD
0,далекий_ADJ
1,арабский_ADJ
2,синтетический_ADJ
3,правительственный_ADJ
4,десятый_ADJ
5,восьмой_ADJ
6,вынужденный_ADJ
7,фундаментальный_ADJ
8,атомный_ADJ
9,лучший_ADJ
10,служебный_ADJ
11,любой_ADJ
12,турецкий_ADJ
13,лунный_ADJ
14,магнитный_ADJ
15,тогдашний_ADJ
16,весенний_ADJ
17,исполнительный_ADJ
18,второй_ADJ
19,актерский_ADJ
20,грузинский_ADJ
21,определенный_ADJ
22,могучий_ADJ
23,научно-технический_ADJ
24,региональный_ADJ
25,партийный_ADJ
26,темный_ADJ
27,священный_ADJ
28,тяжелый_ADJ
29,дешевый_ADJ
30,письменный_ADJ
31,самарский_ADJ
32,заинтересованный_ADJ
33,твердый_ADJ
34,армейский_ADJ
35,тепловой_ADJ
36,почтовый_ADJ
37,рад_ADJ
38,московский_ADJ
39,природный_ADJ
40,рыночный_ADJ
41,телевизионный_ADJ
42,ласковый_ADJ
43,третий_ADJ
44,дневной_ADJ
45,верховный_ADJ
46,парижский_ADJ
47,первичный_ADJ
48,божий_ADJ
49,пермский_ADJ
50,авиационный_ADJ
51,зимний_ADJ
52,дружеский_ADJ
53,газовый_ADJ
54,осенний_ADJ
55,влажный_ADJ
56,надежный_ADJ
57,воздушный_ADJ
58,положенный_ADJ
59,северный_ADJ
60,солдатский_ADJ
61,прав_ADJ
62,торговый_ADJ
63,совместный_ADJ
64,петербургский_ADJ
65,коммунистический_ADJ
66,нормативный_ADJ
67,ледяной_ADJ
68,латинский_ADJ
69,веселый_ADJ
70,боевой_ADJ
71,распространенный_ADJ
72,пенсионный_ADJ
73,временный_ADJ
74,стратегический_ADJ
75,инженерный_ADJ
76,предыдущий_ADJ
77,христианский_ADJ
78,географический_ADJ
79,преподобный_ADJ
80,напряженный_ADJ
81,районный_ADJ
82,наружный_ADJ
83,органический_ADJ
84,архитектурный_ADJ
85,товарный_ADJ
86,просторный_ADJ
87,комплексный_ADJ
88,взаимный_ADJ
