,WORD
0,немощный_ADJ
1,многозначный_ADJ
2,шквальный_ADJ
3,зубоврачебный_ADJ
4,матерчатый_ADJ
5,петушиный_ADJ
6,аммиачный_ADJ
7,сирый_ADJ
8,неблагозвучный_ADJ
9,поймать_ADJ
10,платежный_ADJ
11,пугливый_ADJ
12,бежать_ADJ
13,десятидневный_ADJ
14,равноценный_ADJ
15,остервенелый_ADJ
16,2-й_ADJ
17,пассажирский_ADJ
18,старообрядческий_ADJ
19,зодчий_ADJ
20,раздвижной_ADJ
21,землистый_ADJ
22,расстроенный_ADJ
23,судить_ADJ
24,темноволосый_ADJ
25,проходная_ADJ
26,составной_ADJ
27,издевательский_ADJ
28,образоваться_ADJ
29,девятнадцатилетний_ADJ
30,порожний_ADJ
31,бесчестный_ADJ
32,долгосрочный_ADJ
33,покаянный_ADJ
34,обкомовский_ADJ
35,взбить_ADJ
36,тектонический_ADJ
37,кирпичный_ADJ
38,колючий_ADJ
39,грациозный_ADJ
40,сгорбить_ADJ
41,частичный_ADJ
42,слава_ADJ
43,зубной_ADJ
44,полуофициальный_ADJ
45,степной_ADJ
46,планетарный_ADJ
47,непорядочный_ADJ
48,равносильный_ADJ
49,кривая_ADJ
50,молебен_ADJ
51,вести_ADJ
52,осенний_ADJ
53,меньше_ADJ
54,ледовитый_ADJ
55,туалетный_ADJ
56,плазменный_ADJ
57,наборный_ADJ
58,эпоха_ADJ
59,непроглядный_ADJ
60,беломраморный_ADJ
61,ломкой_ADJ
62,сталинский_ADJ
63,никакой_ADJ
64,социал-демократический_ADJ
65,злополучный_ADJ
66,ломовой_ADJ
67,посадочный_ADJ
68,транзисторный_ADJ
69,исторический_ADJ
70,шумно_ADJ
71,юго-западный_ADJ
72,плетеный_ADJ
73,бобовый_ADJ
74,бактерицидный_ADJ
75,метеорологический_ADJ
76,индукционный_ADJ
77,океанский_ADJ
78,усеять_ADJ
79,краснознаменный_ADJ
80,лежалый_ADJ
81,девятилетний_ADJ
82,колонна_ADJ
83,хриплый_ADJ
84,лицевой_ADJ
85,ярко-рыжий_ADJ
86,соболий_ADJ
87,насмешливый_ADJ
88,исполнительский_ADJ
89,ретроспективный_ADJ
90,снежный_ADJ
91,девяностый_ADJ
92,древнеиндийский_ADJ
93,безбожный_ADJ
94,сирена_ADJ
95,красненький_ADJ
96,двухметровый_ADJ
97,гаубичный_ADJ
98,уязвимый_ADJ
99,предательский_ADJ
100,вышний_ADJ
101,теплолюбивый_ADJ
102,потухнуть_ADJ
103,чертовый_ADJ
104,петровский_ADJ
105,приветливый_ADJ
106,колдовской_ADJ
107,парчовый_ADJ
108,витринный_ADJ
109,островный_ADJ
110,шестимесячный_ADJ
111,ей-то_ADJ
112,населенный_ADJ
113,фехтовальный_ADJ
114,миловидный_ADJ
115,горяченький_ADJ
116,давн_ADJ
117,козлиный_ADJ
118,аглая_ADJ
119,суздальский_ADJ
120,страусовый_ADJ
121,статический_ADJ
122,типографский_ADJ
123,широкополый_ADJ
124,красноармейский_ADJ
125,посильний_ADJ
126,тенденциозный_ADJ
127,поздравительный_ADJ
128,ребяческий_ADJ
129,ветвистый_ADJ
130,лабораторный_ADJ
131,афонский_ADJ
132,кучерявый_ADJ
133,46-й_ADJ
134,колыбельный_ADJ
135,ненаучный_ADJ
136,махровый_ADJ
137,тернистый_ADJ
138,сашенька_ADJ
139,слаженный_ADJ
140,неимущий_ADJ
141,высоковольтный_ADJ
142,антисоветский_ADJ
143,оглушительный_ADJ
144,силовой_ADJ
145,колченогий_ADJ
146,горластый_ADJ
147,асимметричный_ADJ
148,искупительный_ADJ
149,енисейский_ADJ
150,сентябрьский_ADJ
151,марьин_ADJ
152,закадычный_ADJ
153,самоотверженный_ADJ
154,каретный_ADJ
155,изумрудный_ADJ
156,шагать_ADJ
157,нежнейший_ADJ
158,подкожный_ADJ
159,архиерейский_ADJ
160,гибельный_ADJ
161,создавать_ADJ
162,апокалиптический_ADJ
163,ордынский_ADJ
164,встревожить_ADJ
165,фортепьяно_ADJ
166,катастрофический_ADJ
167,курсовой_ADJ
168,лечебный_ADJ
169,неформальный_ADJ
170,обитаемый_ADJ
171,гористый_ADJ
172,реакционный_ADJ
173,овальный_ADJ
174,узенький_ADJ
175,пушечный_ADJ
176,недосказать_ADJ
177,глубоко_ADJ
178,настроенный_ADJ
179,зналийский_ADJ
180,говяжий_ADJ
181,региональный_ADJ
182,раковый_ADJ
183,колесный_ADJ
184,широкоскулый_ADJ
185,пятиглавый_ADJ
186,день_ADJ
187,обветрить_ADJ
188,неприкасаемый_ADJ
189,прядильный_ADJ
190,брусничный_ADJ
191,высокопрочный_ADJ
192,легкое_ADJ
193,голицын_ADJ
194,ирригационный_ADJ
195,счастье_ADJ
196,высокочтимый_ADJ
197,ведомо_ADJ
198,органический_ADJ
199,безнадежный_ADJ
200,17-й_ADJ
201,непочтительный_ADJ
202,ползучий_ADJ
203,бесталанный_ADJ
204,подкидной_ADJ
205,сломать_ADJ
206,французский_ADJ
207,телесно_ADJ
208,вкопать_ADJ
209,пляжный_ADJ
210,подневольный_ADJ
211,староста_ADJ
212,исковеркать_ADJ
213,возлюбленный_ADJ
214,всемогущий_ADJ
215,вращательный_ADJ
216,безостановочный_ADJ
217,чумазый_ADJ
218,сыпной_ADJ
219,энергично_ADJ
220,черниговский_ADJ
221,атомный_ADJ
222,удлиненный_ADJ
223,устный_ADJ
224,боеспособный_ADJ
225,стремительной_ADJ
226,карантинный_ADJ
227,вздутый_ADJ
228,хрущевский_ADJ
229,армянский_ADJ
230,развернутый_ADJ
231,рыжий_ADJ
232,класть_ADJ
233,заснеженный_ADJ
234,саксонский_ADJ
235,съестной_ADJ
236,серо-зеленый_ADJ
237,внеземной_ADJ
238,взлохматить_ADJ
239,крытый_ADJ
240,страховой_ADJ
241,предать_ADJ
242,чечевичный_ADJ
243,прозаичный_ADJ
244,сверхновый_ADJ
245,сварливый_ADJ
246,лобный_ADJ
247,вельможный_ADJ
248,пунктуальный_ADJ
249,доменный_ADJ
250,больше_ADJ
251,сырьевой_ADJ
252,69-й_ADJ
253,ученать_ADJ
254,пускать_ADJ
255,сладенький_ADJ
256,тряпичный_ADJ
257,польский_ADJ
258,мифический_ADJ
259,бабский_ADJ
260,добровольный_ADJ
261,обувной_ADJ
262,морковный_ADJ
263,панический_ADJ
264,родить_ADJ
265,слуцкий_ADJ
266,костромской_ADJ
267,остальной_ADJ
268,гороховый_ADJ
269,субботний_ADJ
270,живительный_ADJ
271,рабоче-крестьянский_ADJ
272,первейший_ADJ
273,несусветный_ADJ
274,трагедийный_ADJ
275,осведомленный_ADJ
276,библиотечный_ADJ
277,суммарный_ADJ
278,кровопролитный_ADJ
279,распухнуть_ADJ
280,ухо_ADJ
281,торчать_ADJ
282,иезуитский_ADJ
283,вожатая_ADJ
284,авторемонтный_ADJ
285,31-й_ADJ
286,лопоухий_ADJ
287,пыточный_ADJ
288,учиться_ADJ
289,гончий_ADJ
290,выхлопный_ADJ
291,17-ый_ADJ
292,невежливый_ADJ
293,маленькая_ADJ
294,голубовато_ADJ
295,прическа_ADJ
296,управленческий_ADJ
297,недостижимый_ADJ
298,неблагоприятный_ADJ
299,сажень_ADJ
300,пронзительно_ADJ
301,многотонный_ADJ
302,раздаточный_ADJ
303,демисезонный_ADJ
304,сварный_ADJ
305,весна_ADJ
306,годичный_ADJ
307,клеветнический_ADJ
308,командирский_ADJ
309,распределительный_ADJ
310,грошовый_ADJ
311,скалистый_ADJ
312,широчайший_ADJ
313,фугасный_ADJ
314,незаметно_ADJ
315,изразцовый_ADJ
316,тараканий_ADJ
317,техасский_ADJ
318,беззлобный_ADJ
319,сей_ADJ
320,санскритский_ADJ
321,обрядовый_ADJ
322,неприменимый_ADJ
323,отец_ADJ
324,несгибаемый_ADJ
325,кронштадтский_ADJ
326,породистый_ADJ
327,подобрать_ADJ
328,андрюша_ADJ
329,уйма_ADJ
330,винный_ADJ
331,сиятельный_ADJ
332,худющий_ADJ
333,презренный_ADJ
334,позапрошлый_ADJ
335,заупокойный_ADJ
336,катин_ADJ
337,июльский_ADJ
338,недобитый_ADJ
339,грата_ADJ
340,ой_ADJ
341,плотницкий_ADJ
342,1938-й_ADJ
343,дифференциальный_ADJ
344,трехлетний_ADJ
345,мутноватый_ADJ
346,оскорбительный_ADJ
347,застирать_ADJ
348,дидактический_ADJ
349,бездетный_ADJ
350,правоверный_ADJ
351,строжайший_ADJ
352,передняя_ADJ
353,-ный_ADJ
354,увеличительный_ADJ
355,обонятельный_ADJ
356,двукратный_ADJ
357,нестерпимый_ADJ
358,ближневосточный_ADJ
359,импортный_ADJ
360,скоропалительный_ADJ
361,искушенный_ADJ
362,феодальный_ADJ
363,правительственный_ADJ
364,проходной_ADJ
365,унизить_ADJ
366,вороватый_ADJ
367,семилетний_ADJ
368,невыяснять_ADJ
369,гродный_ADJ
370,неутоленный_ADJ
371,стонать_ADJ
372,камчатский_ADJ
373,злостный_ADJ
374,странное_ADJ
375,ихний_ADJ
376,нижеследующий_ADJ
377,мелководный_ADJ
378,федоровна_ADJ
379,односторонний_ADJ
380,шитый_ADJ
381,фракционный_ADJ
382,серьезный_ADJ
383,несносный_ADJ
384,взъерошить_ADJ
385,чайковский_ADJ
386,беломорский_ADJ
387,чайная_ADJ
388,негустой_ADJ
389,нордический_ADJ
390,непристойной_ADJ
391,альпинистский_ADJ
392,третьестепенный_ADJ
393,глийский_ADJ
394,опасливый_ADJ
395,толковать_ADJ
396,парковый_ADJ
397,жесткий_ADJ
398,сабельный_ADJ
399,благозвучный_ADJ
400,инициативный_ADJ
401,бесплотный_ADJ
402,сердечный_ADJ
403,вредительский_ADJ
404,безглазый_ADJ
405,засаленный_ADJ
406,поощрительный_ADJ
407,синеватый_ADJ
408,скучно_ADJ
409,великолепной_ADJ
410,приближать_ADJ
411,вразумительный_ADJ
412,неудержимо_ADJ
413,патриотический_ADJ
414,умершая_ADJ
415,индусский_ADJ
416,магнетический_ADJ
417,сходный_ADJ
418,село_ADJ
419,неразлучный_ADJ
420,дядюшкин_ADJ
421,картежный_ADJ
422,бруклинский_ADJ
423,пограничный_ADJ
424,курский_ADJ
425,добро_ADJ
426,флегматичный_ADJ
427,разверстый_ADJ
428,протестантский_ADJ
429,котельный_ADJ
430,оживленный_ADJ
431,архивный_ADJ
432,донный_ADJ
433,учительский_ADJ
434,неузнаваемый_ADJ
435,неиссякать_ADJ
436,непримиримый_ADJ
437,окровавленный_ADJ
438,пудовый_ADJ
439,неразвитый_ADJ
440,уединенный_ADJ
441,карловый_ADJ
442,кубанский_ADJ
443,коралловый_ADJ
444,венерический_ADJ
445,призрачный_ADJ
446,виделийский_ADJ
447,динамовский_ADJ
448,внешнеторговый_ADJ
449,учетный_ADJ
450,квашеный_ADJ
451,маньчжурский_ADJ
452,синоним_ADJ
453,безденежный_ADJ
454,даровитый_ADJ
455,несведущий_ADJ
456,немудрящий_ADJ
457,думский_ADJ
458,аскетический_ADJ
459,нетерпимый_ADJ
460,серо-голубой_ADJ
461,зоологический_ADJ
462,строй_ADJ
463,антинаучный_ADJ
464,забывчивый_ADJ
465,венецианский_ADJ
466,супружеский_ADJ
467,моложавый_ADJ
468,баратынский_ADJ
469,удалый_ADJ
470,четырнадцатилетний_ADJ
471,крючковатый_ADJ
472,дмитриевский_ADJ
473,селекционный_ADJ
474,72-й_ADJ
475,гравитационный_ADJ
476,..с_ADJ
477,несъедобный_ADJ
478,украинский_ADJ
479,точечный_ADJ
480,отвислый_ADJ
481,комбинированный_ADJ
482,видать_ADJ
483,гальванический_ADJ
484,круглоголовый_ADJ
485,бутафорский_ADJ
486,опасно_ADJ
487,плановый_ADJ
488,кондитерская_ADJ
489,неприязненный_ADJ
490,мудреный_ADJ
491,безупречной_ADJ
492,флорентийский_ADJ
493,казахский_ADJ
494,авдотья_ADJ
495,истребительный_ADJ
496,смирительный_ADJ
497,прижизненный_ADJ
498,сороковой_ADJ
499,тевтонский_ADJ
500,почетный_ADJ
501,млечный_ADJ
502,ливневый_ADJ
503,изогнутый_ADJ
504,аничков_ADJ
505,непечатный_ADJ
506,варфоломеевский_ADJ
507,дилетантский_ADJ
508,чудотворный_ADJ
509,взводный_ADJ
510,умненький_ADJ
511,геройский_ADJ
512,мельчайший_ADJ
513,репчатый_ADJ
514,рассеянный_ADJ
515,уксусный_ADJ
516,распрекрасный_ADJ
517,закусочная_ADJ
518,пленарный_ADJ
519,космологический_ADJ
520,опрометчивый_ADJ
521,выше_ADJ
522,утоптать_ADJ
523,приволжский_ADJ
524,пергаментный_ADJ
525,диверсионный_ADJ
526,причинный_ADJ
527,эллиптический_ADJ
528,высокообразованный_ADJ
529,априорный_ADJ
530,дарственная_ADJ
531,дощатый_ADJ
532,озверелый_ADJ
533,иоанн_ADJ
534,лакировать_ADJ
535,симметричный_ADJ
536,здорово_ADJ
537,кроткий_ADJ
538,тоскливо_ADJ
539,пылать_ADJ
540,антисемитский_ADJ
541,игорный_ADJ
542,водочный_ADJ
543,тюлевый_ADJ
544,западнее_ADJ
545,контрольный_ADJ
546,простыня_ADJ
547,престарый_ADJ
548,болезненно_ADJ
549,крестный_ADJ
550,твердой_ADJ
551,синюшный_ADJ
552,замедлить_ADJ
553,пустотелый_ADJ
554,прицепной_ADJ
555,вещевой_ADJ
556,троянский_ADJ
557,туруханский_ADJ
558,никольский_ADJ
559,присутственный_ADJ
560,онтологический_ADJ
561,тряский_ADJ
562,трубный_ADJ
563,изворотливый_ADJ
564,археологический_ADJ
565,сельскохозяйственный_ADJ
566,неодушевленный_ADJ
567,ребячий_ADJ
568,звенеть_ADJ
569,трудоемкий_ADJ
570,невыдуманный_ADJ
571,промозглый_ADJ
572,роковой_ADJ
573,непереводимый_ADJ
574,ругательный_ADJ
575,будущее_ADJ
576,напряжять_ADJ
577,лесной_ADJ
578,нерастворимый_ADJ
579,солдатский_ADJ
580,березовой_ADJ
581,пехотный_ADJ
582,рождественский_ADJ
583,щеголеватый_ADJ
584,искорежить_ADJ
585,увольнительный_ADJ
586,мускульный_ADJ
587,голова_ADJ
588,немудреный_ADJ
589,вышеуказанный_ADJ
590,искристый_ADJ
591,милейший_ADJ
592,54-й_ADJ
593,самодеятельный_ADJ
594,винницкий_ADJ
595,полосатый_ADJ
596,уборочный_ADJ
597,нерентабельный_ADJ
598,спрятать_ADJ
599,требовать_ADJ
600,сраный_ADJ
601,быт_ADJ
602,ужасно_ADJ
603,перевязочный_ADJ
604,явственный_ADJ
605,забавно_ADJ
606,11-й_ADJ
607,промышленный_ADJ
608,коринфский_ADJ
609,хладнокровный_ADJ
610,артистический_ADJ
611,болван_ADJ
612,шашлычная_ADJ
613,большевистский_ADJ
614,пятницкий_ADJ
615,эпистолярный_ADJ
616,идиллический_ADJ
617,аптечный_ADJ
618,сверкать_ADJ
619,реакторный_ADJ
620,бесхозный_ADJ
621,легкая_ADJ
622,тощий_ADJ
623,подвальный_ADJ
624,грудной_ADJ
625,кедровый_ADJ
626,верх_ADJ
627,сострадательный_ADJ
628,гусеничный_ADJ
629,южноамериканский_ADJ
630,чужеземный_ADJ
631,палаточный_ADJ
632,прелюбопытный_ADJ
633,рожа_ADJ
634,уездный_ADJ
635,заводный_ADJ
636,молчать_ADJ
637,нагловатый_ADJ
638,общегородской_ADJ
639,тревожно_ADJ
640,меловой_ADJ
641,мощеный_ADJ
642,заливной_ADJ
643,радикальный_ADJ
644,мерзостный_ADJ
645,мнительный_ADJ
646,пятилетний_ADJ
647,осанистый_ADJ
648,слаборазвитый_ADJ
649,уставной_ADJ
650,самой-той_ADJ
651,побеждать_ADJ
652,необоримый_ADJ
653,прибыльный_ADJ
654,поповский_ADJ
655,квадратный_ADJ
656,шестой_ADJ
657,горьковатый_ADJ
658,демагогический_ADJ
659,камин_ADJ
660,релятивистский_ADJ
661,ружейный_ADJ
662,-ый_ADJ
663,окраинный_ADJ
664,палить_ADJ
665,быстроногий_ADJ
666,расстегнутый_ADJ
667,урождать_ADJ
668,клуб_ADJ
669,публицистический_ADJ
670,допотопный_ADJ
671,квалифицировать_ADJ
672,кратчайший_ADJ
673,заметно_ADJ
674,линялый_ADJ
675,напряженной_ADJ
676,жухлый_ADJ
677,кухонный_ADJ
678,клыкастый_ADJ
679,дымиться_ADJ
680,думать_ADJ
681,мордатый_ADJ
682,водный_ADJ
683,-мный_ADJ
684,кислый_ADJ
685,незапятнанный_ADJ
686,редчайший_ADJ
687,подзорный_ADJ
688,энный_ADJ
689,внучатый_ADJ
690,тканевый_ADJ
691,скрипичный_ADJ
692,танцующий_ADJ
693,ягодный_ADJ
694,алма-атинский_ADJ
695,энциклопедический_ADJ
696,безгрешный_ADJ
697,обрабатывать_ADJ
698,подъемный_ADJ
699,телячий_ADJ
700,напевный_ADJ
701,пластический_ADJ
702,негласный_ADJ
703,наследственный_ADJ
704,публиковать_ADJ
705,совхозный_ADJ
706,моргать_ADJ
707,конституционный_ADJ
708,разнокалиберный_ADJ
709,замерзать_ADJ
710,телепатический_ADJ
711,чикагский_ADJ
712,псковский_ADJ
713,двухкомнатная_ADJ
714,возбуденный_ADJ
715,предельный_ADJ
716,обидеть_ADJ
717,недвижной_ADJ
718,ржевский_ADJ
719,неотвязный_ADJ
720,суверенный_ADJ
721,герметический_ADJ
722,обезьяний_ADJ
723,нечленораздельный_ADJ
724,неграмотный_ADJ
725,токийский_ADJ
726,нежилой_ADJ
727,признательный_ADJ
728,низший_ADJ
729,протяжный_ADJ
730,чуковский_ADJ
731,-синий_ADJ
732,сдвоенный_ADJ
733,прославленный_ADJ
734,весенне_ADJ
735,миллиметровый_ADJ
736,спертый_ADJ
737,афинский_ADJ
738,развитый_ADJ
739,терновый_ADJ
740,ослабить_ADJ
741,неразличимый_ADJ
742,цветистый_ADJ
