,WORD
0,транспортный_ADJ
1,римский_ADJ
2,влиятельный_ADJ
3,подвижной_ADJ
4,могучий_ADJ
5,ледяной_ADJ
6,босой_ADJ
7,нарядный_ADJ
8,дерзкий_ADJ
9,заслуженный_ADJ
10,соленый_ADJ
11,лунный_ADJ
12,растительный_ADJ
13,роковой_ADJ
14,коричневый_ADJ
15,хозяйственный_ADJ
16,беременный_ADJ
17,призванный_ADJ
18,рыбий_ADJ
19,приветливый_ADJ
20,чрезвычайный_ADJ
21,сосновый_ADJ
22,потный_ADJ
23,садовый_ADJ
24,нормативный_ADJ
25,вооруженный_ADJ
26,нефтяной_ADJ
27,2-й_ADJ
28,сахарный_ADJ
29,научно-исследовательский_ADJ
30,кредитный_ADJ
31,7-й_ADJ
32,двухэтажный_ADJ
33,устный_ADJ
34,бронзовый_ADJ
35,морозный_ADJ
36,дошкольный_ADJ
37,женатый_ADJ
38,союзный_ADJ
39,людской_ADJ
40,теоретический_ADJ
41,федеральный_ADJ
42,распространенный_ADJ
43,охотничий_ADJ
44,шерстяной_ADJ
45,новгородский_ADJ
46,таковой_ADJ
47,полевой_ADJ
48,тепловой_ADJ
49,финский_ADJ
50,электромагнитный_ADJ
51,входной_ADJ
52,дорожный_ADJ
53,армейский_ADJ
54,криминальный_ADJ
55,оборонный_ADJ
56,коллективный_ADJ
57,тридцатый_ADJ
58,родовой_ADJ
59,персидский_ADJ
60,нечистый_ADJ
61,кристаллический_ADJ
62,географический_ADJ
63,предельный_ADJ
64,греческий_ADJ
65,железнодорожный_ADJ
66,зенитный_ADJ
67,монастырский_ADJ
68,афганский_ADJ
69,кислый_ADJ
70,встречный_ADJ
71,нетрудный_ADJ
72,малейший_ADJ
73,судебный_ADJ
74,расположенный_ADJ
75,серебряный_ADJ
76,лагерный_ADJ
77,почетный_ADJ
78,энергетический_ADJ
79,намерен_ADJ
80,божий_ADJ
81,тайный_ADJ
82,офицерский_ADJ
83,пушкинский_ADJ
84,мировой_ADJ
85,исторический_ADJ
86,налоговый_ADJ
87,языковой_ADJ
88,легко_ADJ
89,право_ADJ
90,крестьянский_ADJ
91,сердечный_ADJ
92,прочий_ADJ
93,хорошо_ADJ
94,милицейский_ADJ
95,организационный_ADJ
96,бархатный_ADJ
97,угольный_ADJ
98,1-й_ADJ
99,срочный_ADJ
100,веселой_ADJ
101,дверной_ADJ
102,ученый_ADJ
103,газовый_ADJ
104,грузинский_ADJ
105,огненный_ADJ
106,настоящее_ADJ
107,доверчивый_ADJ
108,нобелевский_ADJ
109,дружный_ADJ
110,минеральный_ADJ
111,половой_ADJ
112,отдаленный_ADJ
113,исполнительный_ADJ
114,топливный_ADJ
115,гуманитарный_ADJ
116,товарный_ADJ
117,славянский_ADJ
118,крепостной_ADJ
119,определять_ADJ
120,испуганный_ADJ
121,составной_ADJ
122,носовой_ADJ
123,потенциальный_ADJ
124,рискованный_ADJ
125,предметный_ADJ
126,подмосковный_ADJ
127,насмешливый_ADJ
128,ядовитый_ADJ
129,прогрессивный_ADJ
130,писательский_ADJ
131,кремлевский_ADJ
132,арабский_ADJ
133,ржавый_ADJ
134,твой_ADJ
135,дачный_ADJ
136,атомный_ADJ
137,природный_ADJ
138,лохматый_ADJ
139,сужден_ADJ
140,меховой_ADJ
141,одесский_ADJ
142,казанский_ADJ
143,футбольный_ADJ
144,количественный_ADJ
145,консервный_ADJ
146,муниципальный_ADJ
147,унизительный_ADJ
148,сталинский_ADJ
149,районный_ADJ
150,рыхлый_ADJ
151,подавляющий_ADJ
152,страховой_ADJ
153,паровой_ADJ
154,колхозный_ADJ
155,парижский_ADJ
156,ежегодный_ADJ
157,тамошний_ADJ
158,петербургский_ADJ
159,покойный_ADJ
160,летучий_ADJ
161,инженерный_ADJ
162,национальный_ADJ
163,святой_ADJ
164,научно-технический_ADJ
165,речной_ADJ
166,служебный_ADJ
167,строительный_ADJ
168,таможенный_ADJ
169,савелий_ADJ
170,прямой_ADJ
171,теплый_ADJ
172,березовый_ADJ
173,собачий_ADJ
174,рыжий_ADJ
175,религиозный_ADJ
176,зимний_ADJ
177,коммунистический_ADJ
178,трудовой_ADJ
179,чей-то_ADJ
180,донской_ADJ
181,австрийский_ADJ
182,жесткий_ADJ
183,органический_ADJ
184,водный_ADJ
185,еврейский_ADJ
186,братский_ADJ
187,виновный_ADJ
188,вражеский_ADJ
189,минувший_ADJ
190,рыночный_ADJ
191,болгарский_ADJ
192,вчерашний_ADJ
193,грозный_ADJ
194,учебный_ADJ
195,промышленный_ADJ
196,шахматный_ADJ
197,двенадцатый_ADJ
198,армянский_ADJ
199,силовой_ADJ
200,высоко_ADJ
201,зубной_ADJ
202,больничный_ADJ
203,ответный_ADJ
204,простейший_ADJ
205,большевистский_ADJ
206,старший_ADJ
207,темный_ADJ
208,дворцовый_ADJ
209,журнальный_ADJ
210,законодательный_ADJ
211,малиновый_ADJ
212,проектный_ADJ
213,постепенный_ADJ
214,ведущий_ADJ
215,сельскохозяйственный_ADJ
216,цивилизованный_ADJ
217,сухопутный_ADJ
218,партизанский_ADJ
219,следственный_ADJ
220,московский_ADJ
221,государственный_ADJ
222,пьяный_ADJ
223,таков_ADJ
224,потребительский_ADJ
225,этнический_ADJ
226,дворянский_ADJ
227,президентский_ADJ
228,невский_ADJ
229,куриный_ADJ
230,желтый_ADJ
231,французский_ADJ
232,лучший_ADJ
233,тяжелый_ADJ
234,пышный_ADJ
235,латинский_ADJ
236,серьезный_ADJ
237,политический_ADJ
238,штатский_ADJ
239,массивный_ADJ
240,опасный_ADJ
241,правый_ADJ
242,медный_ADJ
243,совместный_ADJ
244,много_ADJ
245,жилищный_ADJ
246,хронический_ADJ
247,резной_ADJ
248,православный_ADJ
249,зарубежный_ADJ
250,свой_ADJ
251,боже_ADJ
252,близко_ADJ
253,спасительный_ADJ
254,психический_ADJ
255,полярный_ADJ
256,общественный_ADJ
257,веселый_ADJ
258,понять_ADJ
259,крымский_ADJ
260,дощатый_ADJ
261,металлургический_ADJ
262,христианский_ADJ
263,снежный_ADJ
264,годовой_ADJ
265,заветный_ADJ
266,оконный_ADJ
267,декоративный_ADJ
268,региональный_ADJ
269,заграничный_ADJ
270,дневной_ADJ
271,сизый_ADJ
272,майский_ADJ
273,наружный_ADJ
274,молочный_ADJ
275,лекарственный_ADJ
276,архитектурный_ADJ
277,индийский_ADJ
278,сексуальный_ADJ
279,стратегический_ADJ
280,ударный_ADJ
281,исследовательский_ADJ
282,вычислительный_ADJ
283,банковский_ADJ
284,дыхательный_ADJ
285,молчаливый_ADJ
286,всесоюзный_ADJ
287,нелегкий_ADJ
288,влажный_ADJ
289,жилой_ADJ
290,кавказский_ADJ
291,шелковый_ADJ
292,пролетарский_ADJ
293,багровый_ADJ
294,двоюродный_ADJ
295,шведский_ADJ
296,сценический_ADJ
297,низший_ADJ
298,ракетный_ADJ
299,тверской_ADJ
300,грузовой_ADJ
301,юношеский_ADJ
302,дорогой_ADJ
303,народный_ADJ
304,жестяной_ADJ
305,возможно_ADJ
306,наследственный_ADJ
307,свирепый_ADJ
308,главное_ADJ
309,артиллерийский_ADJ
310,остальной_ADJ
311,основной_ADJ
312,турецкий_ADJ
313,мамин_ADJ
314,кадровый_ADJ
315,клеточный_ADJ
316,вирусный_ADJ
317,вооружать_ADJ
318,девятый_ADJ
319,четкий_ADJ
320,реактивный_ADJ
321,-то_ADJ
322,любезный_ADJ
323,туманный_ADJ
324,звездный_ADJ
325,авиационный_ADJ
326,раненый_ADJ
327,авторитетный_ADJ
328,коммунальный_ADJ
329,промежуточный_ADJ
330,генетический_ADJ
331,воинский_ADJ
332,секретный_ADJ
333,светский_ADJ
334,безнадежный_ADJ
335,зеленый_ADJ
336,высший_ADJ
337,татарский_ADJ
338,больше_ADJ
339,дежурный_ADJ
340,торжественный_ADJ
341,квадратный_ADJ
342,польский_ADJ
343,телевизионный_ADJ
344,зрительный_ADJ
345,памятный_ADJ
346,структурный_ADJ
347,химический_ADJ
348,российский_ADJ
349,полимерный_ADJ
350,лондонский_ADJ
351,императорский_ADJ
352,интимный_ADJ
353,взрослый_ADJ
354,каков_ADJ
355,киевский_ADJ
356,педагогический_ADJ
357,усталый_ADJ
358,юридический_ADJ
359,худший_ADJ
360,послевоенный_ADJ
361,такой-то_ADJ
362,колючий_ADJ
363,поэтический_ADJ
364,итальянский_ADJ
365,смуглый_ADJ
366,питательный_ADJ
367,вековой_ADJ
368,летный_ADJ
369,социалистический_ADJ
370,иностранный_ADJ
371,съемочный_ADJ
372,владимирский_ADJ
373,малый_ADJ
374,классовый_ADJ
375,кирпичный_ADJ
376,королевский_ADJ
377,вынужденный_ADJ
378,синтетический_ADJ
379,священный_ADJ
380,контрольный_ADJ
381,надежный_ADJ
382,седой_ADJ
383,технологический_ADJ
384,двадцатый_ADJ
385,христов_ADJ
386,академический_ADJ
387,целесообразный_ADJ
388,пухлый_ADJ
389,чудной_ADJ
390,новогодний_ADJ
391,израильский_ADJ
392,дореволюционный_ADJ
393,кривой_ADJ
394,песчаный_ADJ
395,белоснежный_ADJ
396,масляный_ADJ
397,огневой_ADJ
398,рогатый_ADJ
399,лечебный_ADJ
400,прибрежный_ADJ
401,десятый_ADJ
402,германский_ADJ
403,геометрический_ADJ
404,неслыханный_ADJ
