,WORD
0,уголовный_ADJ
1,федеральный_ADJ
2,иностранный_ADJ
3,ленинградский_ADJ
4,серебряный_ADJ
5,ближайший_ADJ
6,южный_ADJ
7,мертвый_ADJ
8,генеральный_ADJ
9,судебный_ADJ
10,областной_ADJ
11,желтый_ADJ
12,северный_ADJ
13,торговый_ADJ
14,электрический_ADJ
15,святой_ADJ
16,атомный_ADJ
17,царский_ADJ
18,химический_ADJ
19,основной_ADJ
20,легкий_ADJ
21,ядерный_ADJ
22,дешевый_ADJ
23,рыжий_ADJ
24,серьезный_ADJ
25,хозяйственный_ADJ
26,верховный_ADJ
27,прямой_ADJ
28,согласный_ADJ
29,горький_ADJ
30,теоретический_ADJ
31,юридический_ADJ
32,зарубежный_ADJ
33,зеленый_ADJ
34,тайный_ADJ
35,ведущий_ADJ
36,западный_ADJ
37,далекий_ADJ
38,правый_ADJ
39,частный_ADJ
40,пьяный_ADJ
41,хорошо_ADJ
42,четвертый_ADJ
43,веселый_ADJ
44,молодой_ADJ
45,черный_ADJ
46,международный_ADJ
47,национальный_ADJ
48,тяжелый_ADJ
49,лучший_ADJ
50,последний_ADJ
51,итальянский_ADJ
52,технологический_ADJ
53,российский_ADJ
54,темный_ADJ
55,партийный_ADJ
56,государственный_ADJ
57,трудовой_ADJ
58,промышленный_ADJ
59,коммунистический_ADJ
60,совместный_ADJ
61,простой_ADJ
62,транспортный_ADJ
63,любой_ADJ
64,лесной_ADJ
65,служебный_ADJ
66,священный_ADJ
67,демократический_ADJ
68,налоговый_ADJ
69,третий_ADJ
70,военный_ADJ
71,рабочий_ADJ
72,высший_ADJ
73,православный_ADJ
74,юный_ADJ
75,прав_ADJ
76,шестой_ADJ
77,предыдущий_ADJ
78,взрослый_ADJ
79,божий_ADJ
80,обязанный_ADJ
81,твердый_ADJ
82,пятый_ADJ
83,рад_ADJ
84,восточный_ADJ
85,сельский_ADJ
86,учебный_ADJ
87,таков_ADJ
88,один_ADJ
89,второй_ADJ
90,дорогой_ADJ
91,местный_ADJ
92,мировой_ADJ
93,политический_ADJ
94,остальной_ADJ
95,должен_ADJ
96,водный_ADJ
97,самый_ADJ
98,гражданский_ADJ
99,церковный_ADJ
100,теплый_ADJ
101,московский_ADJ
102,сам_ADJ
103,региональный_ADJ
104,украинский_ADJ
105,таковой_ADJ
106,правовой_ADJ
107,исторический_ADJ
108,экономический_ADJ
109,многие_ADJ
110,народный_ADJ
111,общественный_ADJ
112,социалистический_ADJ
113,христианский_ADJ
114,иной_ADJ
115,живой_ADJ
116,религиозный_ADJ
117,определенный_ADJ
118,духовный_ADJ
119,зимний_ADJ
120,прочий_ADJ
121,опасный_ADJ
122,еврейский_ADJ
123,административный_ADJ
124,старший_ADJ
125,малый_ADJ
126,письменный_ADJ
127,голубой_ADJ
128,первый_ADJ
129,новый_ADJ
130,жесткий_ADJ
131,металлический_ADJ
132,каков_ADJ
133,расположенный_ADJ
134,временный_ADJ
135,экологический_ADJ
136,какой-то_ADJ
137,каждый_ADJ
138,квадратный_ADJ
139,строительный_ADJ
140,положенный_ADJ
141,надежный_ADJ
142,исполнительный_ADJ
143,чей-то_ADJ
144,природный_ADJ
145,воздушный_ADJ
146,французский_ADJ
147,боевой_ADJ
148,другой_ADJ
