,WORD
0,органический_ADJ
1,грозный_ADJ
2,жесткий_ADJ
3,божий_ADJ
4,сельскохозяйственный_ADJ
5,тяжкий_ADJ
6,дежурный_ADJ
7,украинский_ADJ
8,убежденный_ADJ
9,жилой_ADJ
10,атомный_ADJ
11,уголовный_ADJ
12,право_ADJ
13,покойный_ADJ
14,районный_ADJ
15,педагогический_ADJ
16,потенциальный_ADJ
17,коммунальный_ADJ
18,киевский_ADJ
19,вынужденный_ADJ
20,лунный_ADJ
21,нефтяной_ADJ
22,природный_ADJ
23,учебный_ADJ
24,полевой_ADJ
25,воинский_ADJ
26,седой_ADJ
27,еврейский_ADJ
28,исполнительный_ADJ
29,экспериментальный_ADJ
30,рыночный_ADJ
31,светский_ADJ
32,решительный_ADJ
33,праздничный_ADJ
34,весенний_ADJ
35,влажный_ADJ
36,парижский_ADJ
37,дорожный_ADJ
38,взрослый_ADJ
39,кавказский_ADJ
40,комплексный_ADJ
41,сталинский_ADJ
42,четкий_ADJ
43,расположенный_ADJ
44,временный_ADJ
45,твердый_ADJ
46,электрический_ADJ
47,магнитный_ADJ
48,газовый_ADJ
49,психический_ADJ
50,опасный_ADJ
51,прочий_ADJ
52,ложный_ADJ
53,темный_ADJ
54,политический_ADJ
55,армейский_ADJ
56,королевский_ADJ
57,малейший_ADJ
58,медный_ADJ
59,таковой_ADJ
60,областной_ADJ
61,национальный_ADJ
62,теплый_ADJ
63,турецкий_ADJ
64,научно-технический_ADJ
65,звездный_ADJ
66,коренной_ADJ
67,преподобный_ADJ
68,восьмой_ADJ
69,аналитический_ADJ
70,таможенный_ADJ
71,геологический_ADJ
72,британский_ADJ
73,технологический_ADJ
74,снежный_ADJ
75,силовой_ADJ
76,молодежный_ADJ
77,растительный_ADJ
78,олимпийский_ADJ
79,должностной_ADJ
80,товарный_ADJ
81,актерский_ADJ
82,крестьянский_ADJ
83,коллективный_ADJ
84,стратегический_ADJ
85,принятый_ADJ
86,четвертый_ADJ
87,хорошо_ADJ
88,фундаментальный_ADJ
89,незаконный_ADJ
90,милицейский_ADJ
91,пищевой_ADJ
92,ракетный_ADJ
93,вчерашний_ADJ
94,служебный_ADJ
95,региональный_ADJ
96,коричневый_ADJ
97,ближний_ADJ
98,прямой_ADJ
99,духовный_ADJ
100,ученый_ADJ
101,секретный_ADJ
102,ленинградский_ADJ
103,христианский_ADJ
104,остальной_ADJ
105,сибирский_ADJ
106,лесной_ADJ
107,южный_ADJ
108,социалистический_ADJ
109,пьяный_ADJ
110,таков_ADJ
111,религиозный_ADJ
112,трудовой_ADJ
113,заводской_ADJ
114,телевизионный_ADJ
115,контрольный_ADJ
116,муниципальный_ADJ
117,инженерный_ADJ
118,воздушный_ADJ
119,сельский_ADJ
120,федеральный_ADJ
121,партийный_ADJ
122,октябрьский_ADJ
123,структурный_ADJ
124,1-й_ADJ
125,третий_ADJ
126,военный_ADJ
127,греческий_ADJ
128,транспортный_ADJ
129,живой_ADJ
130,любой_ADJ
131,мертвый_ADJ
132,дорогой_ADJ
133,общественный_ADJ
134,второй_ADJ
135,многие_ADJ
136,нелегкий_ADJ
137,девятый_ADJ
138,государственный_ADJ
139,основной_ADJ
140,тепловой_ADJ
141,чрезвычайный_ADJ
142,мировой_ADJ
143,народный_ADJ
144,рад_ADJ
145,каков_ADJ
146,восточный_ADJ
147,серьезный_ADJ
148,старший_ADJ
149,следственный_ADJ
150,архитектурный_ADJ
151,распространенный_ADJ
152,энергетический_ADJ
153,дружеский_ADJ
154,двадцатый_ADJ
155,грузинский_ADJ
156,плохо_ADJ
157,страховой_ADJ
158,минувший_ADJ
159,финский_ADJ
160,испанский_ADJ
161,газетный_ADJ
162,железнодорожный_ADJ
163,священный_ADJ
164,теоретический_ADJ
165,юридический_ADJ
166,водный_ADJ
167,польский_ADJ
168,легко_ADJ
169,президентский_ADJ
170,земельный_ADJ
171,конституционный_ADJ
172,российский_ADJ
173,православный_ADJ
174,сердечный_ADJ
175,петербургский_ADJ
176,налоговый_ADJ
177,десятый_ADJ
178,2-й_ADJ
179,латинский_ADJ
