,WORD
0,абсурдный_ADJ
1,авантюристический_ADJ
2,авантюрный_ADJ
3,авральный_ADJ
4,авторитетный_ADJ
5,агрессивный_ADJ
6,адекватный_ADJ
7,адский_ADJ
8,аккуратный_ADJ
9,активный_ADJ
10,актуальный_ADJ
11,алогичный_ADJ
12,алчный_ADJ
13,аморальный_ADJ
14,аморфный_ADJ
15,ангельский_ADJ
16,аномальный_ADJ
17,антагонистический_ADJ
18,антинародный_ADJ
19,апатичный_ADJ
20,аппетитный_ADJ
21,аристократический_ADJ
22,артистический_ADJ
23,артистичный_ADJ
24,архаический_ADJ
25,архаичный_ADJ
26,бабский_ADJ
27,балованный_ADJ
28,банальный_ADJ
29,бандитский_ADJ
30,бдительный_ADJ
31,беднейший_ADJ
32,бедненький_ADJ
33,бедный_ADJ
34,бедняцкий_ADJ
35,бедственный_ADJ
36,безалаберный_ADJ
37,безапелляционный_ADJ
38,безбедный_ADJ
39,безбожный_ADJ
40,безвинный_ADJ
41,безвкусный_ADJ
42,безвольный_ADJ
43,безвредный_ADJ
44,безвременный_ADJ
45,безвыходный_ADJ
46,безголовый_ADJ
47,безграмотный_ADJ
48,безгрешный_ADJ
49,бездарный_ADJ
50,безденежный_ADJ
51,бездеятельный_ADJ
52,бездоказательный_ADJ
53,бездумный_ADJ
54,бездушный_ADJ
55,безжалостный_ADJ
56,безжизненный_ADJ
57,беззаботный_ADJ
58,беззаконный_ADJ
59,беззащитный_ADJ
60,беззлобный_ADJ
61,безликий_ADJ
62,безмозглый_ADJ
63,безмятежный_ADJ
64,безнадежный_ADJ
65,безнаказанный_ADJ
66,безобидный_ADJ
67,безоблачный_ADJ
68,безобразный_ADJ
69,безопасный_ADJ
70,безответственный_ADJ
71,безотказный_ADJ
72,безотрадный_ADJ
73,безошибочный_ADJ
74,безрадостный_ADJ
75,безразличный_ADJ
76,безрезультатный_ADJ
77,безрукий_ADJ
78,безукоризненный_ADJ
79,безумный_ADJ
80,безупречный_ADJ
81,безуспешный_ADJ
82,безутешный_ADJ
83,безучастный_ADJ
84,безыскусный_ADJ
85,безыскусственный_ADJ
86,безысходный_ADJ
87,белесый_ADJ
88,бережливый_ADJ
89,бережный_ADJ
90,бескомпромиссный_ADJ
91,бесконтрольный_ADJ
92,бескорыстный_ADJ
93,беспамятный_ADJ
94,беспардонный_ADJ
95,бесперспективный_ADJ
96,беспечный_ADJ
97,бесплодный_ADJ
98,бесподобный_ADJ
99,бесполезный_ADJ
100,беспомощный_ADJ
101,беспорядочный_ADJ
102,беспочвенный_ADJ
103,беспощадный_ADJ
