,WORD
0,абсурдный_ADJ
1,авантюрный_ADJ
2,авторитетный_ADJ
3,агрессивный_ADJ
4,адекватный_ADJ
5,адский_ADJ
6,аккуратный_ADJ
7,активный_ADJ
8,актуальный_ADJ
9,алчный_ADJ
10,аморальный_ADJ
11,аморфный_ADJ
12,ангельский_ADJ
13,аномальный_ADJ
14,антагонистический_ADJ
15,антинародный_ADJ
16,аппетитный_ADJ
17,аристократический_ADJ
18,артистический_ADJ
19,артистичный_ADJ
20,архаический_ADJ
21,архаичный_ADJ
22,бабский_ADJ
23,балованный_ADJ
24,банальный_ADJ
25,бандитский_ADJ
26,бдительный_ADJ
27,беднейший_ADJ
28,бедненький_ADJ
29,бедный_ADJ
30,бедняцкий_ADJ
31,бедственный_ADJ
32,безалаберный_ADJ
33,безапелляционный_ADJ
34,безбедный_ADJ
35,безбожный_ADJ
36,безвинный_ADJ
37,безвкусный_ADJ
38,безвольный_ADJ
39,безвредный_ADJ
40,безвременный_ADJ
41,безвыходный_ADJ
42,безголовый_ADJ
43,безграмотный_ADJ
44,безгрешный_ADJ
45,бездарный_ADJ
46,безденежный_ADJ
47,бездумный_ADJ
48,бездушный_ADJ
49,безжалостный_ADJ
50,безжизненный_ADJ
51,беззаботный_ADJ
52,беззаконный_ADJ
53,беззащитный_ADJ
54,беззлобный_ADJ
55,безликий_ADJ
56,безмозглый_ADJ
57,безмятежный_ADJ
58,безнадежный_ADJ
59,безнаказанный_ADJ
60,безобидный_ADJ
61,безоблачный_ADJ
62,безобразный_ADJ
63,безопасный_ADJ
64,безответственный_ADJ
65,безотказный_ADJ
66,безотрадный_ADJ
67,безошибочный_ADJ
68,безрадостный_ADJ
69,безразличный_ADJ
70,безрезультатный_ADJ
71,безрукий_ADJ
72,безукоризненный_ADJ
73,безумный_ADJ
74,безупречный_ADJ
75,безуспешный_ADJ
76,безутешный_ADJ
77,безучастный_ADJ
78,безысходный_ADJ
79,белесый_ADJ
80,бережливый_ADJ
81,бережный_ADJ
82,бескомпромиссный_ADJ
83,бесконтрольный_ADJ
84,бескорыстный_ADJ
85,беспамятный_ADJ
86,беспардонный_ADJ
87,бесперспективный_ADJ
88,беспечный_ADJ
89,бесплодный_ADJ
90,бесподобный_ADJ
91,бесполезный_ADJ
92,беспомощный_ADJ
93,беспорядочный_ADJ
94,беспочвенный_ADJ
95,беспощадный_ADJ
96,беспрепятственный_ADJ
97,беспризорный_ADJ
98,беспринципный_ADJ
99,беспристрастный_ADJ
100,беспросветный_ADJ
101,беспутный_ADJ
102,бессвязный_ADJ
103,бессердечный_ADJ
104,бессильный_ADJ
105,бесславный_ADJ
106,бессмертный_ADJ
107,бессмысленный_ADJ
108,бессовестный_ADJ
109,бессодержательный_ADJ
110,бесстрашный_ADJ
111,бесстыдный_ADJ
112,бессчетный_ADJ
113,бестактный_ADJ
114,бесталанный_ADJ
115,бестолковый_ADJ
116,бесхитростный_ADJ
117,бесцветный_ADJ
118,бесценный_ADJ
119,бесцеремонный_ADJ
120,бесчеловечный_ADJ
121,бесчестный_ADJ
122,бесчисленный_ADJ
123,бесчувственный_ADJ
124,бешеный_ADJ
125,битый_ADJ
126,благоверный_ADJ
127,благодатный_ADJ
128,благодетельный_ADJ
129,благожелательный_ADJ
130,благой_ADJ
131,благополучный_ADJ
132,благопристойный_ADJ
133,благоприятный_ADJ
134,благоразумный_ADJ
135,благородный_ADJ
136,благосклонный_ADJ
137,благословенный_ADJ
138,благотворный_ADJ
139,благоустроенный_ADJ
140,благочестивый_ADJ
141,бледный_ADJ
142,блеклый_ADJ
143,блестящий_ADJ
144,близорукий_ADJ
145,блистательный_ADJ
146,богатый_ADJ
147,бодрый_ADJ
148,божеский_ADJ
149,божественный_ADJ
150,бойкий_ADJ
151,болезненный_ADJ
152,бравый_ADJ
153,бранный_ADJ
154,бредовый_ADJ
155,бросовый_ADJ
156,брюзгливый_ADJ
157,буйный_ADJ
158,бульварный_ADJ
159,бунтарский_ADJ
160,бутафорский_ADJ
161,буферный_ADJ
162,быстротечный_ADJ
163,бюрократический_ADJ
164,важный_ADJ
165,варварский_ADJ
166,вареный_ADJ
167,вдумчивый_ADJ
168,вежливый_ADJ
169,везучий_ADJ
170,велеречивый_ADJ
171,великий_ADJ
172,великодержавный_ADJ
173,великолепный_ADJ
174,величавый_ADJ
175,величественный_ADJ
176,верноподданный_ADJ
177,верный_ADJ
178,вероломный_ADJ
179,веселенький_ADJ
180,веселый_ADJ
181,веский_ADJ
182,весомый_ADJ
183,ветреный_ADJ
184,ветхий_ADJ
185,ветхозаветный_ADJ
186,вздорный_ADJ
187,взрывной_ADJ
188,взрывоопасный_ADJ
189,взрывчатый_ADJ
190,взыскательный_ADJ
191,видимый_ADJ
