ID,WORD,POS,LEMMA,SENTIMENT,SOURCE,SENSE
1,абсурдный,Adj,абсурдный,negative,opinion,
2,авантюристический,Adj,авантюристический,negative,opinion,
3,авантюристский,Adj,авантюристский,negative,opinion,
4,авантюрный,Adj,авантюрный,negative,opinion,
7,авральный,Adj,авральный,negative,opinion,
8,авторитарный,Adj,авторитарный,negative,opinion,
9,авторитетный,Adj,авторитетный,positive,opinion,
10,агрессивный,Adj,агрессивный,negative,opinion,
11,агрессорский,Adj,агрессорский,negative,opinion,
12,адаптационный,Adj,адаптационный,positive,opinion,
13,адаптивный,Adj,адаптивный,positive,opinion,
14,адекватный,Adj,адекватный,positive,opinion,
15,адов,Adj,адов,negative,opinion,
17,адский,Adj,адский,negative,opinion,
19,аккуратный,Adj,аккуратный,positive,opinion,
20,активный,Adj,активный,positive,opinion,
21,актуальный,Adj,актуальный,positive,opinion,
25,алогический,Adj,алогический,negative,opinion,
26,алогичный,Adj,алогичный,negative,opinion,
27,алчный,Adj,алчный,negative,opinion,
28,аморальный,Adj,аморальный,negative,opinion,
29,аморфный,Adj,аморфный,negative,opinion,БЕЗДЕЯТЕЛЬНЫЙ
30,аморфный,Adj,аморфный,negative,opinion,РАСПЛЫВЧАТЫЙ (НЕЯСНЫЙ)
36,ангажированный,Adj,ангажированный,negative,opinion,
37,ангельский,Adj,ангельский,positive,opinion,
41,анемичный,Adj,анемичный,negative,opinion,
42,аномальный,Adj,аномальный,negative,opinion,
43,антагонистический,Adj,антагонистический,negative,opinion,
44,антагонистичный,Adj,антагонистичный,negative,opinion,
45,антагонистский,Adj,антагонистский,negative,opinion,
46,антигуманистический,Adj,антигуманистический,negative,opinion,
47,антигуманный,Adj,антигуманный,negative,opinion,
48,антизаконный,Adj,антизаконный,negative,opinion,
51,антинародный,Adj,антинародный,negative,opinion,
52,антиобщественный,Adj,антиобщественный,negative,opinion,
53,антипатичный,Adj,антипатичный,negative,opinion,
58,антисоциальный,Adj,антисоциальный,negative,opinion,
60,античеловеческий,Adj,античеловеческий,negative,opinion,
61,античеловечный,Adj,античеловечный,negative,opinion,
62,апатический,Adj,апатический,negative,opinion,
63,апатичный,Adj,апатичный,negative,opinion,
65,аппетитный,Adj,аппетитный,positive,opinion,
66,аристократический,Adj,аристократический,positive,opinion,
67,аристократичный,Adj,аристократичный,positive,opinion,
71,артистический,Adj,артистический,positive,opinion,
72,артистичный,Adj,артистичный,positive,opinion,
73,архаический,Adj,архаический,negative,opinion,
74,архаичный,Adj,архаичный,negative,opinion,
75,архиважный,Adj,архиважный,positive,opinion,
78,аутсайдерский,Adj,аутсайдерский,negative,opinion,
79,аферистский,Adj,аферистский,negative,opinion,
80,афигенный,Adj,афигенный,positive,opinion,
82,бабский,Adj,бабский,negative,opinion,
83,балованный,Adj,балованный,negative,opinion,
84,банальный,Adj,банальный,negative,opinion,
85,бандитский,Adj,бандитский,negative,opinion,
87,бардачный,Adj,бардачный,negative,opinion,
91,барышнический,Adj,барышнический,negative,opinion,
94,бахвальский,Adj,бахвальский,negative,opinion,
96,башковитый,Adj,башковитый,positive,opinion,
97,бдительный,Adj,бдительный,positive,opinion,
98,беднейший,Adj,беднейший,negative,opinion,
99,бедненький,Adj,бедненький,positive,opinion,
100,бедный,Adj,бедный,negative,opinion,
101,бедняцкий,Adj,бедняцкий,negative,opinion,
102,бедственный,Adj,бедственный,negative,opinion,
103,безалаберный,Adj,безалаберный,negative,opinion,
104,безальтернативный,Adj,безальтернативный,negative,opinion,
105,безапелляционный,Adj,безапелляционность,negative,opinion,
106,безбедный,Adj,безбедный,positive,opinion,
108,безбожный,Adj,безбожный,negative,opinion,БЕССОВЕСТНЫЙ
109,безбоязненный,Adj,безбоязненный,positive,opinion,
110,безвинный,Adj,безвинный,positive,opinion,
112,безвкусный,Adj,безвкусный,negative,opinion,"БЕЗВКУСИЦА,ПЛОХОЙ ВКУС"
113,безвозбранный,Adj,безвозбранный,positive,opinion,
114,безвольный,Adj,безвольный,negative,opinion,
115,безвредный,Adj,безвредный,positive,opinion,
116,безвременный,Adj,безвременный,negative,opinion,
117,безвыходный,Adj,безвыходный,negative,opinion,
118,безголовый,Adj,безголовый,negative,opinion,
119,безграмотный,Adj,безграмотный,negative,opinion,
120,безгреховный,Adj,безгреховный,positive,opinion,
121,безгрешный,Adj,безгрешный,positive,opinion,
122,бездарный,Adj,бездарный,negative,opinion,
123,безденежный,Adj,безденежный,negative,opinion,
124,бездеятельный,Adj,бездеятельный,negative,opinion,
125,бездоказательный,Adj,бездоказательный,negative,opinion,
127,бездумный,Adj,бездумный,negative,opinion,
128,бездушный,Adj,бездушный,negative,opinion,
129,безжалостный,Adj,безжалостный,negative,opinion,
130,безжизненный,Adj,безжизненный,negative,opinion,
131,беззаботный,Adj,беззаботный,positive,opinion,
132,беззаконный,Adj,беззаконный,negative,opinion,
133,беззастенчивый,Adj,беззастенчивый,negative,opinion,
134,беззащитный,Adj,беззащитный,negative,opinion,
135,беззлобный,Adj,беззлобный,positive,opinion,
136,безликий,Adj,безликий,negative,opinion,
137,безмозглый,Adj,безмозглый,negative,opinion,
138,безмятежный,Adj,безмятежный,positive,opinion,
139,безнадежный,Adj,безнадежный,negative,opinion,
140,безнаказанный,Adj,безнаказанный,negative,opinion,
141,безобидный,Adj,безобидный,positive,opinion,
