,WORD,frequency,mean_dist_procrustes,mean_dist_globalanchors,sum_deltas_procrustes,sum_deltas_globalanchors
0,клеточный_ADJ,2.864234305453922e-05,0.30660357140004635,0.9693857980309986,0.5,0.5
1,уважаемый_ADJ,2.870875782589569e-05,0.34280734369531274,0.9229008985566907,0.5,0.5
2,душистый_ADJ,3.344797795409427e-05,0.3411110043525696,0.715646531432867,0.0,0.5
3,территориальный_ADJ,3.346330825290592e-05,0.4178490461781621,0.9803742741933092,1.0,0.5
4,альтернативный_ADJ,1.672529057428927e-05,0.4971625341568142,0.8633077926933765,0.5,0.5
5,акционерный_ADJ,1.8639100449181486e-05,0.3559485413134098,0.8051268806448206,0.5,0.5
6,записной_ADJ,4.365315817367422e-05,0.30869012884795666,0.7888980889692903,0.5,0.5
7,открывать_ADJ,4.3864036952290564e-05,0.38284729118458927,0.9871081615565345,0.0,0.5
8,горький_ADJ,0.00017031721654434681,0.36865498404949903,0.9908618660410866,0.0,0.0
9,обязанный_ADJ,0.0001685911900578237,0.47081679105758667,0.9606959358789027,0.5,0.0
10,лихой_ADJ,3.8251377055643886e-05,0.35052574798464775,0.8145740870386362,0.0,0.5
11,твой_ADJ,3.832919359178754e-05,0.31886111106723547,0.9354443587362766,0.5,0.5
12,целевой_ADJ,1.6926382195577846e-05,0.3921820204705,0.8812045933445916,0.5,0.5
13,парламентский_ADJ,1.96526065761083e-05,0.4111329293809831,0.9656986168574804,0.0,0.0
14,голый_ADJ,0.00024559995912276715,0.37845357274636626,0.9018561709672213,0.5,0.0
15,таков_ADJ,0.00023006927655394452,0.379147719591856,0.9560325189959258,0.5,0.5
16,повышенный_ADJ,2.7954910973031575e-05,0.31329516507685184,0.9711804180406034,0.0,0.0
17,загородный_ADJ,2.783653436180791e-05,0.33862436562776566,0.9464226451236755,0.0,0.5
18,дыхательный_ADJ,3.571387613594835e-05,0.2665254510939121,0.9544097245670855,1.0,0.0
19,подмосковный_ADJ,3.5812893045232405e-05,0.3438841961324215,0.9294581236317754,-0.5,0.0
20,входной_ADJ,4.845567323901973e-05,0.3438489455729723,0.8887834390625358,0.5,0.5
21,грядущий_ADJ,4.759886470046099e-05,0.3369549475610256,0.949762693606317,0.5,0.0
22,морозный_ADJ,5.391287155158219e-05,0.32774750608950853,0.8661080747842789,0.0,0.5
23,часовой_ADJ,5.4185766748687454e-05,0.3632693667896092,0.9458341379649937,0.5,0.5
24,бесплатный_ADJ,4.22341521558091e-05,0.37178557412698865,0.9539388525299728,-0.5,0.0
25,родственный_ADJ,4.241650482755756e-05,0.3568200012668967,0.9835985803510994,0.5,0.0
26,чрезвычайный_ADJ,5.588071575821432e-05,0.38267227658070624,0.9853504743659869,0.5,0.0
27,словесный_ADJ,5.545692454542641e-05,0.35292631667107344,0.9611147716641426,0.0,0.5
28,сравнительный_ADJ,2.343603133351972e-05,0.34832166973501444,0.9823227039305493,0.0,0.5
29,80-й_ADJ,2.3779060312873677e-05,0.36352221481502056,0.8430839590146206,0.0,0.5
30,миниатюрный_ADJ,2.8889373388023605e-05,0.3393366108648479,0.9011326991021633,0.0,0.5
31,решающий_ADJ,2.8585377526166804e-05,0.3219428029842675,0.9313113801181316,-0.5,0.5
32,окрестный_ADJ,2.9445595729953988e-05,0.3479910744354129,0.9104413334280252,0.0,0.0
33,плавный_ADJ,2.9365503112816915e-05,0.33894538320600986,0.9752950905822217,0.5,0.0
34,намерен_ADJ,6.720142751772007e-05,0.3970947335474193,0.9918130309088156,0.5,0.0
35,лысый_ADJ,6.64607164754309e-05,0.40420047752559185,0.750044696033001,-0.5,0.5
36,рекламный_ADJ,4.9240300733209056e-05,0.38561373262200505,0.8890407357830554,0.5,0.5
37,силовой_ADJ,4.941610628847421e-05,0.391924474388361,0.9519211541628465,0.5,0.5
38,дачный_ADJ,3.8681974305780157e-05,0.3552271567750722,0.9981058817647863,0.5,-0.5
39,либеральный_ADJ,3.872661835616978e-05,0.36572112515568733,0.9749519788310863,0.5,0.5
40,университетский_ADJ,4.419575902457523e-05,0.37381108896806836,0.9838073613791494,0.5,0.0
41,бурый_ADJ,4.4116974921468577e-05,0.337728101760149,0.7923382725566626,-0.5,0.5
42,товарный_ADJ,4.4704142121735846e-05,0.3909012544900179,0.9606798342429101,0.5,0.5
43,конный_ADJ,4.510680825389395e-05,0.3380530602298677,0.9536431350570638,0.0,0.5
44,девятый_ADJ,9.835801106486449e-05,0.32481101527810097,0.9992407321115024,0.0,0.5
45,крохотный_ADJ,9.874197493013105e-05,0.37864208314567804,0.9672267602290958,0.0,0.0
46,лондонский_ADJ,3.543153042245613e-05,0.34212414687499404,0.925722470972687,0.0,0.5
47,количественный_ADJ,3.508667514390278e-05,0.36035037226974964,0.9662497923709452,-0.5,0.5
48,швейцарский_ADJ,2.6574470391603175e-05,0.3532125409692526,0.8617075672373176,0.0,0.5
49,пермский_ADJ,2.662155947958867e-05,0.4154143766500056,0.8139514662325382,0.5,0.5
50,присущий_ADJ,5.254560578621302e-05,0.35248667502310127,0.9631229062797502,0.0,0.5
51,1-й_ADJ,5.277746078178724e-05,0.3451417423784733,0.9342785961925983,0.5,0.0
52,неповторимый_ADJ,5.424483878690483e-05,0.3529378639650531,0.9509204100468196,0.5,0.0
53,мамин_ADJ,5.4008745106082406e-05,0.37140138261020184,0.8033929318189621,-0.5,0.5
54,импортный_ADJ,2.7224542182363566e-05,0.3694235244765878,0.7893636375665665,1.0,0.5
55,валютный_ADJ,2.7176626084764882e-05,0.41687320871278644,0.9379808567464352,0.5,0.5
56,юбилейный_ADJ,3.878960242546141e-05,0.3285219054669142,0.9685715430532582,0.5,0.5
57,удельный_ADJ,3.874753068933623e-05,0.3189342226833105,0.9436997143202461,0.5,0.5
