ID,WORD,BASE_YEAR,OLD_CONTEXTS,NEW_CONTEXTS
0,время_NOUN,2007,"[['свой', 'время', 'он', 'быть', 'миноритарный', 'акционер', 'юкос', 'даже', 'число', '12', 'портфельный', 'инвестор', '2004', 'год', 'писать', 'письмо', 'президент', 'рф::владимир::путин', 'ситуация', 'вокруг', 'юкос'], ['16', 'январь', '1991', 'год', '19.00', 'по', 'вашингтонский', 'время', '17', 'январь', '03.00', 'по', 'багдадской', 'время', 'начинаться', 'операция', 'буря', 'пустыня'], ['дебют', 'капабланка', 'европа', 'на', 'крупный', 'международный', 'турнир', 'сан-себастьяный', '1911', 'где', 'кроме', 'ласкер', 'играть', 'почти', 'весь', 'сильный', 'шахматист', 'тот', 'время', 'проходить', 'триумфально', '9,5', 'очки', 'из', '14'], ['тот', 'же', 'время', 'постоянный', 'представитель', 'сша', 'при', 'объединять', 'нацие::залмай::халилзад', 'высказывать', 'мнение', 'что', 'нежелание', 'китай', 'одобрять', 'совбез', 'дополнительный', 'санкция', 'отношение', 'иран', 'мочь', 'приводить', 'провал', 'международный', 'дипломатический', 'усилие', 'при', 'решение', 'иранский', 'вопрос'], ['более', 'то', 'весь', 'этот', 'неприятность', 'на', 'ценовой', 'фронт', 'становиться', 'не', 'причина', 'следствие', 'усиление', 'административный', 'влияние', 'посему', 'еще', 'сказываться', 'спустя', 'некоторый', 'время', 'вполне', 'вероятный', 'кризис', 'цена']]","[['пюйгренье', 'хороший', 'защитник', 'просто', 'он', 'попадать', 'зенит', 'не', 'простой', 'для', 'команда', 'время', 'считать', 'вячеслав::малафеев', 'по', 'долг', 'служба', 'наиболее', 'пристально', 'наблюдать', 'за', 'игра', 'французский', 'легионер'], ['настоящий', 'время', 'проводить', 'проливка', 'здание', 'передавать', 'весть'], ['даниэла', 'скать', 'не', 'единственный', 'знаменитость', 'чей', 'драгоценность', 'разный', 'время', 'уходить', 'молоток'], ['так', 'член', 'правление', 'ск::рф', 'режиссер', 'дмитрий::месхиев', 'считать', 'что', 'сейчас', 'надо', 'не', 'выяснять', 'отношение', 'законность', 'или', 'незаконность', 'съезд', 'кинематографист', 'объединяться', 'переживать', 'непростой', 'время', 'экономический', 'кризис'], ['если', 'во', 'время', 'матч', 'начинать', 'думать', 'то', 'попросту', 'одуревать']]"
1,страна_NOUN,2002,"[['основание', 'для', 'принятие', 'данный', 'решение', 'говорить', 'официальный', 'заявление', 'быть', 'неоднократный', 'факт', 'вмешательство', 'борис::немцов', 'внутренний', 'дело', 'белоруссия', 'также', 'он', 'деятельность', 'направлять', 'на', 'нанесение', 'ущерб', 'государственный', 'интерес', 'страна'], ['такой', 'образ', 'страна', 'появляться', 'первый', 'альянс', 'способный', 'одинаково', 'эффективно', 'действовать', 'как', 'на', 'рынок', 'инвестиция', 'так', 'сфера', 'розничный', 'страховой', 'банковский', 'бизнес'], ['бог', 'они', 'судья', 'то', 'кто', 'по', 'незнание', 'или', 'сознательно', 'давать', 'пустой', 'надежда', 'почернеть', 'от', 'горе', 'страна'], ['когда', 'страна', 'случаться', 'беда', 'говорить', 'он', 'на', 'помощь', 'приходить', 'спасатель', 'мчс'], ['весь', 'этот', 'страна', 'развивать', 'национальный', 'автомобилестроение', 'именно', 'помощь', 'мировой', 'автогигант', 'который', 'становиться', 'невыгодный', 'прямой', 'ввоз']]","[['так', 'вот', 'малый', 'страна', 'особенно', 'из', 'число', 'новенький', 'опасаться', 'что', 'они', 'не', 'быть', 'достаточно', 'представлять', 'комиссия', 'требовать', 'что', 'сохраняться', 'положение', 'договор', 'ницца', 'по', 'который', 'каждый', 'страна', 'член', 'ес', 'иметь', 'право', 'на', 'полномочный', 'представитель', 'европравительство'], ['такой', 'образ', 'выбор', 'за', 'российский', 'народ', 'либо', 'вперед', 'победа', 'консервативный', 'капитализм', 'гражданский', 'общество', 'который', 'приносить', 'процветание', 'либо', 'назад', 'огосударствление', 'спад', 'конец', 'конец', 'развал', 'страна'], ['напугать', 'размах', 'сексуальный', 'преступление', 'страна', 'правительство', 'общественный', 'организация', 'выступать', 'инициатор', 'разработка', 'масштабный', 'реформа', 'законодательство', 'этот', 'щепетильный', 'сфера'], ['россия', 'вновь', 'должен', 'становиться', 'сильный', 'сплоченный', 'страна', 'мощный', 'социально', 'ориентировать', 'экономика', 'пользоваться', 'уважение', 'авторитет', 'мировой', 'сообщество'], ['погибать', 'моряк', 'подводник', 'вспоминать', 'весь', 'страна', '.трагедия', 'унесать', 'жизнь', '118', 'подводник', 'происходить', '12', 'август', '2000', 'год', 'акватория', 'баренцев', 'море']]"
2,налог_NOUN,2012,"[['сегодня', 'при', 'попытка', 'работать', 'более', 'эффективно', 'создавать', 'новый', 'рабочий', 'место', 'повышать', 'собираемость', 'налог', 'мы', 'сталкиваться', 'ситуация', 'чем', 'более', 'эффективно', 'идти', 'работа', 'тем', 'мало', 'трансферт', 'получать', 'из', 'федеральный', 'бюджет', 'на', 'следующий', 'год', 'пояснять', 'проблема', 'губернатор'], ['лоббист', 'ставить', 'крест', 'на', 'один', 'из', 'самый', 'важный', 'инициатива', 'последний', 'год', 'повышение', 'налог', 'на', 'газированный', 'напиток'], ['даже', 'если', 'итог', 'этот', 'средства', 'быть', 'освобождать', 'от', 'налог', 'хотя', 'бы', 'частично', 'это', 'мочь', 'наносить', 'серьезный', 'удар', 'по', 'они', 'бизнес', 'нпф'], ['новый', 'налог', 'быть', 'начисляться', 'после', 'они', 'принятие', 'депутат', 'мосгордума', 'январь', '2013', 'год'], ['по', 'информация', 'фнс', 'такой', 'сложный', 'схема', 'быть', 'нужный', 'для', 'то', 'чтобы', 'доказывать', 'проверять', 'что', 'холдинг-кредит', 'не', 'иметь', 'право', 'собственность', 'на', 'металл', 'следовательно', 'не', 'должен', 'быть', 'платить', 'налог']]","[['согласно', 'проект', 'реформа', 'пенсионный', 'возраст', 'француз', 'оставаться', 'без', 'изменение', 'налог', 'быть', 'повышать', 'постепенно', 'течение', 'четыре', 'год'], ['оэср', 'намерен', 'обязывать', 'компания', 'повышать', 'уровень', 'прозрачность', 'перед', 'фискальный', 'орган', 'информировать', 'они', 'свой', 'инструмент', 'для', 'оптимизация', 'издержка', 'по', 'уплата', 'налог'], ['вопрос', 'день', 'надо', 'ли', 'облагать', 'налог', 'бездетный'], ['этот', 'цена', 'включать', 'стоимость', 'погрузка', 'разгрузка', 'крепление', 'страхование', 'весь', 'налог', 'другой', 'обязательный', 'платеж'], ['если', 'конкретно', 'то', 'правительство', 'урезать', 'половина', 'статья', 'бюджет', 'на', 'не', 'стать', 'увеличивать', 'зарплата', 'чиновник', 'военный', 'также', 'повышать', 'налог', 'на', 'добыча', 'сырье']]"
3,условие_NOUN,2012,"[['такой', 'образ', 'на', 'спбмтсб', 'иметь', 'место', 'практика', 'когда', 'покупатель', 'анонимный', 'режим', 'торги', 'вынуждать', 'фактически', 'каждый', 'раз', 'играть', 'рулетка', 'при', 'пересечение', 'он', 'заявка', 'заявкий', 'производитель', 'сделка', 'получать', 'один', 'условие', 'исполнение', 'при', 'пересечение', 'заявкий', 'независимый', 'трейдер', 'другой'], ['простой', 'население', 'также', 'не', 'находиться', 'момент', 'прихватизация', 'равный', 'условие'], ['наряду', 'северный', 'поток', 'южный', 'поток', 'создавать', 'условие', 'для', 'надежный', 'безусловный', 'снабжение', 'российский', 'газ', 'наш', 'основной', 'потребитель', 'данный', 'случай', 'южный', 'европа'], ['компания', 'занимать', 'беспошлинный', 'торговля', 'алкоголь', 'утверждать', 'что', 'условие', 'выдвигать', 'рар', 'для', 'получение', 'этот', 'лицензия', 'невыполнимый'], ['случай', 'избрание', 'президент', 'путин', 'по', 'мнение', 'эксперт', 'становиться', 'очень', 'сложный', 'партнер', 'для', 'запад', 'этот', 'статья', 'являться', 'своеобразный', 'предупреждение', 'ужесточение', 'внешний', 'политика', 'нежелание', 'мириться', 'попытка', 'другой', 'страна', 'прежде', 'все', 'сша', 'диктовать', 'россия', 'какой-либо', 'условие']]","[['условие', 'быть', 'ребенок', 'нет'], ['вы', 'он', 'обсуждать', 'конкретный', 'условие', 'возвращение'], ['автор', 'письмо', 'ответственный', 'за', 'движение', 'по', 'европа::пьер::гари', 'выражать', 'готовность', 'встречаться', 'мадам', 'набиуллина', 'она', 'дивный', 'страна', 'любой', 'время', 'обсуждать', 'условие', 'деталь', 'тема'], ['по', 'условие', 'контракт', 'случай', 'если', 'гарантия', 'по', 'какой-либо', 'причина', 'переставать', 'быть', 'действительный', 'фгуп', 'обязанный', 'течение', '10', 'банковский', 'день', 'находить', 'другой', 'банк-поручитель'], ['такой', 'условие', 'гражданин', 'все', 'часто', 'вспоминать', 'николя::саркози', 'главный', 'строчка', 'бюджет', 'который', 'быть', 'как', 'раз', 'обеспечение', 'безопасность']]"
4,снижение_NOUN,2007,"[['следующий', 'квартал', 'прогнозировать', 'снижение', 'выручка'], ['как', 'отмечать', 'рбк', 'daily', 'холдинг', 'потенциал', 'снижение', 'выброс', 'по', 'они', 'оценивать', '50', 'миллион', 'тонна'], ['причем', 'не', 'за', 'счет', 'снижение', 'качество', 'за', 'счет', 'сокращение', 'свой', 'прибыль', 'чтобы', 'не', 'терять', 'время', 'простой'], ['почему', 'чиновник', 'не', 'принимать', 'никакой', 'мера', 'рано', 'правительство', 'быть', 'убаюкывать', 'снижение', 'инфляция', 'последний', 'год', 'ежедневно', 'пополняться', 'госбюджет'], ['другой', 'тенденция', 'следующий', 'год', 'снижение', 'средний', 'размер', 'сделка']]","[['снижение', 'темп', 'рост', 'экономика', 'означать', 'сокращение', 'спрос', 'на', 'нефть'], ['мы', 'иметь', 'снижение', 'рождаемость', 'раз', 'от', 'это', 'зависеть', 'работа', 'весь', 'система', 'образование', 'от', 'дошкольный', 'до', 'послевузовский', 'отмечать', 'он'], ['но', 'главный', 'проблема', 'все', 'же', 'снижение', 'интерес', 'чтение'], ['то', 'быть', 'долгосрочный', 'перспектива', 'снижение', 'курс', 'рубль', 'мочь', 'приводить', 'снижение', 'инфляция', 'большой', 'объем', 'товар', 'быть', 'обслуживаться', 'рубль', 'что', 'приводить', 'снижение', 'цена'], ['при', 'это', 'он', 'признавать', 'что', 'краткосрочный', 'перспектива', 'америка', 'стоять', 'перед', 'высокий', 'риск', 'снижение', 'экономический', 'рост']]"
5,камера_NOUN,2011,"[['сзади', 'канадец', 'камера', 'бежать'], ['экранка', 'то', 'быть', 'копия', 'фильм', 'снимать', 'на', 'камера', 'во', 'время', 'он', 'демонстрация', 'кинотеатр', 'зачастую', 'появляться', 'сеть', 'уже', 'на', 'следующий', 'день', 'после', 'премьера'], ['на', 'минувший', 'неделя', 'высокопоставленный', 'источник', 'близкий', 'следствие', 'по', 'дело', 'дтп', 'рассказывать', 'что', 'запись', 'камера', 'видеонаблюдение', 'свидетельствовать', 'авария', 'происходить', 'либо', 'по', 'обоюдный', 'вина', 'водитель', 'либо', 'по', 'вина', 'шофер', 'минх'], ['милиционер', 'вор', 'находить', 'быстро', 'двое', 'сотрудник', 'форма', 'зафиксировать', 'камера', 'видеонаблюдение', 'банкомат', 'который', 'они', 'снимать', 'чужой', 'деньги'], ['что', 'вы', 'сказать', 'дик::адвокат', 'жеребьевка', 'камера', 'выхватить', 'он', 'лицо', 'казаться', 'что', 'голландца', 'даже', 'неудобный', 'перед', 'другой', 'за', 'сказать', 'так', 'жизнелюбие', 'наш', 'группа']]","[['включить', 'камера', 'подсветка', 'на', 'запись'], ['входной', 'шлюзовой', 'камера', 'староладожский', 'канал', 'находиться', 'один', 'километр', 'от', 'исток', 'нева'], ['если', 'камера', 'фиксировать', 'нарушение', 'пдд', 'мотоциклисвать', 'то', 'номер', 'она', 'считать'], ['он', 'оснащать', 'экран', 'разрешение', '800x480', 'диагональ', 'дюйм', 'младший', 'версия', 'qualcomm::krait', '8227', 'частота', 'ггц', '512', 'мегабайт', 'оперативный', 'память', 'камера', 'разрешение', 'мп', 'поддержка', 'съемка', '720p'], ['экран', 'диагональ', '3.5', 'разрешение', '480x800', 'точка', '5-мегапиксельный', 'камера', 'поддержка', 'bluetooth', 'wifi-', 'gps', 'также', 'самый', 'главный', 'работа', 'на', 'платформа', 'android']]"
6,соответствие_NOUN,2004,"[['дочка', 'тоже', 'воспитывать', 'соответствие', 'божий', 'заповедь'], ['состояться', 'брифинг', 'результат', 'финансовый', 'деятельность', 'оао', 'аэрофлот', 'соответствие', 'международный', 'стандарт', 'бухгалтерский', 'отчетность', 'за', '2003', 'год'], ['свой', 'очередь', 'правоохранительный', 'орган', 'березовский', 'опровергать', 'данный', 'заявление', 'по', 'они', 'утверждение', 'операция', 'по', 'поиск', 'взрывной', 'устройство', 'быть', 'проводить', 'соответствие', 'требование', 'эвакуация', 'человек', 'личный', 'осмотр', 'посетитель'], ['бывший', 'глава', 'мвд', 'спрашивать', 'сколько', 'деньги', 'тратить', 'на', 'собака', 'соответствие', 'приказ', '1948', 'год', 'рубль', '62', 'копункт'], ['соответствие', 'библейский', 'выражение', 'козел', 'это', 'предатель', 'баран', 'овца']]","[['виктор::прохоров', 'соответствие', 'должностный', 'инструкция', 'водитель', 'обязанный', 'напоминать', 'пассажир', 'своевременный', 'приобретение', 'компостирование', 'посадочный', 'талон'], ['правда', 'пока', 'участие', 'зарубежный', 'капитал', 'этот', 'производство', 'сильно', 'затруднять', 'из-за', 'высокий', 'степень', 'влияние', 'государство', 'на', 'подобный', 'сделка', 'прежде', 'все', 'китай', 'однако', 'соответствие', 'договоренность', 'по', 'линия', 'вто::кнр', 'обязываться', 'постепенно', 'облегчать', 'доступ', 'иностранный', 'предприниматель', 'свой', 'производственный', 'актив', 'тот', 'число', 'металлургический'], ['согласно', 'принимать', 'закон', 'мировой', 'судья', 'частность', 'мочь', 'рассматривать', 'первый', 'инстанция', 'подсудный', 'он', 'соответствие', 'упк::рф', 'уголовный', 'дело', 'преступление', 'за', 'совершение', 'который', 'максимальный', 'наказание', 'не', 'превышать', 'три', 'год', 'лишение', 'свобода', '.кроме', 'то', 'мировой', 'судья', 'наделять', 'полномочие', 'рассматривать', 'дело', 'возникать', 'из', 'семейно-', 'правовой', 'отношение', 'расторжение', 'брак', 'если', 'между', 'супруга', 'отсутствовать', 'спор', 'ребенок', 'раздел', 'между', 'супруга', 'совместно', 'нажить', 'имущество', 'независимо', 'от', 'цена', 'иска.в', 'тот', 'же', 'время', 'они', 'не', 'мочь', 'рассматривать', 'дело', 'оспаривание', 'отцовство', 'материнство', 'установление', 'отцовство', 'лишение', 'родительский', 'право', 'усыновление', 'ребенок'], ['на', 'основание', 'вышеизложенный', 'соответствие', 'глава', '24', 'гпк::рсфср::п::р'], ['офицер', 'выпускник', 'военка', 'быть', 'направлять', 'часть', 'соответствие', 'профиль', 'тот', 'специальность', 'который', 'они', 'получать', 'вуз']]"
7,компания_NOUN,2001,"[['собираться', 'компания', 'начинаться', 'веселье'], ['годовой', 'собрание', 'акционер', 'компания', 'штерн-цемент', 'высоко', 'оценивать', 'достижение', 'свой', 'трудовой', 'коллектив'], ['то', 'быть', 'итог', 'набегать', 'уже', 'тысяча', 'доллар', 'зарплата', 'управлять', 'какой-нибудь', 'нефтяной', 'компания', 'или', 'директор', 'завод'], ['работать', 'под', 'один', 'крыша', 'компания', 'warp', 'самый', 'отчаянный', 'электронный', 'кудесника', 'но', 'сам', 'чудить', 'совершенно', 'другой', 'направление'], ['намедни', 'контракт', 'компания', 'заключать', 'валерий::сюткин', 'он', 'избирать', 'как', 'поп-лицо']]","[['офис', 'компания', 'чтобы', 'быть', 'бы', 'логичный', 'чем', 'выход', 'на', 'дорога', 'рыбак', 'почему-то', 'не', 'штурмовать', 'стекло', 'окно', 'контора', 'не', 'бить'], ['компания', 'р.хосгосстра'], ['по', 'слово', 'старожил', 'раз', 'два', 'год', 'чжухай', 'обычно', 'собираться', 'компания', 'весь', 'мир', 'китай', 'за', 'оружие', 'платить', 'хорошо'], ['параллельно', 'совлинк', 'присылать', 'роснефть', 'письмо', 'который', 'сообщать', 'что', 'компания', 'хотеть', 'продавать', 'свой', 'пакет', 'за', '110', 'миллион', 'доллар'], ['смущать', 'только', 'один', 'момент', 'на', 'сегодняшний', 'день', 'юкос', 'занимать', '16', 'процент', 'на', 'рынок', 'дорожный', 'битум', 'ближайший', 'год', '-два', 'компания', 'намерен', 'увеличивать', 'этот', 'доля', 'до', 'двадцать', 'процент']]"
8,выплата_NOUN,2011,"[['кроме', 'задержка', 'по', 'выплата', 'зарплата', 'рабочий', 'совхоз', 'беспокоить', 'еще', 'условие', 'труд'], ['определять', 'сумма', 'учитывать', 'выплата', 'за', 'расчетный', 'период', 'не', 'высоко', '415', '000', 'рубль', 'год'], ['если', 'асв', 'входить', 'банк', 'заблаговременно', 'то', 'по', 'крайний', 'мера', 'задача', 'выплата', 'вкладчик', 'переставать', 'напоминать', 'сумасшедший', 'дом', 'когда', 'неясный', 'где', 'брать', 'деньги', 'куда', 'пропадать', 'актив', 'считать', 'он'], ['но', 'не', 'весь', 'получатель', 'трудовой', 'пенсия', 'февраль', 'почувствовать', 'реальный', 'размер', 'увеличение', 'поскольку', 'если', 'на', 'январь', '2010', 'год', 'пенсионер', 'совокупность', 'различный', 'социальный', 'выплата', 'другой', 'мера', 'социальный', 'поддержка', 'денежный', 'выражение', 'получать', 'сумма', 'меньший', 'чем', 'величина', 'прожиточный', 'минимум', 'то', 'он', 'январь', '2010', 'год', 'устанавливаться', 'федеральный', 'социальный', 'доплата'], ['мы', 'идти', 'на', 'она', 'лишь', 'случай', 'если', 'вопрос', 'выплата', 'правообладатель', 'вознаграждение', 'за', 'использование', 'объект', 'смежный', 'право', 'не', 'удаваться', 'урегулировать', 'рамка', 'переговорный', 'процесс']]","[['согласно', 'отчет', 'всего', 'на', 'выплата', 'пособие', 'по', 'временный', 'нетрудоспособность', 'петербургский', 'отделение', 'фсс', '2011', 'год', 'тратить', '303', 'миллион', 'рубль'], ['из-за', 'кризис', 'собственник', 'павловскгранит', 'сергей::пойманов', 'обращаться', 'сбербанк', 'просьба', 'реструктуризация', 'задолженность', 'получать', 'отказ', 'февраль', '2010', 'год', 'приостановить', 'выплата', 'по', 'кредит'], ['именно', 'на', 'он', 'рассчитывать', 'идея', 'вроде', 'ограничение', 'трудовой', 'миграция', 'выплата', 'миллионный', 'компенсация'], ['банк', 'пояснять', 'что', 'основа', 'компенсациоть', 'политика', 'отношение', 'свой', 'высший', 'руководство', 'являться', 'прежде', 'все', 'он', 'участие', 'программа', 'долгосрочный', 'мотивация', 'который', 'как', 'правило', 'составлять', 'больший', 'часть', 'выплата', 'по', 'результат', 'деятельность', 'за', 'год'], ['пример', 'человек', 'быть', 'получать', 'срочный', 'выплата', 'течение', 'десять', 'год', 'затем', 'сталкиваться', 'резкий', 'уменьшение', 'пенсионный', 'выплата']]"
9,зима_NOUN,2003,"[['этот', 'зима', 'возможный', 'небольшой', 'дефицит', 'электроэнергия'], ['вот', 'прошлый', 'зима', 'зуб', 'разболеться', 'флюс', 'весь', 'щека', 'раздуть', 'рассказывать', 'матушка'], ['надоедать', 'уже', 'писать', 'про', 'то', 'что', 'зима', 'обычно', 'идти', 'снег'], ['хватать', 'получас', 'осматривать', 'старенький', 'ангар', 'академический', 'суд', 'каждый', 'из', 'который', 'стоять', 'между', 'прочее', 'не', 'один', 'тысяча', 'доллар', 'такой', 'же', 'старенький', 'гребный', 'бассейн', 'административный', 'здание', 'раздевалка', 'который', 'лично', 'не', 'рискнуть', 'бы', 'переодеваться', 'не', 'только', 'осень', 'зима', 'но', 'жаркий', 'лето', 'уж', 'очень', 'тут', 'мягко', 'говорить', 'неуютно'], ['опасть', 'лист', 'опрыскивать', '7-процентный', 'раствор', 'мочевина', 'от', 'парш', 'или', 'зольный', 'настой', 'после', 'что', 'компостировать', 'или', 'оставлять', 'на', 'зима', 'под', 'дерево']]","[['за', 'три', 'долгий', 'блокадной', 'зима', 'собирать', 'инчик', 'несколько', 'сот', 'такой', 'рисунок'], ['случай', 'холодный', 'зима', 'некоторый', 'территория', 'не', 'исключать', 'перебой', 'отопление'], ['по', 'слово', 'кэти', 'докинс', 'представитель', 'транспортный', 'управление', 'администрация', 'город', 'снежный', 'зима', 'этот', 'год', 'проделать', 'изрядный', 'прореха', 'городской', 'финансы'], ['зима', 'снимать', 'домик', 'швейцария', 'добавлять', 'олег'], ['зима', 'на', 'сани', 'по', 'лед']]"
