,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
0,железный_ADJ,1,0,2006,9
1,подземный_ADJ,0,0,2009,-1
2,катарский_ADJ,1,1,2003,3
3,гуманитарный_ADJ,0,0,2005,-1
4,капитальный_ADJ,0,0,2012,-1
5,норильский_ADJ,1,0,2006,6
6,саяно-шушенский_ADJ,1,0,2008,1
7,неназванный_ADJ,0,0,2002,-1
8,непризнанный_ADJ,1,1,2008,5
9,грузинский_ADJ,0,1,2011,-1
10,непосредственный_ADJ,0,0,2008,-1
11,классный_ADJ,0,0,2005,-1
12,грозный_ADJ,0,0,2001,-1
13,бразильский_ADJ,1,0,2001,10
14,приднестровский_ADJ,1,1,2011,7
15,водительский_ADJ,0,0,2011,-1
16,круглый_ADJ,1,0,2004,9
17,греческий_ADJ,1,0,2009,3
18,шиитский_ADJ,0,1,2003,-1
19,луганский_ADJ,1,2,2013,2
20,сотовый_ADJ,0,0,2007,-1
21,игорный_ADJ,1,2,2010,2
22,подконтрольный_ADJ,0,0,2005,-1
23,скорый_ADJ,0,0,2002,-1
24,итоговый_ADJ,0,0,2008,-1
25,осетинский_ADJ,1,2,2008,10
26,топливный_ADJ,0,0,2007,-1
27,цветной_ADJ,0,1,2006,-1
28,трансферный_ADJ,0,0,2008,-1
29,экспертный_ADJ,0,0,2001,-1
30,киргизский_ADJ,1,0,2004,1
31,полевой_ADJ,1,1,2007,9
32,рязанский_ADJ,0,0,2011,-1
33,персональный_ADJ,0,0,2001,-1
34,смешной_ADJ,0,0,2001,-1
35,радиоактивный_ADJ,0,0,2000,-1
36,приемный_ADJ,1,2,2013,5
37,принятый_ADJ,0,0,2008,-1
38,несогласный_ADJ,1,2,2006,7
39,ручной_ADJ,1,0,2000,3
40,круглый_ADJ,1,0,2011,6
41,казанский_ADJ,0,0,2009,-1
42,грозный_ADJ,1,1,2000,8
43,рейтинговый_ADJ,1,0,2012,10
44,католический_ADJ,1,0,2001,8
45,приемный_ADJ,1,2,2007,5
46,убедительный_ADJ,0,0,2003,-1
47,сборная_ADJ,0,0,2002,-1
48,полномочный_ADJ,0,0,2003,-1
49,басманный_ADJ,1,1,2006,5
50,екатеринбургский_ADJ,0,0,2010,-1
51,норвежский_ADJ,1,1,2004,7
52,албанский_ADJ,1,0,2001,6
53,участковый_ADJ,0,0,2011,-1
54,молодежный_ADJ,0,0,2008,-1
55,приемный_ADJ,1,0,2001,5
56,сельский_ADJ,0,0,2004,-1
57,панкисский_ADJ,1,0,2002,3
58,норильский_ADJ,1,0,2010,10
59,минский_ADJ,1,1,2013,1
60,координационный_ADJ,1,2,2011,10
61,уральский_ADJ,1,0,2003,10
62,продовольственный_ADJ,0,0,2007,-1
63,надзорный_ADJ,0,0,2010,-1
64,пожизненный_ADJ,1,1,2007,6
65,правый_ADJ,1,1,2013,9
66,суммарный_ADJ,0,0,2009,-1
67,видный_ADJ,0,0,2001,-1
68,недоступный_ADJ,0,0,2011,-1
69,басманный_ADJ,1,1,2002,10
70,панкисский_ADJ,1,0,2001,3
71,свиной_ADJ,1,1,2009,2
72,особенный_ADJ,0,0,2005,-1
73,киевский_ADJ,1,1,2013,8
74,корейский_ADJ,1,0,2002,4
75,болотный_ADJ,1,2,2012,1
76,садовый_ADJ,0,0,2000,-1
77,ледяной_ADJ,0,0,2000,-1
78,приемный_ADJ,1,0,2004,4
79,грядущий_ADJ,0,0,2001,-1
80,физический_ADJ,0,0,2006,-1
81,эротический_ADJ,0,0,2001,-1
82,подконтрольный_ADJ,0,0,2009,-1
83,съемочный_ADJ,1,0,2010,6
84,санитарный_ADJ,0,0,2012,-1
85,обыкновенный_ADJ,1,1,2007,2
86,железный_ADJ,1,0,2009,6
87,топливный_ADJ,0,0,2010,-1
88,осетинский_ADJ,1,0,2003,4
89,эффективный_ADJ,0,0,2012,-1
90,вашингтонский_ADJ,1,1,2002,7
91,норильский_ADJ,1,0,2007,4
92,датский_ADJ,1,0,2002,1
93,алюминиевый_ADJ,0,0,2003,-1
94,чешский_ADJ,0,0,2011,-1
95,половой_ADJ,0,0,2012,-1
96,македонский_ADJ,1,2,2000,1
97,тюремный_ADJ,1,0,2001,9
98,безработный_ADJ,1,0,2008,3
99,комсомольский_ADJ,1,0,2000,7
100,молдавский_ADJ,0,0,2012,-1
101,экстремистский_ADJ,0,0,2007,-1
102,цветной_ADJ,1,0,2004,6
103,строительный_ADJ,0,0,2000,-1
104,служебный_ADJ,0,0,2005,-1
105,сирийский_ADJ,0,0,2004,-1
106,махачкалинский_ADJ,1,0,2012,8
107,мертвый_ADJ,0,0,2004,-1
108,разнообразный_ADJ,0,0,2004,-1
109,курганский_ADJ,1,0,2004,8
110,санкт-петербургский_ADJ,0,0,2013,-1
111,бронзовый_ADJ,1,0,2006,10
112,инженерный_ADJ,0,0,2004,-1
113,приемный_ADJ,1,0,2005,10
114,игорный_ADJ,1,0,2009,8
115,противный_ADJ,1,0,2010,8
116,православный_ADJ,0,0,2013,-1
117,норильский_ADJ,1,1,2008,4
118,безработный_ADJ,1,1,2010,4
119,серый_ADJ,0,0,2013,-1
120,великолепный_ADJ,0,0,2010,-1
121,томский_ADJ,0,0,2011,-1
122,кипрский_ADJ,1,1,2013,10
123,полевой_ADJ,1,0,2005,9
124,ужасный_ADJ,0,0,2009,-1
125,болотный_ADJ,1,2,2011,1
126,универсальный_ADJ,0,0,2012,-1
127,выходной_ADJ,1,0,2012,9
128,формальный_ADJ,0,0,2003,-1
129,турнирный_ADJ,0,0,2003,-1
130,непосредственный_ADJ,0,0,2000,-1
131,круглый_ADJ,1,0,2005,7
132,убедительный_ADJ,0,0,2003,-1
133,оранжевый_ADJ,1,2,2003,8
134,жуткий_ADJ,0,0,2006,-1
135,октябрьский_ADJ,0,0,2002,-1
136,железный_ADJ,1,0,2011,9
137,дурной_ADJ,0,0,2000,-1
138,дальневосточный_ADJ,0,0,2008,-1
139,лазерный_ADJ,1,1,2011,8
140,приемный_ADJ,1,0,2012,2
141,ливийский_ADJ,1,1,2010,1
142,лунный_ADJ,0,0,2006,-1
143,критический_ADJ,0,0,2009,-1
144,смертельный_ADJ,0,0,2013,-1
145,русскоязычный_ADJ,0,0,2003,-1
146,световой_ADJ,0,0,2012,-1
147,слабый_ADJ,0,0,2006,-1
148,норильский_ADJ,1,0,2003,9
149,басманный_ADJ,1,2,2005,1
150,телевизионный_ADJ,0,0,2002,-1
151,послевоенный_ADJ,1,1,2002,2
152,правый_ADJ,0,0,2009,-1
153,балетный_ADJ,0,0,2013,-1
154,железный_ADJ,1,0,2004,10
155,самопровозглашенный_ADJ,1,2,2013,4
156,ежедневный_ADJ,0,0,2007,-1
157,переходный_ADJ,1,0,2010,3
158,технологический_ADJ,0,0,2000,-1
159,грандиозный_ADJ,0,0,2004,-1
160,бумажный_ADJ,0,0,2002,-1
161,триумфальный_ADJ,1,0,2009,7
162,несогласный_ADJ,1,2,2007,10
163,берлинский_ADJ,0,0,2000,-1
164,убедительный_ADJ,0,0,2003,-1
165,резкий_ADJ,0,0,2012,-1
166,оранжевый_ADJ,1,2,2004,5
167,надзорный_ADJ,0,0,2009,-1
168,невский_ADJ,1,1,2008,6
169,амурский_ADJ,0,0,2008,-1
170,дорогостоящий_ADJ,0,0,2008,-1
171,шиитский_ADJ,0,0,2005,-1
172,автономный_ADJ,0,0,2002,-1
173,подавляющий_ADJ,0,0,2006,-1
174,кадровый_ADJ,0,0,2002,-1
175,победный_ADJ,0,0,2007,-1
