ID,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
0,неудивительный_ADJ,1,0,2003,7
1,железный_ADJ,1,1,2006,9
2,подземный_ADJ,0,1,2009,-1
3,2006-й_ADJ,1,1,2007,7
4,катарский_ADJ,1,0,2003,3
5,4-й_ADJ,0,0,2010,-1
6,гуманитарный_ADJ,0,0,2005,-1
7,капитальный_ADJ,0,0,2012,-1
8,норильский_ADJ,1,0,2006,6
9,трехлетний_ADJ,1,0,2005,6
10,саяно-шушенский_ADJ,1,0,2008,1
11,неназванный_ADJ,0,0,2002,-1
12,непризнанный_ADJ,1,0,2008,5
13,грузинский_ADJ,0,0,2011,-1
14,непосредственный_ADJ,0,0,2008,-1
15,классный_ADJ,0,0,2005,-1
16,грозный_ADJ,0,1,2001,-1
17,бразильский_ADJ,1,0,2001,10
18,приднестровский_ADJ,1,1,2011,7
19,водительский_ADJ,0,0,2011,-1
20,круглый_ADJ,1,0,2004,9
21,греческий_ADJ,1,0,2009,3
22,шиитский_ADJ,0,0,2003,-1
23,луганский_ADJ,1,2,2013,2
24,сотовый_ADJ,0,0,2007,-1
25,игорный_ADJ,1,1,2010,2
26,подконтрольный_ADJ,0,0,2005,-1
27,пятилетний_ADJ,1,0,2008,8
28,скорый_ADJ,0,0,2002,-1
29,итоговый_ADJ,0,0,2008,-1
30,2011-й_ADJ,1,0,2010,7
31,осетинский_ADJ,1,0,2008,10
32,топливный_ADJ,0,0,2007,-1
33,цветной_ADJ,0,0,2006,-1
34,трансферный_ADJ,0,0,2008,-1
35,экспертный_ADJ,0,0,2001,-1
36,киргизский_ADJ,1,1,2004,1
37,полевой_ADJ,1,0,2007,9
38,рязанский_ADJ,0,1,2011,-1
39,персональный_ADJ,0,0,2001,-1
40,смешной_ADJ,0,0,2001,-1
41,радиоактивный_ADJ,0,0,2000,-1
42,приемный_ADJ,1,2,2013,5
43,принятый_ADJ,0,0,2008,-1
44,несогласный_ADJ,1,1,2006,7
45,ручной_ADJ,1,0,2000,3
46,круглый_ADJ,1,0,2011,6
47,казанский_ADJ,0,0,2009,-1
48,грозный_ADJ,1,0,2000,8
49,рейтинговый_ADJ,1,1,2012,10
50,католический_ADJ,1,0,2001,8
51,любить_ADJ,0,0,2001,-1
52,приемный_ADJ,1,0,2007,5
53,убедительный_ADJ,0,0,2003,-1
54,сборная_ADJ,0,0,2002,-1
55,полномочный_ADJ,0,0,2003,-1
56,басманный_ADJ,1,1,2006,5
57,корподобный_ADJ,1,0,2000,5
58,екатеринбургский_ADJ,0,0,2010,-1
59,желательный_ADJ,1,0,2000,4
60,норвежский_ADJ,1,0,2004,7
61,албанский_ADJ,1,0,2001,6
62,участковый_ADJ,0,0,2011,-1
63,молодежный_ADJ,0,0,2008,-1
64,приемный_ADJ,1,0,2001,5
65,сельский_ADJ,0,0,2004,-1
66,панкисский_ADJ,1,0,2002,3
67,норильский_ADJ,1,0,2010,10
68,минский_ADJ,1,1,2013,1
69,координационный_ADJ,1,1,2011,10
70,уральский_ADJ,1,0,2003,10
71,продовольственный_ADJ,0,0,2007,-1
72,надзорный_ADJ,0,0,2010,-1
73,пожизненный_ADJ,1,0,2007,6
74,правый_ADJ,1,1,2013,9
75,суммарный_ADJ,0,0,2009,-1
76,видный_ADJ,0,0,2001,-1
77,недоступный_ADJ,0,0,2011,-1
78,басманный_ADJ,1,1,2002,10
79,панкисский_ADJ,1,0,2001,3
80,свиной_ADJ,1,1,2009,2
81,особенный_ADJ,0,0,2005,-1
82,киевский_ADJ,1,2,2013,8
83,корейский_ADJ,1,0,2002,4
84,болотный_ADJ,1,0,2012,1
85,садовый_ADJ,0,0,2000,-1
86,трехлетний_ADJ,1,0,2004,3
87,гривна_ADJ,1,0,2009,4
88,нтвадратный_ADJ,1,0,2000,2
89,ледяной_ADJ,0,0,2000,-1
90,трехлетний_ADJ,1,0,2011,4
91,приемный_ADJ,1,0,2004,4
92,грядущий_ADJ,0,0,2001,-1
93,магнитский_ADJ,1,0,2011,5
94,физический_ADJ,0,1,2006,-1
95,эротический_ADJ,0,0,2001,-1
96,подконтрольный_ADJ,0,0,2009,-1
97,анжи_ADJ,1,0,2010,5
98,съемочный_ADJ,1,0,2010,6
99,санитарный_ADJ,0,0,2012,-1
100,обыкновенный_ADJ,1,0,2007,2
101,железный_ADJ,1,0,2009,6
102,топливный_ADJ,0,0,2010,-1
103,осетинский_ADJ,1,0,2003,4
104,примечательный_ADJ,1,0,2007,3
105,эффективный_ADJ,0,0,2012,-1
106,вашингтонский_ADJ,1,1,2002,7
107,норильский_ADJ,1,0,2007,4
108,датский_ADJ,1,1,2002,1
109,алюминиевый_ADJ,0,0,2003,-1
110,чешский_ADJ,0,0,2011,-1
111,1990-й_ADJ,0,0,2004,-1
112,половой_ADJ,0,1,2012,-1
113,македонский_ADJ,1,2,2000,1
114,тюремный_ADJ,1,0,2001,9
115,безработный_ADJ,1,0,2008,3
116,комсомольский_ADJ,1,1,2000,7
117,молдавский_ADJ,0,0,2012,-1
118,экстремистский_ADJ,0,0,2007,-1
119,цветной_ADJ,1,0,2004,6
120,строительный_ADJ,0,0,2000,-1
121,служебный_ADJ,0,0,2005,-1
122,сирийский_ADJ,0,0,2004,-1
123,махачкалинский_ADJ,1,0,2012,8
124,мертвый_ADJ,0,0,2004,-1
125,разнообразный_ADJ,0,1,2004,-1
126,курганский_ADJ,1,0,2004,8
127,санкт-петербургский_ADJ,0,0,2013,-1
128,бронзовый_ADJ,1,0,2006,10
129,инженерный_ADJ,0,0,2004,-1
130,девятый_ADJ,0,0,2011,-1
131,приемный_ADJ,1,0,2005,10
132,игорный_ADJ,1,0,2009,8
133,корподобный_ADJ,0,0,2003,-1
134,противный_ADJ,1,0,2010,8
135,неудивительный_ADJ,1,0,2006,2
136,православный_ADJ,0,0,2013,-1
137,норильский_ADJ,1,0,2008,4
138,безработный_ADJ,1,0,2010,4
139,серый_ADJ,0,0,2013,-1
140,неудивительный_ADJ,1,0,2005,3
141,великолепный_ADJ,0,0,2010,-1
142,томский_ADJ,0,0,2011,-1
143,вынуждать_ADJ,1,0,2002,8
144,кипрский_ADJ,1,0,2013,10
145,полевой_ADJ,1,0,2005,9
146,ужасный_ADJ,0,0,2009,-1
147,болотный_ADJ,1,0,2011,1
148,универсальный_ADJ,0,0,2012,-1
149,трехлетний_ADJ,1,0,2012,6
150,выходной_ADJ,1,0,2012,9
151,формальный_ADJ,0,0,2003,-1
152,турнирный_ADJ,0,0,2003,-1
153,непосредственный_ADJ,0,0,2000,-1
154,круглый_ADJ,1,0,2005,7
155,убедительный_ADJ,0,0,2003,-1
156,трехлетний_ADJ,1,0,2006,4
157,оранжевый_ADJ,1,0,2003,8
158,жуткий_ADJ,0,0,2006,-1
159,октябрьский_ADJ,0,0,2002,-1
160,железный_ADJ,1,1,2011,9
161,дурной_ADJ,0,0,2000,-1
162,дальневосточный_ADJ,0,0,2008,-1
163,лазерный_ADJ,1,1,2011,8
164,4-й_ADJ,0,0,2009,-1
165,приемный_ADJ,1,0,2012,2
