ID,WORD,BASE_YEAR,OLD_CONTEXTS,NEW_CONTEXTS
0,утро_NOUN,2011,"[['когда', 'на', 'двор', 'уже', '12', 'час', 'ночь', 'или', 'час', 'утро', 'приходиться', 'брать', 'себя', 'рука'], ['утро', 'когда', 'происходить', 'утечка', 'он', 'собираться', 'на', 'работа'], ['центр', 'украина', 'переменный', 'облачность', 'без', 'осадки', 'ночь', 'утро', 'местами', 'туман', 'на', 'дорога', 'гололед', 'ветер', 'южный', '10', 'м/с'], ['матвей', 'шпаро', 'борис::смолин', 'назначать', 'дежурный', 'который', 'вставать', '6.30', 'утро', 'готовить', 'завтрак', 'греть', 'вода'], ['весь', 'антиалкогольный', 'создавать', 'понедельник', 'утро']]","[['утро', 'вторник', 'город', 'серпухов', 'майор', 'специальный', 'связь', 'местный', 'отделение', 'мвд::владимир::абросимов', 'на', 'ауди', 'въехать', 'задний', 'бампер', 'мерседес', 'глава', 'серпуховский', 'район', 'александр::шестун'], ['около', 'пять', 'утро', 'чела', 'брать', 'этот', 'пистолет', 'выходить', 'на', 'улица', 'убивать', 'часовой'], ['утро', 'они', 'вместе', 'все', 'учиться', 'по', 'обычный', 'программа', 'на', 'казачий', 'занятие', 'не', 'ходить'], ['утро', '10', 'май', 'час', 'звонить', 'ольга'], ['дорога', 'за', 'сок', 'на', 'следующий', 'утро', 'казаться', 'невыносимо', 'долгий']]"
1,законодательство_NOUN,2008,"[['первый', 'два', 'регион', 'выборы', 'быть', 'очередной', 'чечня', 'проходить', 'первый', 'выборы', 'после', 'изменение', 'региональный', 'выборный', 'законодательство', 'делать', 'парламент', 'однопалатный'], ['сергей::павленко', 'по', 'этот', 'вопрос', 'мы', 'готовить', 'рамка', 'существовать', 'законодательство', 'отчет', 'работа', 'росфиннадзор', 'для', 'внесение', 'госдума', 'рамка', 'отчет', 'правительство', 'исполнение', 'бюджет', 'за', '2007', 'год'], ['стоимость', 'они', 'непомерный', 'качество', 'оставлять', 'желать', 'лучший', 'считать', 'она', 'добавлять', 'что', 'россия', 'совет', 'быть', 'избавлять', 'от', 'многие', 'требование', 'законодательство', 'предъявлять', 'местный', 'языковой', 'центр'], ['обращение', 'содержаться', 'обоснование', 'позиция', 'российский', 'директор', 'который', 'сводиться', 'то', 'что', 'созыв', 'заседание', 'совет', 'директор', 'оао', 'тнк', '-вр', 'холдинг', 'от', 'июнь', '2008', 'год', 'быть', 'осуществлять', 'нарушение', 'российский', 'законодательство', 'устав', 'компания', 'тнк::-вр', 'акционерный', 'соглашение', 'между', 'вр', 'консорциум', 'ааr'], ['нужный', 'прекращать', 'безобразный', 'практика', 'когда', 'олигарх', 'становиться', 'государственный', 'чиновник', 'при', 'это', 'открыто', 'грубо', 'нарушать', 'требование', 'законодательство', 'запрещать', 'заниматься', 'предпринимательский', 'деятельность']]","[['по', 'он', 'слово', '44', 'тысяча', 'руководитель', 'предприятие', 'привлекать', 'административный', 'ответственность', '2008', 'год', 'за', 'нарушение', 'трудовой', 'законодательство', 'более', '21', 'тысяча', 'получать', 'предписание', 'они', 'устранение'], ['банк', 'объяснять', 'этот', 'шаг', 'то', 'что', 'для', 'филиал', 'швейцарский', 'финансовый', 'институт', 'франция', 'банковский', 'тайна', 'не', 'действовать', 'согласно', 'местный', 'законодательство', 'они', 'обязанный', 'сообщать', 'финансовый', 'регулятора', 'весь', 'перевод', 'крупный', 'сумма', 'за', 'граница'], ['по', 'версия', 'следствие', 'первый', 'случай', 'градоначальник', 'являться', 'должностной', 'лицо', 'подписывать', 'организационный', 'распорядительный', 'документ', 'который', 'противоречить', 'требование', 'федеральный', 'законодательство', 'быть', 'принимать', 'без', 'какой-либо', 'экономический', 'обоснование'], ['ситуация', 'начинать', 'портиться', 'начало', '2000-й', 'год', 'когда', 'изменяться', 'законодательство', 'теперь', 'партия', 'не', 'мочь', 'финансироваться', 'предприятие', 'только', 'частный', 'лицо', 'наш', 'финансовый', 'проблема', 'очень', 'серьезный', 'рассказывать', 'станислав::черепанов'], ['кроме', 'то', 'против', 'главный', 'врач', 'возбужденный', 'дело', 'административный', 'правонарушение', 'по', 'статья', '5.27', 'часть', 'коап::рф', 'нарушение', 'законодательство', 'труд']]"
2,государство_NOUN,2012,"[['это', 'помогать', 'решать', 'задача', 'обеспечение', 'независимость', 'судебный', 'система', 'светский', 'характер', 'государство', 'защита', 'человеческий', 'достоинство'], ['этот', 'год', 'незавидный', 'последний', '165-я', 'строка', '13-й', 'список', 'международный', 'организация', 'спасать', 'ребенок', 'занимать', 'западноафриканской', 'страна', 'нигер', 'один', 'из', 'бедный', 'государство', 'планета'], ['член', 'спч', 'считать', 'что', 'достаточный', 'быть', 'бы', 'наличие', 'государство', 'собственный', 'информационный', 'агентство', 'возможно', 'один', 'телеканал'], ['по', 'суть', 'инициатива', 'чиновник', 'из', 'мэр', 'возвращение', 'министерство', 'путь', 'сообщение', 'который', 'до', 'создание', 'оао', 'ржд', 'отвечать', 'за', 'формирование', 'инвестпрограммый', 'железный', 'дорога', 'от', 'который', 'государство', 'свой', 'время', 'уходить', 'восклицать', 'глава', 'агентство', 'infoline-аналитика', 'михаил::бурмистров'], ['президент', 'включать', 'васильевский', 'спуск', 'москва', 'перечень', 'место', 'где', 'массовый', 'мероприятие', 'можно', 'проводить', 'только', 'по', 'решение', 'глава', 'государство']]","[['сказать', 'ячмень', 'брать', 'пивовар', 'балтика', 'филиал', 'быть', 'тула', 'хлеб', 'государство', 'свой', 'фонд'], ['частность', 'соответствующий', 'государство', 'должен', 'добавлять', 'еще', '20', 'тот', 'сумма', 'который', 'банк', 'получать', 'напрямую', 'от', 'esm'], ['дуб', 'естественно', 'наш', 'вечно', 'упрямый', 'государство'], ['фск', 'это', 'давать', 'возможность', 'увеличивать', 'инвестпрограмм', 'потребитель', 'сдерживать', 'тариф', 'государство', 'который', 'сегодня', 'активно', 'искать', 'механизм', 'стимулирование', 'экономический', 'рост', 'путем', 'вложение', 'инфраструктура', 'решать', 'проблема', 'оживление', 'внутренний', 'спрос', 'экономика'], ['украина', 'россия', 'братский', 'государство']]"
3,программа_NOUN,2005,"[['кроме', 'то', 'быть', 'субсидировать', 'жилищный', 'программа', 'регион'], ['так', 'рамка', 'областной', 'программа', 'оптимизация', 'расход', 'на', 'социальный', 'сфера', 'год', 'свой', 'тридцатипятилетие', 'сниматься', 'первенство', 'страна', 'футбольный', 'команда', 'псков', '2000', 'да', 'физкультурный', 'диспансер', 'закрывать'], ['21.30', 'программа', 'передача', 'на', 'завтра'], ['министр', 'финансы', 'алексей::кудрин', 'докладывать', 'президент', 'свой', 'командировка', 'башкирия', 'где', 'на', 'заседание', 'оргкомитет', 'по', 'празднование', '450-летие', 'вхождение', 'башкирия', 'состав', 'россия', 'обсуждать', 'программа', 'социальный', 'экономический', 'развитие', 'республика'], ['концертный', 'программа', 'она', 'исполнение', 'называться', 'вселенная', 'по', 'имя', 'арфа']]","[['наш', 'задача', 'заключаться', 'то', 'что', 'ознакомляться', 'аппаратура', 'убеждаться', 'она', 'безопасность', 'на', 'мкс', 'сказать', 'замя', 'начальник', 'отдел', 'международный', 'координация', 'программа', 'мкс::управление', 'пилотировать', 'программа', 'сергей::рыбкин'], ['наш', 'страна', 'должен', 'дальнейший', 'продолжать', 'сотрудничество', 'весь', 'сфера', 'частность', 'консультация', 'по', 'иранский', 'ядерный', 'программа', 'отмечать', 'он'], ['программа', 'рассчитывать', 'на', 'три', 'неделя'], ['вчера', 'анатолий::копсов', 'заявлять', 'что', 'программа', 'дорожать', 'до', '63', 'миллиард', 'рубль', 'половина', 'этот', 'сумма', 'компания', 'приходиться', 'занимать'], ['это', 'следовать', 'из', 'опубликовать', 'вчера', 'совместный', 'отчет', 'economist::intelligence::unit', 'eiu', 'колумбийский', 'университет', 'разработать', 'программа', 'по', 'международный', 'инвестиция']]"
4,система_NOUN,2010,"[['частность', 'документ', 'запрещать', 'передача', 'исламский', 'республика', 'система', 'с-', '300', 'бронетехника', 'боевой', 'самолет', 'вертолет', 'корабль'], ['устанавливать', 'система', 'кондиционирование', 'пока', 'не', 'позволять', 'финансовый', 'возможность'], ['по', 'новый', 'система', 'оплата', 'изменяться'], ['на', 'по', 'маяк', 'обсуждать', 'модернизация', 'система', 'физический', 'защита', 'завод'], ['антон', 'мфпа', 'факультет', 'информационный', 'система', 'технология']]","[['после', 'то', 'как', 'подача', 'электроэнергия', 'прекращаться', 'салон', 'переставать', 'работать', 'система', 'отопление', 'закрываться', 'биотуалет'], ['школа', '104', 'работать', 'по', 'система', 'юнеско', 'первый', 'класс', 'тоже', 'брать', 'только', 'после', 'полугодовый', 'курс'], ['сложность', 'новый', 'система', 'делать', 'почти', 'неизбежный', 'некоторый', 'задержка', 'при', 'создание', 'новый', 'система', 'считать', 'главный', 'редактор', 'интернет', 'издание', 'вестник', 'пво', 'саид::аминов'], ['сша', 'тавкать', 'база', 'данные', 'террорист', 'после', 'теракт', 'нью-йорк', '11', 'сентябрь', '2001', 'год', 'власть', 'сша', 'кардинально', 'пересматривать', 'система', 'безопасность', 'аэропорт'], ['москва', 'нет', 'цивилизованный', 'автовокзал', 'единый', 'система', 'продажа', 'билет', 'контроль', 'продолжать', 'собянин']]"
5,часть_NOUN,2012,"[['название', 'малый', 'земля', 'получать', 'первый', 'часть', 'мемуар', 'брежнев', 'увидевший', 'свет', '1978', 'год'], ['законопроект', 'предусматривать', 'поправка', 'гк', 'особенно', 'часть', 'регулирование', 'корпоративный', 'отношение', 'рассматривать', 'уже', 'довольно', 'долго'], ['часть', 'второй', 'вы', 'говорить', 'что', 'продолжит', 'выпускать', 'программа', 'если', 'бесовский', 'акция', 'повториться'], ['столичный', 'предприниматель', 'удаваться', 'отсудить', 'часть', 'право', 'на', 'название', 'советский', 'мультфильм'], ['на', 'авиабаза', 'кубинка', 'известие', 'заявлять', 'что', 'претензия', 'все-таки', 'быть', 'часть', 'машина', 'требовать', 'ремонт', 'покраска', 'обновление', 'различный', 'узел']]","[['уфимская', 'девчонка', 'из', 'соседний', 'двор', 'уверенно', 'превращаться', 'столичный', 'андрогинный', 'диво', 'становиться', 'часть', 'общий', 'культурный', 'светский', 'контекст', 'комфортно', 'расположиться', 'между', 'представитель', 'унылый', 'но', 'массовый', 'попса', 'глянцевой', 'истеблишмент'], ['возможно', 'этот', 'момент', 'курсант', 'видеть', 'комната', 'шкатулка', 'ценность', 'схватывать', 'что', 'попадать', 'горсть', 'совать', 'карман', 'часть', 'украшение', 'оставаться', 'шкатулка'], ['какой-то', 'такой', 'маленький', 'становиться', 'часть', 'жизнь'], ['вообще-то', 'по', 'время', 'смоленский', 'область', 'становиться', 'когда-то', 'часть', 'польша'], ['что', 'касаться', 'помощь', 'из', 'москва', 'прежде', 'все', 'речь', 'идти', 'компенсация', 'часть', 'затрата', 'на', 'создание', 'необходимый', 'инфраструктура', 'железный', 'дорога', 'линия', 'электропередача', 'другой', 'сеть', 'энергоноситель']]"
6,помощь_NOUN,2000,"[['берия', 'первый', 'видимо', 'понимать', 'что', 'помощь', 'неопровержимый', 'факт', 'причастность', 'сталинский', 'наследник', 'политический', 'репрессия', 'они', 'можно', 'скомпрометировать', 'себя', 'наоборот', 'выводить', 'за', 'скобка', 'репрессивный', 'процесс', 'показывать', 'инициатор', 'восстановление', 'справедливость'], ['обеспокоить', 'премьер', 'кретьен', 'спрашивать', 'в.::путин', 'почему', 'не', 'нужный', 'ли', 'какой-либо', 'помощь', 'на', 'что', 'президент', 'отвечать', 'что', 'людмила::александровна', 'немного', 'уставать', 'не', 'очень', 'хорошо', 'себя', 'чувствовать'], ['мой', 'помощь', 'рухнуть', 'некий', 'скороспелый', 'фонд', 'цой', 'который', 'пытаться', 'создавать', 'человек', 'не', 'иметь', 'на', 'то', 'моральный', 'право'], ['сколько', 'уходить', 'на', 'этот', 'время', 'сила', 'деньги', 'можно', 'обращаться', 'помощь', 'компьютер', 'который', 'не', 'только', 'определять', 'причина', 'наш', 'нездоровье', 'но', 'подсказать', 'как', 'хорошо', 'все', 'приводить', 'порядок', 'свой', 'здоровье'], ['саша', 'оказывать', 'первый', 'помощь', 'растирать', 'спирт', 'укутать', 'одеяло', 'давать', 'вода', 'покормить']]","[['оказываться', 'финн', 'самый', 'начало', 'хотеть', 'побеждать', 'помощь', 'допинг'], ['1959', 'год', 'правительство', 'китайский', 'народный', 'республика', 'обращаться', 'руководство', 'ссср', 'просьба', 'оказывать', 'помощь', 'организация', 'противовоздушный', 'прикрытие', 'они', 'столица'], ['не', 'без', 'она', 'помощь', 'многое', 'понимать', 'осмыслять', 'жизнь'], ['впрочем', 'однажды', 'телевизионный', 'чиновник', 'обращаться', 'они', 'просьба', 'помощь', 'когда', 'случаться', 'пожар', 'на', 'останкинский', 'телебашня'], ['руководство', 'театр', 'срочно', 'обращаться', 'за', 'помощь', 'спасатель', 'московский', 'городской', 'поисково-спасательный', 'служба']]"
7,комитет_NOUN,2010,"[['тогда', 'глава', 'правительство', 'предлагать', 'разбираться', 'ситуация', 'не', 'только', 'мирный', 'антимонопольный', 'регулятор', 'но', 'силовой', 'блок', 'лицо', 'следственный', 'комитет', 'при', 'прокуратура', 'рф'], ['подозревать', 'вымогательство', 'рекордный', 'взятка', '15', 'миллион', 'доллар', 'сотрудник', 'следственный', 'комитет', 'при', 'прокуратура', 'рф::андрей::гривцов', 'выходить', 'на', 'свой', 'рабочий', 'место'], ['он', 'работать', 'на', 'общественный', 'должность', 'заместитель', 'председатель', 'совет', 'ветеран', 'боевой', 'строй', 'работать', 'комитет', 'ветеран', 'война', 'военный', 'служба', 'удмуртия'], ['теперь', 'армз', 'получать', 'одобрение', 'сделка', 'от', 'министерство', 'индустрия', 'новый', 'технология', 'агентство', 'по', 'защита', 'конкуренция', 'республика::казахстан', 'комитет', 'по', 'иностранный', 'инвестиция', 'австралия', 'министерство', 'индустрия', 'бюро', 'по', 'конкуренция', 'канада', 'министерство', 'юстиция', 'федеральный', 'торговый', 'комиссия', 'также', 'комиссия', 'по', 'иностранный', 'инвестиция', 'комиссия', 'по', 'ядерный', 'регулирование', 'сшаотреть'], ['на', 'заседание', 'госдума', 'документ', 'планировать', 'рассматривать', 'второй', 'чтение', 'май', 'сообщать', 'председатель', 'комитет', 'владимир::плигин']]","[['москва', 'считать', 'город', 'всего', 'несколько', 'туристический', 'объект', 'среди', 'который', 'кремль', 'большой', 'театр', 'третьяковский', 'галерея', 'собор', 'василий', 'блаженный', 'говорить', 'пресс-секретарь', 'комитет'], ['бизнесмен', 'недавно', 'попадать', 'под', 'проверка', 'отдел', 'по', 'борьба', 'экономический', 'преступность', 'гувд', 'московский', 'область', 'после', 'что', 'он', 'приезжать', 'двое', 'мужчина', 'показывать', 'корочка', 'комитет', 'по', 'борьба', 'оргпреступностий', 'представиться', 'капитан', 'генерал', 'фсб'], ['на', 'место', 'происшествие', 'работать', 'следственный', 'бригада', 'следственный', 'комитет', 'рф', 'прокуратура', 'пермский', 'край'], ['потом', 'они', 'присоединяться', 'председатель', 'координациоть', 'комиссия', 'международный', 'олимпийский', 'комитет', 'горнолыжник', 'жан-клод::килли', 'один', 'из', 'главный', 'куратор', 'подготовка', 'сочинский', 'олимпиада', 'от', 'мок', 'большой', 'друг', 'путин'], ['комитет', 'пристально', 'изучать', 'весь', 'материал', 'относиться', 'матч', 'между', 'витязй', 'салават', 'выслушивать', 'арбитр', 'сергей::карабанов', 'который', 'обслуживать', 'встреча', 'постоянно', 'находиться', 'густой', 'событие']]"
8,процент_NOUN,2010,"[['на', 'олимпиада', 'чемпионат', 'мир', 'он', 'тренировать', 'сборная', 'латвия', 'состоять', 'на', '90', 'процент', 'из', 'игрок', 'рижский', 'динамо'], ['70', 'процент', 'субъект', 'не', 'определять', 'лицо', 'отвестветь', 'за', 'энергоэффективность'], ['за', 'весь', '2009-й', 'грипп', 'орви', 'переболеть', '315', 'тысяча', '166', 'человек', 'почти', '14', 'процент', 'от', 'население', 'регион', 'или', 'каждый', 'седьмой'], ['однако', 'из-за', 'любовь', 'нижегородский', 'тренер', 'возрастной', 'защитник', 'никак', 'не', 'мочь', 'раскрываться', 'на', 'сто', 'процент'], ['возможно', 'быть', 'незначительный', 'процент', 'сомневаться', 'но', 'при', 'грамотный', 'продвижение', 'этот', 'проблема', 'легко', 'снимать', 'считать', 'эксперт']]","[['мы', 'анализировать', 'ситуация', 'получаться', 'что', 'течение', 'рабочий', 'день', 'чиновник', 'использовать', 'не', 'более', '70', 'процент', 'рабочий', 'площадь'], ['ну', 'плюс', 'процент', 'за', 'заказ', 'еда'], ['но', 'зато', 'выбирать', 'дверь', 'мы', 'довольный', 'на', 'сто', 'процент'], ['шанс::цска', 'на', 'выход', 'четвертьфинал', 'процент'], ['сперва', 'они', 'возносить', 'молитва::всевышний', 'чтобы', 'он', 'не', 'давать', 'они', 'ошибаться', 'рассуждение', 'потом', 'какой-нибудь', 'двадцатилетний', 'отморозок', 'выступать', 'роль', 'третейский', 'судья', 'между', 'два', 'пятидесятилетин', 'мужик', 'получать', 'за', 'это', 'хороший', 'процент']]"
9,интервью_NOUN,2001,"[['то', 'не', 'менее', 'он', 'любезный', 'соглашаться', 'на', 'интервью', 'для', 'труд', 'читатель', 'который', 'связывать', 'давно'], ['если', 'иметь', 'вид', 'что', 'программа', 'выходить', 'эфир', 'сразу', 'после', 'новость', 'то', 'мы', 'всегда', 'пытаться', 'приглашать', 'гость', 'который', 'иметь', 'отношение', 'они', 'тема', 'то', 'быть', 'герой', 'дня', 'прежде', 'все', 'актуальный', 'интервью'], ['актер', 'сам', 'себя', 'сказать', 'один', 'интервью', 'никогда', 'не', 'быть', 'ни', 'хороший', 'муж', 'ни', 'хороший', 'отец', 'ибо', 'занимать', 'только', 'сам', 'мой', 'личный', 'жизнь'], ['на', 'давно', 'существовать', 'связь', 'чеченский', 'террорист', 'банда', 'международный', 'террорист', 'усама', 'бин', 'ладен', 'еще', 'раз', 'указывать', 'интервью', 'американский', 'телекомпания', 'си-эн-эн', 'министр', 'оборона', 'рф::сергей::иванов'], ['знаменитый', 'актер', 'сняться', '122', 'фильм', 'тот', 'число', 'такой', 'нашуметь', 'как', 'история', 'лиля', 'марлен', 'джонни-мнемоник', 'королевство', 'рассекать', 'волна', 'прилежно', 'смотреть', 'весь', 'конкурсный', 'фильм', 'охотно', 'давать', 'интервью', 'успевать', 'при', 'это', 'знакомиться', 'ночной', 'жизнь', 'москва']]","[['решать', 'отступить', 'от', 'правило', 'пользоваться', 'то', 'что', 'он', 'заехать', 'домой', 'все', 'на', 'несколько', 'час', 'проезд', 'из', 'москва', 'москва', 'где', 'снимать', 'сразу', 'несколько', 'телепередача', 'что', 'отоспаться', 'брать', 'интервью', 'лариса'], ['поить', 'что', 'приносить', 'человек', 'счастье', 'заявлять', 'он', 'недавно', 'интервью', 'французский', 'газета', 'нис::матен'], ['корреспондент', 'труд', 'брать', 'интервью', 'один', 'из', 'автор', 'проект', 'член', 'комитет', 'по', 'государственный', 'строительство', 'первый', 'заместитель', 'председатель', 'фракция', 'спс::борис::надеждин'], ['борис::гребенщиков', 'обещать', 'по', 'этот', 'повод', 'интервью', 'комсомольский', 'правда'], ['особенный', 'впечатление', 'производить', 'интервью', 'александр', 'цекало']]"
