ID,WORD,BASE_YEAR,OLD_CONTEXTS,NEW_CONTEXTS
28,главный_ADJ,2005,"[['первый', 'игра', 'соперник', 'очень', 'много', 'ошибаться', 'говорить', 'сорвавшиться', 'от', 'напряжение', 'голос', 'главный', 'тренер', 'динамо-таттрансгаз', 'виктор::сидельников'], ['нижний', 'новгород', 'март', '15', 'новый', 'регион', 'ольга::громов', 'почти', 'половина', 'россиянин', '48', 'считать', 'что', 'главный', 'последствие', 'перестройка', 'становиться', 'развал', 'советский', 'союз'], ['импонировать', 'метод', 'работа', 'президент', 'клуб', 'евгений::гинер', 'главный', 'тренер', 'валерий::газзаев'], ['убийство', 'плаcтический', 'хирург', 'евгения::лапутина', 'становиться', 'последний', 'время', 'главный', 'тема', 'многие', 'сми'], ['здесь', 'ставка', 'быть', 'делать', 'главный', 'образ', 'на', 'партия', 'кремлевский', 'пул', 'намертво', 'вмонтировать', 'президентский', 'вертикаль', 'единый', 'россия', 'родина', 'лдпр']]","[['мочь', 'ли', 'ребенок', 'быть', 'абсолютно', 'непохожий', 'на', 'родитель', 'надо', 'ли', 'запрещать', 'аборт', 'грешно', 'ли', 'рожать', 'ребенок', 'помощь', 'искусственный', 'оплодотворение', 'на', 'прямой', 'линия', 'труд', 'на', 'вопрос', 'наш', 'читатель', 'отвечать', 'директор', 'научный', 'центр', 'акушерство', 'гинекология', 'перинатология', 'рамн', 'главный', 'акушер', 'гинеколог', 'россия', 'академик', 'владимир::кулаков'], ['персона', 'тур', 'сергей::климентьев::хк::мвд', 'защитник', 'подмосковный', 'команда', 'сыграть', 'пожалуй', 'главный', 'роль', 'триллер', 'под', 'название', 'матч', 'авангард', 'хк::мвд'], ['281', 'час', 'свободный', 'время', 'год', 'европеец', 'проводить', 'свой', 'главный', 'возлюбленная', 'ноутбук'], ['идти', '59-е', 'минута', 'матч', 'динамо', 'спартак', 'когда', 'главный', 'тренер', 'красно-белый', 'андрей::чернышов', 'производить', 'замена', 'вместо', 'деменко', 'выходить', 'ващук'], ['доктор', 'муся', 'шкурпатова', 'жить', 'работать', 'клиника', 'бемби', 'можно', 'видеть', 'как', 'она', 'помогать', 'на', 'прием', 'главный', 'врач', 'елена::жукова']]"
29,какой-то_ADJ,2011,"[['какой-то', 'момент', 'он', 'внезапно', 'терять', 'место', 'состав', 'динамо', 'поэтому', 'вызов', 'сборная', 'не', 'мочь', 'быть', 'речь'], ['скорее', 'за', 'отдельный', 'игрок', 'чем', 'за', 'какой-то', 'команда'], ['ничто', 'пока', 'не', 'говорить', 'ни', 'про', 'аттестация', 'ни', 'про', 'изменение', 'какой-то'], ['знать', 'как', 'красивый', 'отжарили', 'самый', 'интимный', 'смысл', 'болтун', 'какой-то', 'грузинский', 'фамилия', 'ватанен'], ['вариант', 'политический', 'связывать', 'то', 'что', 'дмитрий::медведев', 'заявлять', 'что', 'он', 'быть', 'какой-то', 'идеологический', 'разногласие', 'владимир::путин', 'разный', 'видение', 'путь']]","[['мы', 'звонить', 'трубка', 'брать', 'какой-то', 'мужчина', 'сказать', 'что', 'чем', 'быстро', 'мы', 'мочь', 'приезжать', 'тем', 'хороший'], ['видимо', 'какой-то', 'момент', 'ребенок', 'решать', 'навещать', 'свой', 'мама', 'ян', 'взяться', 'на', 'время', 'праздник', 'присмотреть', 'за', 'дом', 'свой', 'знакомый', 'по', 'другой', 'сведение', 'она', 'сожительствовать', 'мужчина', 'владелец', 'этот', 'дача', 'поэтому', 'часто', 'находиться', 'не', 'вместе', 'родитель', 'ребенок', 'там'], ['это', 'точный', 'он', 'слово', 'мы', 'команда', 'весь', 'друг', 'друг', 'давно', 'знать', 'мы', 'не', 'существовать', 'какой-то', 'разобщенность', 'проблема', 'взаимопонимание'], ['остальной', 'еще', 'какой-то', 'время', 'быть', 'наблюдать'], ['участник', 'пенсионный', 'рынок', 'считать', 'риск', 'тот', 'что', 'момент', 'вступление', 'сила', 'выплатный', 'закон', 'чиновник', 'не', 'успевать', 'подготавливать', 'какой-то', 'регламент', 'для', 'фонд', 'быть', 'однако', 'этот', 'случай', 'нпф', 'мочь', 'обходиться', 'без', 'этот', 'норматив']]"
30,второй_ADJ,2006,"[['через', 'пять', 'минута', 'быстрый', 'контратака', 'полуночный', 'герой', 'субботин', 'забрасывать', 'второй', 'шайба'], ['иной', 'слово', 'первый', 'выполнять', 'навес', 'левый', 'фланг', 'второй', 'кивок', 'голова', 'отправлять', 'мяч', 'сетка'], ['первый', 'из', '100', 'процент', 'блок', 'место', 'получать', '35', 'процент', 'второй', '17', 'процент'], ['на', 'второй', 'место', '23,08', 'процент', 'оказываться', 'военный', 'начальник', 'допускать', 'беспредел'], ['мы', 'быть', 'возможность', 'делать', 'это', 'второй', 'период', 'но', 'мы', 'она', 'упустить', 'сказать', 'после', 'матч', 'николай::хабибулин']]","[['этот', 'работа', 'ученый', 'вычислять', 'работа', 'по', 'преодоление', 'сила', 'земной', 'тяготение', 'определять', 'скорость', 'необходимый', 'для', 'выход', 'аппарат', 'солнечный', 'система', 'второй', 'космический', 'скорость', 'время', 'полет'], ['по', 'данные', 'исследование', 'на', 'доля', 'хедж-фонд', 'приходиться', 'около', 'треть', 'весь', 'приток', 'капитал', 'на', 'валютный', 'рынок', 'что', 'делать', 'они', 'второй', 'ключевой', 'игрок', 'после', 'крупный', 'банк', 'брокер', 'citigroup', 'deutsche::bank', 'ubs', 'hsbc', 'др'], ['такой', 'образ', 'это', 'уже', 'второй', 'двигателестроительный', 'проект', 'северсталь', '-авто', 'после', 'организация', 'производство', 'двигатель', 'для', 'fiat::ducato', 'на', 'заволжский', 'моторный', 'завод'], ['второй', 'аргумент', 'представляться', 'более', 'близкий', 'истина', 'поднимать', 'цена', 'до', 'бесконечность', 'на', 'готовый', 'дом', 'нельзя', 'земля', 'постоянно', 'дорожать'], ['уже', 'начало', 'второй', 'период', 'они', 'матч', 'против', 'витязь', 'казаться', 'что', 'игра', 'армейец', 'несмотря', 'на', 'отсутствие', 'состав', 'один', 'из', 'лидер', 'травмировать', 'юханссон', 'делать']]"
31,основной_ADJ,2006,"[['параллельно', 'сибнефть', 'татнефть', 'давить', 'на', 'основной', 'акционер', 'блокировать', 'весь', 'важный', 'решение', 'по', 'развитие', 'компания', 'частность', 'модернизация', 'мнпз'], ['какой', 'направление', 'деятельность', 'вы', 'считать', 'основной'], ['естественно', 'быть', 'набор', 'определенный', 'так', 'называть', 'фильтр', 'как', 'правило', 'они', 'схожий', 'банк', 'кредитуть', 'предприниматель', 'малый', 'бизнес', 'определять', 'срок', 'момент', 'регистрация', 'предприятие', 'месторасположение', 'вид', 'деятельность', 'так', 'финансовый', 'состояние', 'небольшой', 'предприятие', 'основной', 'требование', 'это', 'объем', 'собственный', 'средства', 'объем', 'ежемесячный', 'выручка', 'чистый', 'прибыль'], ['основной', 'нести', 'новогодний', 'подарок'], ['на', 'предприятие', 'принадлежать', 'сабадаша', 'проходить', 'обыск', 'гендиректор', 'он', 'основной', 'актив', 'водочный', 'холдинг', 'ливиз', 'быть', 'арестовывать']]","[['особый', 'внимание', 'быть', 'уделять', 'рассмотрение', 'проект', 'концепция', 'дальнейший', 'развитие', 'содружество', 'независимый', 'государство', 'план', 'основной', 'мероприятие', 'по', 'она', 'реализация'], ['на', 'свой', 'основной', 'предприятие', 'оаэ', 'компания', 'после', 'модернизация', '2006', 'год', 'производить', '861', 'тысяча', 'тонна', 'первичный', 'алюминий'], ['но', 'можно', 'выделять', 'несколько', 'основной', 'новый', 'момент'], ['неожиданно', 'быстро', 'гаснуть', 'свет', 'звучать', 'торжественный', 'музыка', 'бесноваться', 'луч', 'прожектор', 'начинаться', 'основной', 'действо', 'вечер'], ['украинский', 'клуб', 'блестяще', 'начинать', 'выступление', 'основной', 'сетка', 'лига', 'чемпион']]"
32,короткий_ADJ,2004,"[['тот', 'же', 'время', 'по', 'она', 'слово', 'госкомпание', 'который', 'являться', 'наиболее', 'вероятный', 'покупатель', 'актив', 'не', 'быть', 'проблема', 'привлечение', 'средства', 'для', 'этот', 'сделка', 'столь', 'короткий', 'срок'], ['по', 'предварительный', 'данные', 'причина', 'возгорание', 'становиться', 'короткий', 'замыкание', 'электропроводка'], ['короткий', 'совещание'], ['по', 'предварительный', 'версия', 'следствие', 'возгорание', 'происходить', 'из-за', 'короткий', 'замыкание', 'электропроводка'], ['для', 'подготовка', 'размещение', 'еврооблигация', 'банк', 'приходиться', 'бы', 'тратить', 'много', 'время', 'россия', 'он', 'мочь', 'размещать', 'заем', 'более', 'короткий', 'срок', 'говорить', 'марат::ибрагимов']]","[['первый', 'очередь', 'потому', 'что', 'такой', 'короткий', 'срок', 'не', 'удаваться', 'решать', 'два', 'проблема'], ['отправлять', 'на', 'короткий', 'номер', '7008', 'текстовый', 'сообщение', 'читатель', 'мочь', 'выражать', 'свой', 'гнев', 'свой', 'любовь', 'критиковать', 'просто', 'задавать', 'вопрос'], ['причина', 'пожар', 'становиться', 'короткий', 'замыкание', 'электрический', 'щит'], ['кадровый', 'скамейка', 'становиться', 'слишком', 'короткий'], ['хотя', 'бы', 'потому', 'что', 'старый', 'поставщик', 'они', 'скоро', 'не', 'быть', 'находить', 'новый', 'короткий', 'срок', 'очень', 'сложный']]"
33,настоящий_ADJ,2007,"[['она', 'настоящий', 'бригантина', 'один', 'из', 'два', 'десяток', 'такой', 'суд', 'днепровский', 'флотилия'], ['настоящий', 'время', 'туркмение', 'добывать', '60', 'миллиард', 'кубль', 'молочный', 'газ', 'год', 'из', 'они', 'более', '10', 'миллиард', 'кубль', 'метр', 'потреблять', 'внутри', 'страна', 'около', '42', 'миллиард', 'кубль', 'метр', 'покупать', 'газпром', 'остальной', 'объем', 'идти', 'на', 'экспорт', 'иран'], ['кто-то', 'показывать', 'забавный', 'видеоролик', 'себя', 'свой', 'студенческий', 'жизнь', 'кто-то', 'устраивать', 'на', 'сцена', 'настоящий', 'квн', 'толпа', 'участник', 'яркий', 'костюм', 'кто-то', 'просто', 'читать', 'стишок'], ['настоящий', 'время', 'теплоснабжение', 'город', 'очень', 'сегментированый', 'сказать', 'топ-менеджер', 'моэк::рбк', 'daily', 'поэтому', 'наш', 'задача', 'консолидировать', 'теплосетевой', 'актив', 'столица', 'что', 'очень', 'важный', 'для', 'гарантия', 'надежность', 'поставка', 'тепло'], ['это', 'становиться', 'настоящий', 'событие', 'ведь', 'надо', 'быть', 'еще', 'находить', 'тот', 'самый', 'елочный', 'базар', 'дефицит', 'ощущать', 'на', 'этот', 'деревце']]","[['среди', 'старый', 'хлам', 'довольно', 'часто', 'попадаться', 'настоящий', 'предмет', 'антиквариат', 'который', 'здесь', 'можно', 'покупать', 'дешево', 'даже', 'слишком'], ['ранее', 'п.::кузнецов', 'быть', 'признавать', 'невменяемый', 'настоящий', 'время', 'находиться', 'психиатрический', 'клиника'], ['настоящий', 'время', 'секретариат', 'ждать', 'ответ', 'от', 'сам', 'фигурант', 'этот', 'вопрос'], ['думать', 'что', 'ситуация', 'ближайший', 'время', 'быть', 'лишь', 'накаляться', 'пока', 'не', 'оборачиваться', 'настоящий', 'ценовой', 'война', 'который', 'мы', 'уже', 'наблюдать', 'на', 'газовый', 'рынок', 'подтверждать', 'политолог', 'владимир::фесенко'], ['ростов', 'редко', 'находить', 'настоящий', 'французский', 'белье', 'стоить', 'оно', 'мы', 'очень', 'дорого', 'там', 'многие', 'магазин', 'нет', 'пищалка', 'можно', 'незаметно', 'выносить', 'какой-нибудь', 'аксессуар']]"
34,американский_ADJ,2012,"[['американский', 'эксперт', 'сразу', 'расценивать', 'этот', 'шаг', 'как', 'ответ', 'россия', 'на', 'принятие', 'сенатый', 'сша', 'закон', 'магнитский'], ['американский', 'почтово-логистический', 'гигант', 'ups', 'наконец', '-таки', 'объявлять', 'свой', 'намерение', 'покупать', 'голландский', 'оператор', 'служба', 'экспресс-доставка', 'tnt::express'], ['съемочный', 'площадка', 'служить', 'забрасывать', 'ферма', 'руководилвсти', 'процесс', 'марио', 'сорренти', 'американский', 'фотограф', 'итальянский', 'происхождение', 'прошлогодний', 'календаресъемка', 'заведовать', 'маэстро', 'карл::лагерфельд'], ['творческий', 'директор', 'рекламный', 'агентство', 'jwt::russia::иван::чимбуров', 'не', 'согласный', 'американский', 'ученый', 'хотя', 'отмечать', 'что', 'доля', 'правда', 'они', 'вывод', 'быть'], ['впрочем', 'этот', 'часть', 'история', 'сам', 'бекмамбетов', 'похоже', 'волновать', 'мало', 'не', 'так', 'давно', 'становиться', 'американский', 'режиссер', 'данный', 'случай', 'он', 'выступать', 'как', 'стопроцентный', 'американец', 'все', 'что', 'находиться', 'за', 'предел', 'страна', 'по', 'большой', 'счет', 'значение', 'не', 'иметь']]","[['для', 'то', 'чтобы', 'делать', 'из', 'российский', 'почта', 'подобие', 'американский', 'необходимый', 'очень', 'большой', 'материальный', 'вложение', 'что', 'маловероятный'], ['датский', 'американский', 'исследователь', 'из', 'университет', 'ольберг', 'aalborg::university', 'in', 'denmark', 'мериленд', 'university', 'of', 'maryland', 'бизнес', 'школа', 'штат', 'колумбия', 'columbia::business::school', 'задаться', 'цель', 'докапываться', 'до', 'корень', 'великодушие'], ['президент::рспп::александр::шохин', 'напоминать', 'что', 'бизнес-организация', 'так', 'проводить', 'подобный', 'встреча', 'но', 'предлагать', 'рассматривать', 'предложение', 'во', 'время', 'визит', 'американский', 'президент', 'барак::обама', 'москва'], ['разумеется', 'над', 'собственно', 'российский', 'но', 'также', 'над', 'гораздо', 'более', 'могуществять', 'американский'], ['звучать', 'достойно', 'но', 'правда', 'как', 'это', 'соотноситься', 'удивительно', 'мягкий', 'приговор', 'отношение', 'ряд', 'американский', 'усыновитель', 'по', 'чей', 'вина', 'погибать', 'или', 'серьезно', 'страдать', 'ребенок']]"
35,правоохранительный_ADJ,2004,"[['надеяться', 'правоохранительный', 'орган', 'представление', 'это', 'более', 'четкий'], ['особенно', 'крупный', 'налогоплательщик', 'иметь', 'целый', 'штат', 'лицо', 'который', 'значительно', 'более', 'внимательно', 'изучать', 'законодательство', 'частность', 'налоговый', 'чем', 'правоохранительный', 'структура', 'тут', 'же', 'вырабатывать', 'схема', 'уход', 'от', 'налогообложение'], ['стоить', 'отмечать', 'что', 'соответствие', 'действовать', 'законодательство', 'обмен', 'шприец', 'так', 'находиться', 'под', 'контроль', 'правоохранительный', 'орган', 'общественный', 'организация', 'должен', 'согласовывать', 'они', 'подобный', 'мероприятие'], ['если', 'действие', 'ученик', 'правоохранительный', 'орган', 'все-таки', 'не', 'находить', 'мотив', 'преступление', 'то', 'дальнейший', 'судьба', 'школьник', 'быть', 'решать', 'инспекция', 'по', 'дело', 'несовершеннолетний'], ['казаться', 'бы', 'неприспособлеть', 'служба', 'гражданин', 'правоохранительный', 'орган', 'не', 'зачислять']]","[['почему', 'за', 'полгода', 'правоохранительный', 'орган', 'не', 'принимать', 'никакой', 'мера', 'по', 'дело', 'наш', 'читатель', 'потерять', 'почти', '4000', 'доллар', 'ибо', 'если', 'бы', 'принимать', 'то', 'ломщик', 'так', 'вольготно', 'себя', 'не', 'чувствовать', 'бы', 'на', 'земляной', 'вал'], ['правоохранительный', 'орган', 'быть', 'рано', 'вопрос', 'супруга', 'губернатор'], ['несколько', 'год', 'назад', 'красноуфимский', 'нефтяник', 'уже', 'попадать', 'поле', 'зрение', 'правоохранительный', 'орган'], ['кроме', 'то', 'иметься', 'он', 'он', 'жена', 'также', 'проходить', 'по', 'этот', 'уголовный', 'дело', 'другой', 'вполне', 'надежный', 'источник', 'заработок', 'фонд', 'содействие', 'бывший', 'сотрудник', 'правоохранительный', 'орган'], ['поэтому', 'серьезный', 'подполье', 'этот', 'место', 'нет', 'от', 'эпизодический', 'бандитский', 'налет', 'защищать', 'правоохранительный', 'орган']]"
36,высокий_ADJ,2009,"[['трехдневный', 'конференция', 'оон', 'высокий', 'уровень', 'по', 'мировой', 'финансово-', 'экономический', 'кризис', 'он', 'последствие', 'для', 'мировой', 'развитие', 'начинать', 'работа', 'среда', 'штаб-квартира', 'организация', 'нью-йорк', 'передавать', 'корреспондент', 'риа::новость'], ['высокий', 'популярность', 'расход', 'на', 'декор', 'ремонт', 'жилье', 'по', 'она', 'слово', 'мочь', 'быть', 'связывать', 'лишь', 'желание', 'заканчивать', 'обновление', 'интерьер', 'начинать', 'еще', 'стабильный', 'докризисный', 'время'], ['много', 'талантливый', 'парень', 'но', 'все', 'надо', 'доказывать', 'что', 'ты', 'мочь', 'играть', 'забивать', 'гол', 'на', 'любой', 'тот', 'число', 'на', 'самый', 'высокий', 'уровень'], ['этот', 'американский', 'ученый', 'помогать', 'анализ', 'изотоп', 'углерод', '13с', 'присутствовать', 'высокий', 'концентрация', 'среди', 'образец', 'пыль', 'не', 'встречаться', 'на', 'земля'], ['максимально', 'высокий', 'результат', '100', 'балл', 'набирать', '29', 'выпускник', 'южноуральский', 'школа']]","[['по', 'слово', 'приходько', 'число', 'приоритет', 'взаимодействие', 'рф', 'асеан', 'наращивание', 'торгово-экономический', 'сотрудничество', 'кооперация', 'область', 'обеспечение', 'региональный', 'энергетический', 'безопасность', 'высокий', 'технология', 'космический', 'исследование', 'медицина', 'информационный', 'технология', 'машиностроение'], ['апрельский', 'выпуск', 'ежемесячный', 'рейтинг', 'социальный', 'ответственность', 'российский', 'компания', 'норникель', 'первый', 'десятка', 'концерн', 'газпром', 'нефтяной', 'компания', 'лукойл', 'вновь', 'оценивать', 'эксперт', 'как', 'компания', 'наиболее', 'высокий', 'социальный', 'ответственность'], ['не', 'соглашаться', 'даже', 'если', 'вы', 'предлагать', 'более', 'высокий', 'должность'], ['они', 'не', 'смущать', 'даже', 'высокий', 'доля', 'плохой', 'долг', 'банковский', 'сектор', 'возможность', 'крушение', 'местный', 'рынок', 'недвижимость', 'на', 'который', 'раздуться', 'пузырь'], ['это', 'влиять', 'на', 'оценка', 'жюри', 'который', 'оказываться', 'не', 'самый', 'высокий']]"
37,должен_ADJ,2008,"[['не', 'думать', 'вносить', 'контракт', 'пункт', 'количество', 'день', 'который', 'гус', 'должен', 'проводить', 'россия', 'думать'], ['так', 'что', 'слово', 'должен', 'быть', 'подтверждать', 'доказательство', 'гарантия'], ['тот', 'продюсер', 'который', 'начинать', 'как-то', 'экспериментировать', 'выигрышный', 'проект', 'быть', 'выглядеть', 'кретин', 'так', 'что', 'не', 'должен', 'быть', 'делать', 'что-то', 'свой', 'авторский', 'нанимать', 'на', 'этот', 'условие'], ['все', 'остальной', 'должен', 'быть', 'акционировать', 'чтобы', 'избегать', 'банкротство', 'заявлять', 'на', 'пленарка', 'гордума', 'заместитель', 'глава', 'администрация', 'пермь::анатолий::маховиков'], ['то', 'другой', 'должен', 'происходить', 'не', 'поздно', 'октябрь']]","[['более', '500', 'участник', 'собираться', 'старинный', 'русский', 'город', 'на', 'волга', 'чтобы', 'говорить', 'то', 'какой', 'должен', 'быть', 'государство', 'демократия', 'современный', 'мир'], ['теперь', 'по', 'закон', 'водитель', 'должен', 'снимать', 'номер', 'отдавать', 'они', 'гаишник', 'получать', 'они', 'мочь', 'только', 'тогда', 'когда', 'устранить', 'неисправность'], ['вот-вот', 'мол', 'вернуться', 'должен'], ['по', 'мнение', 'депутат', 'иванов', 'годовой', 'доход', 'менеджер', 'не', 'мочь', 'превышать', 'миллион', 'рубль', 'остальной', 'должен', 'облагать', 'стопроцентный', 'налог'], ['вина', 'евсюков', 'должен', 'быть', 'доказывать', 'показание', 'свидетель', 'съемка', 'камера', 'наблюдение', 'супермаркет', 'остров', 'где', 'он', 'устраивать', 'бойня', 'также', 'ключевой', 'улика', 'следствие', 'пистолет', 'макаров', 'из', 'который', 'милиционер', 'стрелять']]"
