ID,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
0,уникальный_ADJ,0,-1,2003,-1
1,красный_ADJ,1,-1,2010,1
2,расположенный_ADJ,0,-1,2012,-1
3,прав_ADJ,0,-1,2001,-1
4,социальный_ADJ,1,-1,2010,7
5,сложный_ADJ,1,-1,2000,10
6,высокий_ADJ,1,-1,2004,8
7,земельный_ADJ,0,-1,2013,-1
8,палестинский_ADJ,1,-1,2002,10
9,народный_ADJ,1,-1,2013,6
10,головной_ADJ,0,-1,2000,-1
11,украинский_ADJ,0,-1,2008,-1
12,возможный_ADJ,1,-1,2011,9
13,мировой_ADJ,1,-1,2001,8
14,плохой_ADJ,0,-1,2002,-1
15,третий_ADJ,1,-1,2000,4
16,генеральный_ADJ,1,-1,2007,9
17,лучший_ADJ,1,-1,2006,8
18,национальный_ADJ,0,-1,2002,-1
19,корпоративный_ADJ,0,-1,2006,-1
20,возможный_ADJ,1,-1,2007,7
21,больной_ADJ,0,-1,2008,-1
22,ключевой_ADJ,0,-1,2007,-1
23,прошлый_ADJ,1,-1,2007,3
24,длинный_ADJ,1,-1,2011,1
25,нужный_ADJ,1,-1,2002,4
26,городской_ADJ,1,-1,2003,6
27,выгодный_ADJ,0,-1,2002,-1
28,генеральный_ADJ,0,-1,2002,-1
29,подконтрольный_ADJ,0,-1,2010,-1
30,весенний_ADJ,0,-1,2013,-1
31,федеральный_ADJ,1,-1,2012,7
32,европейский_ADJ,1,-1,2005,8
33,международный_ADJ,1,-1,2004,4
34,несчастный_ADJ,0,-1,2007,-1
35,литературный_ADJ,0,-1,2006,-1
36,позитивный_ADJ,0,-1,2009,-1
37,недовольный_ADJ,0,-1,2001,-1
38,существенный_ADJ,1,-1,2001,1
39,прошлый_ADJ,1,-1,2004,7
40,фантастический_ADJ,0,-1,2003,-1
41,национальный_ADJ,1,-1,2001,7
42,московский_ADJ,1,-1,2002,3
43,богатый_ADJ,0,-1,2008,-1
44,сырьевой_ADJ,0,-1,2005,-1
45,трагический_ADJ,0,-1,2013,-1
46,международный_ADJ,0,-1,2006,-1
47,социальный_ADJ,1,-1,2012,9
48,частный_ADJ,1,-1,2007,10
49,виновный_ADJ,0,-1,2009,-1
50,классический_ADJ,1,-1,2007,1
51,нынешний_ADJ,1,-1,2005,7
52,многие_ADJ,1,-1,2000,3
53,удачный_ADJ,1,-1,2006,1
54,любой_ADJ,1,-1,2007,5
55,средний_ADJ,0,-1,2007,-1
56,большой_ADJ,1,-1,2002,2
57,какой-то_ADJ,1,-1,2010,9
58,правозащитный_ADJ,1,-1,2003,2
59,московский_ADJ,1,-1,2010,3
60,неэффективный_ADJ,0,-1,2012,-1
61,шахматный_ADJ,0,-1,2004,-1
62,иностранный_ADJ,1,-1,2000,7
63,многие_ADJ,1,-1,2009,6
64,уголовный_ADJ,1,-1,2002,8
65,единый_ADJ,1,-1,2011,8
66,военный_ADJ,1,-1,2001,5
67,спортивный_ADJ,1,-1,2003,1
68,дальневосточный_ADJ,0,-1,2000,-1
69,небольшой_ADJ,1,-1,2013,8
70,светлый_ADJ,0,-1,2004,-1
71,советский_ADJ,0,-1,2009,-1
72,должен_ADJ,1,-1,2012,3
73,красный_ADJ,0,-1,2008,-1
74,общественный_ADJ,1,-1,2003,8
75,оптимальный_ADJ,0,-1,2012,-1
76,дорожный_ADJ,0,-1,2012,-1
77,европейский_ADJ,1,-1,2006,10
78,лучший_ADJ,1,-1,2003,4
79,первый_ADJ,1,-1,2006,2
