ID,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
1,ледяной_ADJ,0,-1,2009,-1
2,радиоактивный_ADJ,0,-1,2010,-1
3,австралийский_ADJ,0,-1,2007,-1
4,египетский_ADJ,0,-1,2008,-1
5,надежный_ADJ,0,-1,2013,-1
6,нравственный_ADJ,0,-1,2002,-1
7,патриотический,0,-1,2013,-1
8,уставной_ADJ,0,-1,2003,-1
9,бытовой_ADJ,0,-1,2013,-1
10,латинский_ADJ,0,-1,2010,-1
11,проектный_ADJ,0,-1,2009,-1
12,выездной_ADJ,0,-1,2010,-1
13,летный_ADJ,0,-1,2000,-1
14,ежемесячный_ADJ,0,-1,2003,-1
15,победный_ADJ,0,-1,2003,-1
16,внеочередной_ADJ,0,-1,2006,-1
17,симпатичный_ADJ,0,-1,2005,-1
18,незначительный_ADJ,0,-1,2011,-1
19,водительский_ADJ,0,-1,2012,-1
20,армянский_ADJ,0,-1,2006,-1
21,ложный_ADJ,0,-1,2007,-1
22,голевой_ADJ,0,-1,2005,-1
23,памятный_ADJ,0,-1,2004,-1
24,двусторонний_ADJ,0,-1,2011,-1
25,выездной_ADJ,0,-1,2010,-1
26,патрульный_ADJ,0,-1,2009,-1
27,обыкновенный_ADJ,0,-1,2008,-1
28,социологический_ADJ,0,-1,2007,-1
29,противоположный_ADJ,0,-1,2010,-1
30,приоритетный_ADJ,0,-1,2011,-1
31,узбекский_ADJ,0,-1,2004,-1
32,несанкционированный_ADJ,0,-1,2009,-1
33,исправительный_ADJ,0,-1,2010,-1
