ID,WORD,BASE_YEAR,OLD_CONTEXTS,NEW_CONTEXTS
196,трехлетний_ADJ,2007,"[['по', 'данные', 'рбк', 'daily', 'александр::пономаренко', 'как', 'председатель', 'совет', 'директор', 'нмтп', 'до', 'сей', 'пора', 'активно', 'участвовать', 'работа', 'порт', 'который', 'сейчас', 'реализовать', 'трехлетний', 'инвестпрограмй', 'объем', '700', 'миллион', 'доллар'], ['однако', 'информационный', 'агентство', 'рейтер', 'ссылка', 'на', 'участник', 'рынок', 'объявлять', 'что', 'газпромбанк', 'начинать', 'road-show', 'по', 'размещение', 'трехлетний', 'еврооблигация', 'номинировать', 'рубль', 'спредый', 'доходность', '7,25', '7,5', 'годовой'], ['это', 'огромный', 'деньги', '2006', 'год', 'российский', 'бюджетник', 'вид', 'заработный', 'плата', 'получать', 'свыше', 'триллион', 'рубль', 'около', '240', 'миллиард', 'долловек', 'по', 'проект', 'трехлетний', 'бюджет', '2009', 'год', 'этот', 'цифра', 'увеличиваться', 'до', 'триллион', 'рубль', 'порядка', '380', 'миллиард', 'долловек', 'по', 'сегодняшний', 'курс'], ['оттава', 'подписывать', 'трехлетний', 'контракт', 'новичок', 'форвард', 'джим', 'о""', 'брайан', 'который', 'выбирать', 'на', 'драфт', 'под', '29-й', 'номер'], ['матушка', 'спасать', 'трехлетний', 'возраст']]","[['однако', 'еще', 'при', 'он', 'трехлетний', 'бюджет', 'край', 'не', 'быть', 'закладывать', 'средства', 'на', 'финансирование', 'строительство', 'галерея'], ['уже', 'завтра', 'поправка', 'трехлетний', 'бюджет', 'поступать', 'госдума'], ['поселок', 'савинск', 'огонь', 'погибать', 'трехлетний', 'девочка'], ['23-летняе', 'оля', 'давно', 'мечтать', 'перебираться', 'трехлетний', 'сын', 'павел', 'москва'], ['замок', 'отбывать', 'трехлетний', 'наказание', 'якуб', 'колас', 'за', 'участие', 'нелегальный', 'съезд', 'учитель']]"
197,надзорный_ADJ,2009,"[['андрей::козлов', 'возглавлять', 'надзорный', 'блок', 'банк::россия'], ['юрист', 'союзпатент', 'алексей::залесов', 'удивлять', 'оперативность', 'который', 'вас', 'принимать', 'решение', 'назначение', 'дата', 'рассмотрение', 'надзорный', 'жалоба', 'по', 'мой', 'практика', 'обычно', 'от', 'момент', 'подача', 'жалоба', 'до', 'фактический', 'она', 'рассмотрение', 'проходить', 'не', 'менее', 'четыре', 'пять', 'месяц'], ['на', 'вчерашний', 'заседание', 'президиум', 'вас', 'отклонять', 'надзорный', 'жалоба', 'ландрина', 'оставлять', 'сила', 'решение', 'первый', 'апелляционный', 'кассационный', 'инстанция'], ['проверка', 'касаться', 'весь', 'орган', 'исполнительный', 'власть', 'обладать', 'контрольно', 'надзорный', 'полномочие', 'реализовать', 'разрешительный', 'процедура', 'на', 'краевой', 'муниципальный', 'уровень'], ['но', 'решать', 'становиться', 'то', 'быть', 'ли', 'три', 'крупный', 'надзорный', 'орган', 'сша', 'великобритания', 'япония', 'действовать', 'одинаково', 'не', 'насаждать', 'различный', 'стандарт']]","[['после', 'это', 'соответствующий', 'надзорный', 'орган', 'должен', 'он', 'принимать'], ['при', 'это', 'кредитный', 'организация', 'представлять', 'банк::россия', 'существенно', 'недостоверный', 'отчетность', 'скрывать', 'наличие', 'основание', 'для', 'отзыв', 'лицензия', 'на', 'осуществление', 'банковский', 'операция', 'также', 'не', 'исполнять', 'требование', 'предписание', 'надзорный', 'орган', 'сообщать', 'цб'], ['правда', 'чтобы', 'окончательно', 'добиваться', 'свой', 'александр', 'приходиться', 'проходить', 'еще', 'один', 'заседание', 'надзорный', 'инстанция', 'по', 'гражданский', 'дело', 'верховный', 'суд', 'башкирия', 'туда', 'подавать', 'жалоба', 'на', 'решение', 'верховный', 'суд'], ['прокуратура', 'приходиться', 'обращаться', 'областной', 'суд', 'который', 'ноябрь', 'прошлый', 'год', 'подтверждать', 'правота', 'надзорный', 'ведомство'], ['как', 'сообщать', 'новый', 'регион', 'пресс-служба', 'областной', 'надзорный', 'орган', 'по', 'результат', 'проверка', 'сообщение', 'поступать', 'орган', 'внутренний', 'дело', 'составить', '32', 'протокол', 'административный', 'правонарушение']]"
198,невский_ADJ,2008,"[['ни', 'питер', 'на', 'невский', 'ни', 'москва', 'на', 'арбат', 'не', 'приходиться', 'видеть', 'такой', 'пиво', 'народ', 'пить', 'не', 'на', 'улица', 'кафе'], ['сегодня', 'эффективный', 'управление', 'природный', 'ресурс', 'являться', 'основа', 'устойчивый', 'развитие', 'каждый', 'страна', 'вопрос', 'они', 'сбережения', 'внедрение', 'международный', 'система', 'экологический', 'безопасность', 'выходить', 'на', 'передний', 'план', 'приобретать', 'все', 'более', 'значимый', 'характер', 'говорить', 'приветствие', 'направить', 'медведев', 'участник', 'международный', 'невский', 'экологический', 'конгресс', 'петербург'], ['двое', 'ингуш', 'обвинять', 'подрыв', 'поезд', 'невский', 'экспресс', 'выпускать', 'на', 'свобода'], ['2007', 'год', 'ук', 'пбл', 'холдинг', 'приобретать', '61,4', 'акция', 'невский', 'мельница', 'принадлежать', 'семь', 'частный', 'лицо', 'тот', 'число', 'пакет', 'бывший', 'генеральный', 'директор', 'предприятие', 'игорь::косачев', '19,98', 'через', 'четыре', 'компания', 'pyramid::estates', 'llc', 'рейнберг::организейшн', 'корподобный', 'олдтаун::сэйлс::лтд', 'вектор::импэкс::корпус'], ['приемная', 'невский', 'альянс', 'не', 'подтверждать', 'не', 'опровергать', 'информация', 'арест', 'предприниматель']]","[['скорый', 'поезд', 'номер', '166', 'невский', 'экспресс', 'сообщение', 'москва-санкт-петербург', 'потерпеть', 'крушение', 'вечер', '27', 'ноябрь', 'на', 'октябрьский', 'железный', 'дорога', 'примерно', 'километр', 'от', 'административный', 'граница', 'новгородский', 'тверской', 'область'], ['начинать', 'она', 'свой', 'выступление', 'выразить', 'соболезнование', 'связь', 'последний', 'трагический', 'событие', 'россия', 'подрыв', 'невский', 'экспресс', 'пожар', 'ночной', 'клуб', 'пермь'], ['невский', 'проспектинский'], ['за', '44', 'минута', 'до', 'крушение', 'невский', 'экспресс', 'по', 'этот', 'же', 'маршрут', 'проехать', 'скоростной', 'поезд', 'сапсан', 'москва', 'санкт-петербург', 'следовать', 'тестовый', 'режим'], ['2007', 'год', 'пассажир', 'невский', 'экспресс', 'купить', 'полис', 'мочь', 'рассчитывать', 'максимум', 'на', '250', 'тысяча', 'рубль', 'от', 'жасо']]"
199,амурский_ADJ,2008,"[['россия', 'ареал', 'обитание', 'амурский', 'тигр', 'приморье', 'юг', 'хабаровский', 'край'], ['автомобиль', 'получать', 'житель', 'благовещенск', 'белогорск', 'белогорский', 'ивановский', 'район', 'инвалид', 'участник', 'война', 'стоять', 'на', 'учет', 'министерство', 'социальный', 'защита', 'амурский', 'область', 'для', 'обеспечение', 'транспортной', 'средства', 'бесплатно', 'или', 'на', 'льготный', 'условие', 'соответствие', 'медицинский', 'показание', '08.00', 'улица'], ['за', 'несколько', 'час', 'до', 'они', 'выход', 'там', 'быть', 'эксгумировать', 'тело', 'два', 'затворниц', 'который', 'скончаться', 'во', 'время', 'нахождение', 'под', 'земля', '20', 'ноябрь', '2007', 'год', 'гражданка', 'белоруссия', '1970', 'г.р', '18', 'февраль', '2008', 'год', 'жительница', 'амурский', 'область', '1950', 'г.р', '20', 'май', 'пещера', 'сектант', 'быть', 'ликвидировать', 'передавать', 'интерфакс'], ['мой', 'сын', 'служить', 'поселок', 'серышево', 'амурский', 'область', 'лейтенант'], ['сразу', 'же', 'после', 'совещание', 'замминистра', 'вылетать', 'тынду', 'сообщать', 'мы', 'начальник', 'отдел', 'информационный', 'политика', 'управление', 'информационный', 'политика', 'министерство', 'информационный', 'внутренний', 'политика', 'амурский', 'область', 'вячеслав::гамерман', 'оттуда', 'зея']]","[['но', 'кинофорум', 'мы', 'стараться', 'оперативно', 'решать', 'этот', 'вопрос', 'порадовать', 'оргкомитет', 'пресса', 'зампред', 'правительство', 'амурский', 'область', 'виктор::марценко'], ['создавать', 'весь', 'этот', 'чудо', 'предполагаться', 'на', 'база', 'два', 'амурский', 'вуз', 'амурский', 'госуниверситет', 'дальгау'], ['гражданин::китай', 'быть', 'задерживать', 'при', 'попытка', 'вывозить', 'за', 'предел', 'рф', 'скелет', 'краснокнижный', 'амурский', 'тигренок'], ['мандат', 'кандидат', 'получать', 'пока', 'только', 'один', 'сообщать', 'наш', 'корреспондент', 'председатель', 'избирательный', 'комиссия', 'амурский', 'область', 'анатолий::куцоножко'], ['что', 'касаться', 'расписание', 'целое', 'то', 'оно', 'изменяться', 'совсем', 'не', 'намного', 'быть', 'примерно', 'такой', 'же', 'как', 'прошлый', 'год', 'сказать', 'виктор::горбунов', 'начальник', 'отдел', 'пассажирский', 'перевозка', 'оао', 'амурский', 'пароходство']]"
200,дорогостоящий_ADJ,2008,"[['по', 'версия', 'родитель', 'третий', 'ребенок', 'они', 'продавать', 'не', 'собираться', 'хотеть', 'оставлять', 'она', 'роддом', 'поскольку', 'они', 'старший', 'дочь', 'быть', 'больной', 'лейкоз', 'который', 'требовать', 'дорогостоящий', 'лечение', 'на', 'содержание', 'третий', 'ребенок', 'они', 'не', 'быть', 'деньги'], ['дело', 'то', 'что', 'стационар', 'самый', 'дорогостоящий', 'этап', 'оказание', 'медицинский', 'помощь'], ['сейчас', 'практически', 'не', 'существовать', 'ограничение', 'на', 'оказание', 'помощь', 'ребенок', 'который', 'нуждаться', 'лекарство', 'или', 'дорогостоящий', 'операция'], ['этот', 'несложный', 'процедура', 'многое', 'способный', 'заменять', 'дорогостоящий', 'высокий', 'технология', 'оценка', 'риск', 'ранний', 'смерть', 'полагать', 'он'], ['царапина', 'прочий', 'мелкий', 'повреждение', 'неминуемо', 'появляться', 'после', 'несколько', 'неделя', 'эксплуатация', 'испортить', 'весь', 'впечатление', 'от', 'телефон', 'класс', 'люкс', 'или', 'дорогостоящий', 'машина']]","[['из-за', 'дорогостоящий', 'реструктуризация', 'оно', 'не', 'мочь', 'выходить', 'на', 'прибыль'], ['на', 'какой', 'этап', 'сейчас', 'находиться', 'два', 'самый', 'дорогостоящий', 'проект', 'инвестпрограммый', 'камаз', 'новый', 'кабина', 'полноприводный', 'автомобиль', 'на', 'завод', 'не', 'говорить'], ['работа', 'по', 'восстановление', 'природный', 'баланс', 'сложный', 'дорогостоящий', 'лишь', 'через', 'несколько', 'год', 'то', 'десятилетие', 'природный', 'мир', 'тасинский', 'болото', 'восстанавливаться', 'говорить', 'директор', 'парк', 'михаил::урванцев'], ['предлагать', 'отказываться', 'от', 'новый', 'дорогостоящий', 'лунный', 'гонка', 'вступать', 'новый', 'международный', 'партнерство', 'по', 'изучение', 'использование', 'луна'], ['по', 'идея', 'если', 'конечно', 'полностью', 'верить', 'сторонник', 'школа', 'свободный', 'рынок', 'скандинавия', 'она', 'колоссальный', 'государственный', 'расход', 'дорогостоящий', 'система', 'социальный', 'обеспечение', 'должен', 'быть', 'бы', 'первый', 'рушиться', 'под', 'удар', 'мировой', 'финансовый', 'кризис']]"
201,шиитский_ADJ,2005,"[['власть::ирак', 'обеспокоить', 'ситуация', 'вокруг', 'выборы', 'поскольку', 'победа', 'шиитский', 'партия', 'объединять', 'иракский', 'альянс', 'мочь', 'вызывать', 'волна', 'протест', 'среди', 'суннит', 'даже', 'приводить', 'гражданский', 'конфликт'], ['но', 'что', 'еще', 'важный', 'она', 'лишиться', 'прямой', 'поддержка', 'наиболее', 'влиятельный', 'шиитский', 'духовный', 'лидер', 'аятолла', 'али::систань', 'который', 'как', 'считать', 'основной', 'обеспечивать', 'она', 'победа', 'на', 'первый', 'выборы'], ['промежуточный', 'итог', 'этот', 'курс', 'известный', 'иранский', 'общество', 'складываться', 'прочный', 'консенсус', 'весь', 'общественный', 'политический', 'слой', 'по', 'вопрос', 'атомный', 'программа', 'иран', 'экспорт', 'демократия', 'соседний', 'ирак', 'помощь', 'американский', 'оружие', 'приводить', 'значительный', 'усиление', 'влияние', 'на', 'ближний', 'восток', 'шиитский', 'иерархия', 'кума', 'неджеф'], ['самолет', 'израильский', 'ввс', 'минувший', 'ночь', 'разбросать', 'над', 'столица', 'ливан', 'тысяча', 'листовка', 'призыв', 'отказывать', 'поддержка', 'радикальный', 'шиитский', 'группировка', 'хезболла'], ['весь', 'тот', 'кто', 'хотеть', 'проходить', 'на', 'церемония', 'который', 'проходить', 'шиитский', 'квартал', 'пакистанский', 'столица', 'должен', 'проходить', 'через', 'тройной', 'кордон', 'полиция', 'обыскивать', 'каждый', 'входить']]","[['еще', 'несколько', 'час', 'назад', 'на', 'улица', 'шиитский', 'пригород', 'багдад::мадинат-садр', 'начинать', 'собираться', 'человек', 'чтобы', 'первый', 'слышать', 'важный', 'для', 'они', 'новость'], ['ведь', 'даже', '74-миллиоть', 'население', 'исламский', 'революция', 'шиитский', 'держава', 'не', 'хватать', 'для', 'эксклюзивный', 'место', 'мир'], ['на', 'другой', 'берег', 'персидский', 'залив', 'суннитский', 'саудовский', 'аравия', 'арабский', 'эмират', 'большой', 'настороженность', 'относиться', 'свой', 'мощный', 'шиитский', 'сосед'], ['более', 'то', 'бригадный', 'генерал', 'не', 'исключать', 'возобновление', 'военный', 'операция', 'если', 'шиитский', 'организация', 'быть', 'устраивать', 'провокация', 'unifil', 'позволять', 'она', 'это', 'делать'], ['цинична', 'израильский', 'генерал', 'когда', 'вместо', 'военный', 'цель', 'сбрасывать', 'бомба', 'на', 'объект', 'гражданский', 'инфраструктура', 'который', 'предположительно', 'обеспечивать', 'жизнедеятельность', 'шиитский', 'радикал']]"
202,автономный_ADJ,2002,"[['учитывать', 'бурный', 'рост', 'развитие', 'мировой', 'кварцевый', 'индустрия', 'правительство', 'автономный', 'округ', 'заинтересованный', 'привлечение', 'инвестор', 'по', 'создание', 'производство', 'по', 'более', 'глубокий', 'переработка', 'кварцевый', 'концентрат'], ['что', 'же', 'такой', 'ханты-мансийский', 'автономный', 'округ', 'добираться', 'до', 'он', 'по', 'слово', 'губернатор', 'весьма', 'простой', 'два', '-три', 'час', 'лето', 'от', 'москва', 'зависимость', 'от', 'тип', 'самолет'], ['пермяцкий', 'автономный', 'округ'], ['на', 'другой', 'социальный', 'полюс', 'четыре', 'бедный', 'регион', 'читинский', 'ивановский', 'область', 'усть', '-ордынский', 'бурятский', 'автономный', 'округ', 'ингушетия', 'средний', 'денежный', 'доход', 'расчет', 'на', 'один', 'житель', 'вообще', 'низкий', 'прожиточный', 'минимум'], ['впрочем', 'рвение', 'чекист', 'не', 'мочь', 'мешать', 'избрание', 'священник', 'преображенский', 'храм', 'пярну', 'александр::паулус', 'епископ', 'ревельский', 'эстонский', 'автономный', 'православный', 'церковь', 'эстония', 'апцэ']]","[['этот', '40-тысячный', 'город', 'центр', 'автономный', 'округ', 'где', 'добываться', '60', 'процент', 'российский', 'нефть', 'газ', 'хорошо', 'известный', 'россия', 'свой', 'культурный', 'инициатива'], ['подобный', 'картина', 'наблюдать', 'на', 'камчатка', 'корякск', 'автономный', 'округ'], ['эффективность', 'работа', 'нефтедобывающий', 'отрасль', 'речь', 'идти', 'по', 'данные', 'информационный', 'агентство', 'интерфакс', 'на', 'встреча', '25', 'март', 'президент', 'рф::владимир::путин', 'губернатор', 'ханты-мансийский', 'автономный', 'округ', 'александр::филипенко'], ['самый', 'высокий', 'средний', 'начисленный', 'зарплата', 'ямало-ненецкий', 'автономный', 'округ', 'май', '2003-й', 'она', 'составлять', '19200', 'рубль'], ['как', 'ни', 'странный', 'многие', 'из', 'они', 'нет', 'аварийный', 'автономный', 'генератор', 'эвакуация', 'из', 'небоскреб', 'по', 'узкий', 'пожарный', 'лестница', 'занимать', 'много', 'время']]"
203,подавляющий_ADJ,2006,"[['ответ', 'нижегородский', 'пенсионер', 'среди', 'который', 'подавляющий', 'большинство', 'составлять', 'предприниматель', 'получать', 'обвинение', 'власть', 'соляный', 'сахарный', 'кризис'], ['мажоритарный', 'акционер', 'при', 'это', 'не', 'мочь', 'принимать', 'участие', 'голосование', 'поэтому', 'решение', 'принимать', 'голос', 'миноритарий', 'подавляющий', 'большинство', 'который', 'голосовать', 'за'], ['это', 'обстоятельство', 'также', 'желание', 'привносить', 'извне', 'новый', 'форма', 'ислам', 'достаточно', 'экстремистский', 'направление', 'сыграть', 'плохой', 'роль', 'для', 'тот', 'кто', 'пытаться', 'это', 'делать', 'потому', 'что', 'подавляющий', 'большинство', 'население', 'чеченский', 'республика', 'осознавать', 'что', 'без', 'россия', 'они', 'истинный', 'независимость', 'самостоятельность', 'не', 'обеспечивать', 'сказать', 'российский', 'лидер'], ['хотя', 'на', 'начало', '2006', 'год', 'россия', 'регистрировать', 'чуть', 'более', '30', 'партия', 'связь', 'ужесточение', 'требование', 'партия', 'подавляющий', 'большинство', 'из', 'они', 'вряд', 'ли', 'мочь', 'существовать', 'далеко'], ['официальный', 'язык', 'армянский', 'подавляющий', 'большинство', 'население', 'армянин']]","[['по', 'слово', 'первый', 'зампред', 'банковский', 'комитет', 'госдума::павел::медведев', 'подавляющий', 'большинство', 'случай', 'роль', 'конкурсный', 'управляющий', 'выступать', 'асв', 'даже', 'если', 'ликвидируть', 'банк', 'не', 'входить', 'система', 'страхование', 'вклад'], ['подавляющий', 'часть', 'очередник', 'до', '70', 'малообеспеченный', 'семья'], ['вместе', 'тот', 'президент', 'считать', 'что', 'подавляющий', 'большинство', 'округ', 'выборы', 'проходить', 'как', 'быть', 'обещать', 'власть', 'строго', 'на', 'основа', 'закон', 'результат', 'там', 'не', 'подвергаться', 'сомнение'], ['подавляющий', 'большинство', 'билет', 'оказываться', 'фан', 'маккаби'], ['желание', 'власть', 'этот', 'случай', 'противоречить', 'настроение', 'подавляющий', 'число', 'простой', 'силовик']]"
204,кадровый_ADJ,2002,"[['мочь', 'потому', 'что', 'наш', 'костяк', 'бывший', 'кадровый', 'военный', 'возглавлять', 'он', 'известный', 'республика', 'человек', 'богдан::сушинский', 'историк', 'писатель', 'автор', 'более', 'пятьдесят', 'книга', 'тот', 'число', 'казачество', 'мы', 'потянуться', 'человек', 'из', 'разный', 'уголок', 'украина', 'говорить', 'николай::иванович'], ['кадровый', 'состав', 'столичный', 'подпольный', 'бордель', 'вечный', 'головной', 'боль', 'для', 'хозяин', 'весь', 'время', 'нужный', 'новенький'], ['по', 'мнение', 'специалист', 'трагедия', 'виноватый', 'кадровый', 'кризис'], ['для', 'сравнение', 'кадровый', 'революция', 'новый', 'начальник', 'мвд', 'или', 'газпром'], ['впрочем', 'причина', 'активизация', 'бритоголовый', 'мочь', 'быть', 'гораздо', 'прозаичный', 'именно', 'грядущий', 'кадровый', 'перемена', 'силовой', 'структура']]","[['но', 'состояние', 'ли', 'нынешний', 'система', 'начальный', 'профобучение', 'закрывать', 'кадровый', 'брешь', 'за', 'ответ', 'отправляться', 'лучший', 'тульский', 'профессиональный', 'лицей', 'n4', 'который', 'быть', 'открывать', 'при', 'императорский', 'тульский', 'оружейный', 'завод', 'еще', 'октябрь', '1900', 'год'], ['один', 'пока', 'можно', 'сказать', 'уверенно', 'предпринимать', 'кадровый', 'чистка', 'исполнительный', 'власть', 'украина', 'быть', 'иметь', 'политический', 'окраска', 'связь', 'предстоящий', 'президентской', 'выборы'], ['сейчас', 'они', 'примерно', 'процент', 'от', 'общесписочный', 'кадровый', 'состав'], ['сплачивать', 'гигантский', 'офицерский', 'масса', 'помимо', 'лидер', 'мочь', 'материальный', 'безысходность', 'наш', 'кадровый', 'офицер', 'по', 'уровень', 'соцположения', 'среди', 'свой', 'коллега', 'мир', 'находиться', 'хвост', 'шестой', 'десятка'], ['межведомственный', 'комиссия', 'при', 'мэрия', 'быть', 'принимать', 'решение', 'целесообразность', 'привлечение', 'иностранный', 'иногородний', 'гражданин', 'для', 'работа', 'на', 'московский', 'предприятие', 'ну', 'не', 'глупость', 'ли', 'как', 'чиновник', 'мочь', 'оценивать', 'какой', 'работник', 'какой', 'количество', 'нужный', 'тот', 'или', 'иной', 'предприятие', 'если', 'это', 'заранее', 'часто', 'не', 'знать', 'даже', 'сам', 'руководитель', 'предприятие', 'ведь', 'ситуация', 'меняться', 'быстро', 'сегодня', 'нужный', 'один', 'специальность', 'завтра', 'другой', 'кадровый', 'политика', 'дело', 'очень', 'тонкий']]"
205,пятилетний_ADJ,2009,"[['этот', 'год', 'алтайский', 'региональный', 'филиал', 'оао', 'россельхозбанк', 'продолжать', 'поддержка', 'отрасль', 'апк', 'рамка', 'пятилетний', 'государственный', 'программа', 'развитие', 'сельский', 'хозяйство', 'регулирование', 'рынок', 'сельскохозяйственный', 'продукция', 'сырье', 'продовольствие', 'на', '2008', '2012', 'год'], ['тот', 'свидетельство', 'пятилетний', 'история', 'работа', 'липецкий', 'компания', 'спектр-л', 'заниматься', 'соответствие', 'свой', 'название', 'весь', 'спектр', 'услуга', 'по', 'создание', 'противопожарный', 'охранный', 'система'], ['колодец', 'за', 'оскорбление', 'выкидывать', 'пятилетний', 'ребенок', 'взрослый', 'мужчина', 'кемеровский', 'область'], ['помощь', 'газпромбанк', 'ренессанс', 'капитал', 'газпром', 'нефть', 'размещать', 'миллион', 'пятилетний', 'облигация', 'номинал', 'тысяча', 'рубль', 'каждый'], ['ведь', 'тренер', 'сборная', 'вспоминать', 'олег', 'после', 'почти', 'пятилетний', 'перерыв']]","[['вместе', 'они', 'погибать', 'сосед', 'наталья::касьянов', 'она', 'четырнадцатилетний', 'сын', 'павел', 'также', 'гость', 'из', 'ростов-на-дону', 'бизнесмен', 'владимир::мироненко', 'два', 'он', 'дочь', 'годовалый', 'алена', 'пятилетний', 'ирина', 'супруга', 'марина', 'она', 'родитель', 'виктор', 'лидия::игнатенко'], ['как', 'сообщать', 'новый', 'регион', 'ссылка', 'на', 'румынский', 'издание', 'adevarul', 'стремление', 'искусство', 'евгения', 'появляться', 'еще', 'пятилетний', 'возраст', 'карьера', 'певец', 'танцор', 'он', 'начинать', 'год', 'назад', 'после', 'переезд', 'румыния'], ['стоимость', 'кредитный', 'дефолтный', 'своп', 'cds', 'по', 'пятилетний', 'государственный', 'долг', 'китай', 'на', 'рынок', 'сейчас', 'составлять', '56', 'базисный', 'пункт', 'б.пункт', 'свидетельствовать', 'данные', 'cma', 'bloomberg'], ['этот', 'год', 'сюда', 'приезжать', 'пятилетний', 'сын', 'так', 'он', 'такой', 'танец', 'восторг', 'тут', 'каждый', 'день', 'плясать', 'жена', 'еще', 'отпускать', 'бояться'], ['фильм', 'проходить', 'успешно', 'гарбо', 'заключать', 'пятилетний', 'контракт']]"
