ugly	-3.00	0.39
sick	-2.83	0.42
wretched	-2.81	0.46
frightening	-2.77	0.43
miserable	-2.69	0.57
illiterate	-2.69	0.58
shocking	-2.66	0.46
shameful	-2.65	0.41
terrible	-2.65	0.50
ill	-2.63	0.45
dreadful	-2.61	0.45
hideous	-2.57	0.57
hungry	-2.53	0.59
starving	-2.50	0.58
foul	-2.49	0.54
lonely	-2.47	0.57
unimportant	-2.45	0.50
tragic	-2.44	0.58
ridiculous	-2.42	0.51
weak	-2.42	0.63
bloody	-2.38	0.62
filthy	-2.37	0.64
blind	-2.36	0.56
silly	-2.34	0.54
unnatural	-2.32	0.57
vicious	-2.31	0.70
monstrous	-2.31	0.75
disastrous	-2.29	0.67
helpless	-2.29	0.46
pitiful	-2.28	0.60
uncomfortable	-2.28	0.71
appalling	-2.27	0.62
improbable	-2.25	0.56
stricken	-2.24	0.52
insane	-2.23	0.69
queer	-2.21	0.56
worst	-2.20	0.67
sore	-2.19	0.70
unjust	-2.19	0.53
immoral	-2.17	0.72
crazy	-2.15	0.64
damned	-2.15	0.58
dizzy	-2.13	0.71
selfish	-2.13	0.74
terrifying	-2.12	0.57
goddamn	-2.12	0.70
greedy	-2.11	0.44
deaf	-2.11	0.46
tired	-2.10	0.78
depressed	-2.10	0.82
fake	-2.07	0.64
preposterous	-2.06	0.59
senseless	-2.06	0.65
fucking	-2.06	0.73
incredible	-2.03	0.65
fearful	-2.03	0.67
hopeless	-2.02	0.52
scared	-2.02	0.71
weary	-2.02	0.73
retarded	-1.99	0.71
pointless	-1.99	0.66
brutal	-1.98	0.66
bored	-1.97	0.91
needless	-1.94	0.63
cruel	-1.94	0.67
drunken	-1.94	0.48
painful	-1.93	0.63
odd	-1.93	0.43
stark	-1.92	0.61
worthless	-1.90	0.45
grotesque	-1.89	0.66
ignorant	-1.88	0.55
frustrated	-1.87	0.77
indispensable	-1.87	0.70
awful	-1.87	0.71
restless	-1.86	0.90
stupid	-1.85	0.62
ailing	-1.85	0.63
desperate	-1.84	0.64
neurotic	-1.83	0.49
uneasy	-1.83	0.92
wicked	-1.82	0.89
dirty	-1.82	0.64
strange	-1.82	0.57
nervous	-1.81	0.91
alcoholic	-1.78	0.60
shaky	-1.78	0.86
tense	-1.78	0.89
absurd	-1.77	0.56
urban	-1.76	0.85
ragged	-1.76	0.65
bewildered	-1.72	0.89
staggering	-1.72	0.61
irish	-1.72	0.91
frightened	-1.70	0.88
unemployed	-1.70	0.79
dazed	-1.70	0.75
worse	-1.70	0.65
extravagant	-1.68	0.69
stale	-1.68	0.67
identical	-1.68	0.70
embarrassing	-1.67	0.70
boring	-1.66	0.62
stinking	-1.64	0.67
dismal	-1.63	0.44
harmful	-1.63	0.45
goddam	-1.62	0.45
disturbing	-1.60	0.69
poorer	-1.60	0.86
underdeveloped	-1.59	0.83
drunk	-1.59	0.29
unaware	-1.58	0.58
unskilled	-1.58	0.74
stiff	-1.58	0.77
misleading	-1.58	0.62
oppressive	-1.57	0.66
bitter	-1.56	0.49
worried	-1.56	0.96
dangerous	-1.56	0.68
improper	-1.55	0.59
bleeding	-1.54	0.24
jealous	-1.53	0.47
undesirable	-1.52	0.64
dissatisfied	-1.52	0.85
pathetic	-1.52	0.56
numb	-1.52	0.31
goddamned	-1.48	0.94
lethal	-1.48	0.63
inadequate	-1.48	0.62
mysterious	-1.46	0.70
bruised	-1.44	0.31
mad	-1.44	0.47
eccentric	-1.42	0.61
dead	-1.41	0.58
whole	-1.40	0.76
guiding	-1.40	0.67
disappointed	-1.39	0.87
outrageous	-1.39	0.68
sad	-1.39	0.74
alien	-1.38	0.74
oblivious	-1.37	0.63
indifferent	-1.37	0.24
corrupt	-1.37	0.89
accidental	-1.37	0.77
little	-1.35	0.51
rude	-1.35	0.23
unnecessary	-1.33	0.27
unreal	-1.33	0.69
old	-1.31	0.63
lazy	-1.30	0.37
irresponsible	-1.30	0.33
guilty	-1.28	0.61
juvenile	-1.28	0.64
disappointing	-1.28	0.93
aged	-1.28	0.80
useless	-1.28	0.18
sinister	-1.27	0.66
angry	-1.26	0.67
noticeable	-1.25	0.75
unreasonable	-1.25	0.33
ashamed	-1.24	0.56
petty	-1.24	0.25
imperative	-1.24	0.78
aching	-1.23	0.42
futile	-1.23	0.16
lonesome	-1.23	0.42
unbearable	-1.23	0.20
rotten	-1.22	0.96
impatient	-1.22	0.62
disgusted	-1.21	0.54
conscious	-1.21	0.78
phony	-1.19	0.94
clumsy	-1.18	0.23
meaningless	-1.17	0.28
indignant	-1.17	0.51
hairy	-1.17	0.67
comic	-1.17	0.25
dull	-1.16	0.25
reckless	-1.14	0.38
hysterical	-1.14	0.22
furious	-1.14	0.33
swollen	-1.13	0.36
foolish	-1.13	0.85
due	-1.13	0.76
dumb	-1.12	0.44
obscene	-1.11	0.21
ruthless	-1.11	0.34
lesser	-1.10	0.89
worrying	-1.10	0.73
trivial	-1.09	0.24
unfamiliar	-1.09	0.22
fantastic	-1.08	0.70
deadly	-1.08	0.30
puzzled	-1.07	0.66
unpredictable	-1.07	0.26
human	-1.07	0.91
wounded	-1.07	0.21
lingering	-1.05	0.69
annoyed	-1.04	0.71
sleepy	-1.04	0.53
blackened	-1.04	0.15
embarrassed	-1.03	0.68
intolerable	-1.03	0.19
tricky	-1.02	0.63
bizarre	-1.02	0.33
arrogant	-1.02	0.28
ordinary	-1.01	0.76
contradictory	-1.01	0.73
ineffective	-1.00	0.17
powerless	-1.00	0.19
imminent	-0.99	0.19
false	-0.99	0.24
limp	-0.98	0.28
slick	-0.98	0.84
utter	-0.97	0.23
wary	-0.97	0.55
commonplace	-0.97	0.21
inefficient	-0.96	0.12
plentiful	-0.95	0.66
savage	-0.95	0.16
crooked	-0.95	0.28
eternal	-0.94	0.98
holy	-0.94	1.14
irrational	-0.94	0.17
severe	-0.93	0.18
unrealistic	-0.92	0.23
anxious	-0.92	0.67
asleep	-0.91	0.35
awkward	-0.91	0.32
vulgar	-0.90	0.32
captive	-0.90	0.24
chaotic	-0.90	0.14
irrelevant	-0.89	0.26
secret	-0.88	0.79
psychiatric	-0.88	0.15
uncertain	-0.88	0.41
crushing	-0.87	0.13
ominous	-0.87	0.19
sour	-0.87	0.75
harmless	-0.87	0.24
feverish	-0.86	0.34
mortal	-0.86	0.24
almighty	-0.86	0.97
outraged	-0.86	0.22
unfair	-0.85	0.28
alarming	-0.85	0.29
nasty	-0.84	0.88
violent	-0.84	0.15
immune	-0.84	0.14
excessive	-0.84	0.15
notorious	-0.84	0.33
murderous	-0.84	0.17
naked	-0.84	0.22
tattered	-0.84	0.19
chronic	-0.83	0.28
battered	-0.83	0.17
memorable	-0.82	0.73
harsh	-0.82	0.20
endless	-0.82	0.19
cramped	-0.82	0.39
eerie	-0.81	0.28
unmarried	-0.81	0.69
suspicious	-0.81	0.43
lousy	-0.80	1.03
explosive	-0.80	0.11
solitary	-0.79	0.24
frustrating	-0.79	0.26
destructive	-0.79	0.22
ultimate	-0.79	0.98
unbelievable	-0.78	0.88
rich	-0.77	0.88
brittle	-0.76	0.38
racial	-0.76	0.16
adverse	-0.75	0.17
illegal	-0.74	0.21
divine	-0.74	1.04
upstate	-0.74	0.20
racist	-0.74	0.28
greasy	-0.74	0.38
nazi	-0.74	0.22
reluctant	-0.74	0.82
incapable	-0.73	0.12
welsh	-0.73	0.22
hasty	-0.73	0.18
reactionary	-0.72	0.22
assorted	-0.72	1.02
rural	-0.72	0.24
inflationary	-0.71	0.18
curious	-0.71	0.34
motionless	-0.70	0.25
shabby	-0.70	0.19
grim	-0.70	0.24
sullen	-0.70	0.45
dreary	-0.69	0.92
hostile	-0.69	0.21
devastating	-0.69	0.19
fatal	-0.69	0.14
obsessed	-0.69	0.28
unconscious	-0.69	0.14
primitive	-0.66	0.17
aggressive	-0.66	0.13
interim	-0.66	0.14
inevitable	-0.65	0.16
mental	-0.65	0.15
gaping	-0.65	0.13
subtle	-0.65	0.94
unstable	-0.65	0.20
unacceptable	-0.65	0.18
damn	-0.64	1.03
amazed	-0.64	0.46
hesitant	-0.64	0.52
mute	-0.64	0.20
cold	-0.64	0.79
sly	-0.63	0.69
downtown	-0.63	0.11
puzzling	-0.61	0.29
afraid	-0.61	0.59
nameless	-0.61	0.14
industrialized	-0.60	0.24
tedious	-0.60	0.16
indefinite	-0.59	0.13
howling	-0.59	0.19
hot	-0.58	0.86
careless	-0.57	0.18
blank	-0.57	0.24
pure	-0.57	0.85
muddy	-0.57	0.33
unknown	-0.56	0.17
appalled	-0.56	0.38
bankrupt	-0.56	0.12
naive	-0.56	0.18
obsolete	-0.56	0.15
minor	-0.55	0.18
barefoot	-0.55	0.16
depressing	-0.55	0.67
cant	-0.54	0.23
insignificant	-0.54	0.23
conceivable	-0.54	0.18
subversive	-0.54	0.22
shattering	-0.53	0.22
forbidding	-0.52	0.16
frantic	-0.52	0.21
timid	-0.52	0.45
criminal	-0.51	0.27
sexual	-0.51	0.10
damaging	-0.51	0.25
astonished	-0.51	0.55
idle	-0.50	0.15
disciplined	-0.50	0.17
poisonous	-0.50	0.19
prevalent	-0.49	0.17
wrong	-0.49	1.00
awesome	-0.49	0.31
barren	-0.49	0.22
unrelated	-0.49	0.18
postwar	-0.48	0.11
taut	-0.48	0.36
exciting	-0.48	0.70
funny	-0.48	0.89
wholesale	-0.48	0.15
irresistible	-0.47	0.13
net	-0.47	0.14
sorry	-0.47	0.80
honorable	-0.47	0.64
confusing	-0.47	0.22
shrill	-0.47	0.27
radioactive	-0.46	0.19
multiple	-0.46	0.16
costly	-0.45	0.14
bourgeois	-0.45	0.23
dubious	-0.45	0.20
impressive	-0.45	0.32
dominican	-0.45	0.13
devoid	-0.44	0.19
soiled	-0.44	0.27
bleak	-0.44	0.33
underwater	-0.43	0.13
rival	-0.43	0.07
steaming	-0.43	0.38
territorial	-0.43	0.06
unexpected	-0.43	0.40
prolonged	-0.43	0.16
weird	-0.43	0.23
relentless	-0.42	0.14
declining	-0.42	0.12
ole	-0.42	0.20
opposing	-0.42	0.08
gravitational	-0.42	0.06
gross	-0.42	0.18
awake	-0.42	0.36
precious	-0.41	0.75
cynical	-0.41	0.35
unseen	-0.41	0.20
innumerable	-0.41	0.12
startling	-0.41	0.43
ideological	-0.41	0.08
empty	-0.40	0.23
external	-0.39	0.19
stained	-0.39	0.31
understandable	-0.39	0.22
drastic	-0.39	0.16
quarterly	-0.39	0.14
cozy	-0.39	0.70
heroic	-0.38	0.24
yearly	-0.38	0.10
controversial	-0.38	0.12
superficial	-0.38	0.10
presbyterian	-0.38	0.11
skeptical	-0.38	0.52
fascist	-0.38	0.11
arbitrary	-0.38	0.21
superior	-0.37	0.12
unsuccessful	-0.37	0.13
amused	-0.37	0.53
meager	-0.37	0.22
agricultural	-0.37	0.24
faintest	-0.37	0.13
environmental	-0.37	0.09
risky	-0.36	0.19
lone	-0.36	0.13
dual	-0.36	0.13
hungarian	-0.36	0.16
aristocratic	-0.35	0.16
romantic	-0.35	0.22
probable	-0.35	0.30
sudden	-0.35	0.19
feeble	-0.35	0.19
questionable	-0.35	0.24
bare	-0.35	0.24
vague	-0.35	0.29
antipoverty	-0.34	0.18
interested	-0.33	0.49
terrific	-0.33	0.79
dusty	-0.33	0.26
hollow	-0.33	0.28
stray	-0.33	0.16
unpopular	-0.33	0.13
successive	-0.33	0.09
acute	-0.33	0.22
countless	-0.33	0.13
archaic	-0.33	0.16
different	-0.33	0.25
untouched	-0.33	0.15
unfinished	-0.32	0.17
passive	-0.32	0.07
appropriate	-0.31	0.23
unlikely	-0.31	0.23
ambiguous	-0.31	0.19
adolescent	-0.31	0.14
tangled	-0.31	0.11
insistent	-0.30	0.27
outstretched	-0.30	0.21
familiar	-0.30	0.33
bureaucratic	-0.29	0.18
vocational	-0.29	0.24
bacterial	-0.29	0.11
static	-0.28	0.15
kerothi	-0.28	0.13
homogeneous	-0.28	0.14
alleged	-0.28	0.12
capita	-0.28	0.11
underground	-0.28	0.11
beneficial	-0.27	1.06
obscure	-0.27	0.18
ironic	-0.27	0.26
excess	-0.27	0.12
accustomed	-0.27	0.26
mechanical	-0.27	0.10
genetic	-0.27	0.13
spiritual	-0.27	0.32
distinctive	-0.27	0.21
fierce	-0.27	0.13
responsible	-0.26	0.14
ancient	-0.26	0.19
overwhelming	-0.26	0.14
atmospheric	-0.26	0.09
glazed	-0.26	0.22
lutheran	-0.26	0.22
unconstitutional	-0.26	0.11
watery	-0.26	0.20
jewish	-0.26	0.25
negligible	-0.26	0.27
palestinian	-0.26	0.15
faulty	-0.25	1.00
pastoral	-0.25	0.19
cunning	-0.25	0.27
urgent	-0.25	0.18
renewed	-0.25	0.09
peculiar	-0.25	0.96
sensational	-0.24	0.17
parochial	-0.24	0.12
comparable	-0.24	0.15
cautious	-0.24	0.35
burning	-0.24	0.20
puffing	-0.24	0.16
throbbing	-0.23	0.29
bodily	-0.23	0.12
vulnerable	-0.23	0.24
indirect	-0.23	0.15
industrial	-0.22	0.19
