,WORD,POS,LEMMA,SENTIMENT,SOURCE,SENSE
0,абсурдный,Adj,абсурдный,negative,opinion,
1,авантюристический,Adj,авантюристический,negative,opinion,
2,авантюристский,Adj,авантюристский,negative,opinion,
3,авантюрный,Adj,авантюрный,negative,opinion,
4,авральный,Adj,авральный,negative,opinion,
5,авторитарный,Adj,авторитарный,negative,opinion,
6,авторитетный,Adj,авторитетный,positive,opinion,
7,агрессивный,Adj,агрессивный,negative,opinion,
8,агрессорский,Adj,агрессорский,negative,opinion,
9,адаптационный,Adj,адаптационный,positive,opinion,
10,адаптивный,Adj,адаптивный,positive,opinion,
11,адекватный,Adj,адекватный,positive,opinion,
12,адов,Adj,адов,negative,opinion,
13,адский,Adj,адский,negative,opinion,
14,аккуратный,Adj,аккуратный,positive,opinion,
15,активный,Adj,активный,positive,opinion,
16,актуальный,Adj,актуальный,positive,opinion,
17,алогический,Adj,алогический,negative,opinion,
18,алогичный,Adj,алогичный,negative,opinion,
19,алчный,Adj,алчный,negative,opinion,
20,аморальный,Adj,аморальный,negative,opinion,
21,аморфный,Adj,аморфный,negative,opinion,БЕЗДЕЯТЕЛЬНЫЙ
22,аморфный,Adj,аморфный,negative,opinion,РАСПЛЫВЧАТЫЙ (НЕЯСНЫЙ)
23,ангажированный,Adj,ангажированный,negative,opinion,
24,ангельский,Adj,ангельский,positive,opinion,
25,анемичный,Adj,анемичный,negative,opinion,
26,аномальный,Adj,аномальный,negative,opinion,
27,антагонистический,Adj,антагонистический,negative,opinion,
28,антагонистичный,Adj,антагонистичный,negative,opinion,
29,антагонистский,Adj,антагонистский,negative,opinion,
30,антигуманистический,Adj,антигуманистический,negative,opinion,
31,антигуманный,Adj,антигуманный,negative,opinion,
32,антизаконный,Adj,антизаконный,negative,opinion,
33,антинародный,Adj,антинародный,negative,opinion,
34,антиобщественный,Adj,антиобщественный,negative,opinion,
35,антипатичный,Adj,антипатичный,negative,opinion,
36,антисоциальный,Adj,антисоциальный,negative,opinion,
37,античеловеческий,Adj,античеловеческий,negative,opinion,
38,античеловечный,Adj,античеловечный,negative,opinion,
39,апатический,Adj,апатический,negative,opinion,
40,апатичный,Adj,апатичный,negative,opinion,
41,аппетитный,Adj,аппетитный,positive,opinion,
42,аристократический,Adj,аристократический,positive,opinion,
43,аристократичный,Adj,аристократичный,positive,opinion,
44,артистический,Adj,артистический,positive,opinion,
45,артистичный,Adj,артистичный,positive,opinion,
46,архаический,Adj,архаический,negative,opinion,
47,архаичный,Adj,архаичный,negative,opinion,
48,архиважный,Adj,архиважный,positive,opinion,
49,аутсайдерский,Adj,аутсайдерский,negative,opinion,
50,аферистский,Adj,аферистский,negative,opinion,
51,афигенный,Adj,афигенный,positive,opinion,
52,бабский,Adj,бабский,negative,opinion,
53,балованный,Adj,балованный,negative,opinion,
54,банальный,Adj,банальный,negative,opinion,
55,бандитский,Adj,бандитский,negative,opinion,
56,бардачный,Adj,бардачный,negative,opinion,
57,барышнический,Adj,барышнический,negative,opinion,
58,бахвальский,Adj,бахвальский,negative,opinion,
59,башковитый,Adj,башковитый,positive,opinion,
60,бдительный,Adj,бдительный,positive,opinion,
61,беднейший,Adj,беднейший,negative,opinion,
62,бедненький,Adj,бедненький,positive,opinion,
63,бедный,Adj,бедный,negative,opinion,
64,бедняцкий,Adj,бедняцкий,negative,opinion,
65,бедственный,Adj,бедственный,negative,opinion,
66,безалаберный,Adj,безалаберный,negative,opinion,
67,безальтернативный,Adj,безальтернативный,negative,opinion,
68,безапелляционный,Adj,безапелляционность,negative,opinion,
69,безбедный,Adj,безбедный,positive,opinion,
70,безбожный,Adj,безбожный,negative,opinion,БЕССОВЕСТНЫЙ
71,безбоязненный,Adj,безбоязненный,positive,opinion,
72,безвинный,Adj,безвинный,positive,opinion,
73,безвкусный,Adj,безвкусный,negative,opinion,"БЕЗВКУСИЦА,ПЛОХОЙ ВКУС"
74,безвозбранный,Adj,безвозбранный,positive,opinion,
75,безвольный,Adj,безвольный,negative,opinion,
76,безвредный,Adj,безвредный,positive,opinion,
77,безвременный,Adj,безвременный,negative,opinion,
78,безвыходный,Adj,безвыходный,negative,opinion,
79,безголовый,Adj,безголовый,negative,opinion,
80,безграмотный,Adj,безграмотный,negative,opinion,
81,безгреховный,Adj,безгреховный,positive,opinion,
82,безгрешный,Adj,безгрешный,positive,opinion,
83,бездарный,Adj,бездарный,negative,opinion,
