YEAR,WORDS
1960,1239781
1961,637467
1962,1256834
1963,750973
1964,291088
1965,664351
1966,435127
1967,1305506
1968,97325
1969,847500
1970,3299264
1971,2536750
1972,3960060
1973,4590524
1974,3527948
1975,2940338
1976,4528679
1977,3920561
1978,4337527
1979,3512575
1980,3017280
1981,4837342
1982,4254711
1983,6057141
1984,3976432
1985,3796680
1986,2792221
1987,4142930
1988,5096122
1989,3184563
1990,6879687
1991,7101474
1992,6524558
1993,7255836
1994,7652898
1995,8269139
1996,6661887
1997,8594017
1998,6555707
1999,6326578
2000,6184016
2001,6127256
2002,3852398
2003,6679628
2004,6118030
2005,3504182
2006,2165123
2007,2242992
2008,2197034
2009,1417413
2010,638554
2011,463470
2012,360203
2013,430065

