YEAR,WORDS
1960,1171295
1961,593917
1962,1197246
1963,689713
1964,275801
1965,625773
1966,412481
1967,1245517
1968,92632
1969,802972
1970,3099908
1971,2408954
1972,3816458
1973,4369792
1974,3362507
1975,2831758
1976,4308282
1977,3766271
1978,4174374
1979,3377906
1980,2902567
1981,4599842
1982,4076131
1983,5813082
1984,3798662
1985,3619014
1986,2652145
1987,3966512
1988,4888680
1989,3046876
1990,6589839
1991,6784034
1992,6252129
1993,6952974
1994,7253286
1995,7894350
1996,6376383
1997,8225472
1998,6272569
1999,6024658
2000,5919696
2001,5861351
2002,3669444
2003,6400621
2004,5850614
2005,3340365
2006,2064216
2007,2128664
2008,2087109
2009,1352878
2010,598808
2011,428298
2012,343914
2013,413109
