ID,POS,COUNT
0,subst,57420801
1,prep,28012073
2,verb,25497508
3,det,19368991
4,adj,16657371
5,clb,12760167
6,konj,6855152
7,pron,5810611
8,sbu,5645432
9,adv,5563214
10,<komma>,5040536
11,ukjent,4715014
12,inf-merke,1928701
13,<parentes-slutt>,1333534
14,<parentes-beg>,1180562
15,<anf>,728836
16,<strek>,682428
17,symb,555616
18,interj,211859
19,prep+subst,13299
20,,11371
21,_symb,7008
22,fork,4563
23,"""",2379
24,_ukjent,2322
25,_subst,1518
26,__ukjent,781
27,._ukjent,759
28,pref,412
29,prep+det+subst,287
30,i_ukjent,223
31,tr2,197
32,J_ukjent,175
33,___ukjent,164
34,-_ukjent,137
35,■_ukjent,133
36,l_ukjent,125
37,gen,120
38,ag_te_subst,114
39,—_ukjent,110
40,"*""",107
41,r_ukjent,104
42,^_ukjent,102
43,j_ukjent,100
44,"e""",86
45,_._ukjent,83
46,"-""",73
47,av__ukjent,72
48,2_ukjent,67
49,av_ukjent,66
50,L_ukjent,66
51,_____ukjent,65
52,"r""",63
53,"gt""",62
54,____ukjent,61
55,3_ukjent,61
56,ag_te_ukjent,61
57,f_ukjent,60
58,".""",54
59,*_ukjent,54
60,„_ukjent,52
61,"i""",51
62,1_ukjent,50
63,._subst,49
64,t_ukjent,48
65,o_ukjent,45
66,n_ukjent,44
67,.._ukjent,44
68,.__ukjent,44
69,"^""",44
70,&gt_ukjent,43
71,__subst,42
72,2__ukjent,42
73,S7_subst,42
74,______ukjent,41
75,S4_subst,41
76,e_ukjent,39
77,<<<,37
78,a_ukjent,37
79,"'""",36
80,•_ukjent,36
81,l_subst,36
82,/_ukjent,35
83,s_ukjent,34
84,"""""",34
85,"■""",33
86,4_ukjent,33
87,~_ukjent,33
88,og_ukjent,32
89,5_ukjent,32
90,"t""",32
91,J_subst,32
92,"l""",31
93,6_ukjent,31
94,"•""",30
95,a£te_subst,30
96,_,28
97,i_subst,28
98,__._ukjent,28
99,disponering_av_fleksible_ror_og_kabler/index.htm_ukjent,28
