YEAR,WORDS
1960,1247346
1961,639498
1962,1299536
1963,753732
1964,293345
1965,667058
1966,436785
1967,1316955
1968,97829
1969,855259
1970,3385164
1971,2559719
1972,3990736
1973,4624313
1974,3557092
1975,2965837
1976,4557259
1977,3952772
1978,4368534
1979,3553056
1980,3046435
1981,4888171
1982,4303295
1983,6112971
1984,4012392
1985,3823984
1986,2828129
1987,4164424
1988,5125987
1989,3202714
1990,6919581
1991,7143675
1992,6570906
1993,7325988
1994,7694172
1995,8313758
1996,6706408
1997,8640697
1998,6604234
1999,6372966
2000,6232267
2001,6163332
2002,3878062
2003,6731908
2004,6158750
2005,3527621
2006,2176606
2007,2255078
2008,2211691
2009,1424321
2010,641341
2011,465242
2012,362352
2013,432564
