YEAR,WORDS
1960,769780
1961,393554
1962,708378
1963,458159
1964,177454
1965,444158
1966,302232
1967,813583
1968,60081
1969,538899
1970,2013718
1971,1566790
1972,2455614
1973,2842475
1974,2204042
1975,1810045
1976,2846213
1977,2427116
1978,2683296
1979,2147907
1980,1852328
1981,2964501
1982,2568653
1983,3743915
1984,2432609
1985,2317417
1986,1667326
1987,2589803
1988,3115073
1989,1966059
1990,4252755
1991,4404674
1992,3991397
1993,4473972
1994,4699204
1995,5060103
1996,4086215
1997,5356576
1998,4020453
1999,3901119
2000,3865601
2001,3795636
2002,2397464
2003,4174369
2004,3772041
2005,2166469
2006,1367022
2007,1376621
2008,1347512
2009,884972
2010,397222
2011,290202
2012,222904
2013,265208
