ID,WORD,SCORE
0,БЕСПОДОБНЫЙ,0.963
1,НЕВНЯТНЫЙ,0.953
3,ОБАЛДЕННЫЙ,0.9329999999999999
7,ОТВРАТНЫЙ,0.92
8,НЕЖНЫЙ,0.9159999999999999
9,ПОСРЕДСТВЕННЫЙ,0.912
10,ШИКАРНЫЙ,0.9079999999999999
11,НЕЛОГИЧНЫЙ,0.9059999999999999
12,КЛЕВЫЙ,0.898
13,СРЕДНЕНЬКИЙ,0.895
14,НЕПОНЯТНЫЙ,0.895
15,СЛАБЕНЬКИЙ,0.892
16,НЕЕСТЕСТВЕННЫЙ,0.89
19,НЕПЛОХОЙ,0.885
21,ПРЕВОСХОДНЫЙ,0.8809999999999999
22,НЕОДНОЗНАЧНЫЙ,0.879
23,ПРИКОЛЬНЫЙ,0.878
24,НЕОБЫЧНЫЙ,0.878
25,КРАСОЧНЫЙ,0.8759999999999999
26,БЕССМЫСЛЕННЫЙ,0.872
27,НЕРЕАЛЬНЫЙ,0.872
28,НЕОЖИДАННЫЙ,0.872
29,КЛАССНЫЙ,0.871
30,ОФИГИТЕЛЬНЫЙ,0.8690000000000001
31,НЕПРЕДСКАЗУЕМЫЙ,0.8690000000000001
32,ИЗУМИТЕЛЬНЫЙ,0.8640000000000001
33,НЕУДОБНЫЙ,0.862
35,ТУПОЙ,0.8540000000000001
36,УБОГИЙ,0.853
37,ПРОСТЕНЬКИЙ,0.852
39,НЕЛЕПЫЙ,0.848
41,БЕСПОЛЕЗНЫЙ,0.847
42,БЕЗУПРЕЧНЫЙ,0.846
43,НЕПРИВЫЧНЫЙ,0.846
44,УДАЧНЫЙ,0.846
45,НЕТОРОПЛИВЫЙ,0.843
47,ОДНОЗНАЧНЫЙ,0.841
48,НЕКРАСИВЫЙ,0.841
49,НЕНУЖНЫЙ,0.841
51,ОДНОРАЗОВЫЙ,0.836
53,ЗАМЕЧАТЕЛЬНЫЙ,0.836
54,ЧУДЕСНЫЙ,0.8340000000000001
56,ОТВРАТИТЕЛЬНЫЙ,0.833
57,НЕПРИЯТНЫЙ,0.83
58,НЕВЗРАЧНЫЙ,0.83
61,ВОСХИТИТЕЛЬНЫЙ,0.8270000000000001
62,РЕАЛИСТИЧНЫЙ,0.825
63,НЕВЕРОЯТНЫЙ,0.8220000000000001
64,ДОБРОТНЫЙ,0.8220000000000001
67,ТУПОВАТЫЙ,0.82
