ID,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
0,время_NOUN,1,-1,2007,3
1,страна_NOUN,1,-1,2002,3
2,налог_NOUN,0,-1,2012,-1
3,условие_NOUN,0,-1,2012,-1
4,снижение_NOUN,1,-1,2007,1
5,камера_NOUN,0,-1,2011,-1
6,соответствие_NOUN,0,-1,2004,-1
7,компания_NOUN,1,-1,2001,3
8,выплата_NOUN,0,-1,2011,-1
9,зима_NOUN,0,-1,2003,-1
10,программа_NOUN,1,-1,2008,9
11,ограничение_NOUN,0,-1,2006,-1
12,группировка_NOUN,0,-1,2000,-1
13,сайт_NOUN,0,-1,2010,-1
14,вице-премьер_NOUN,0,-1,2008,-1
15,апрель_NOUN,1,-1,2010,10
16,чемпионат_NOUN,1,-1,2011,10
17,метро_NOUN,0,-1,2004,-1
18,отличие_NOUN,0,-1,2002,-1
19,добыча_NOUN,0,-1,2012,-1
20,субъект_NOUN,0,-1,2003,-1
21,союз_NOUN,0,-1,2004,-1
22,страна_NOUN,1,-1,2006,4
23,палестинец_NOUN,0,-1,2003,-1
24,место_NOUN,1,-1,2011,4
25,начальник_NOUN,1,-1,2011,2
26,миллиард_NOUN,1,-1,2006,5
27,частность_NOUN,0,-1,2001,-1
28,родственник_NOUN,0,-1,2010,-1
29,соперник_NOUN,0,-1,2004,-1
30,жизнь_NOUN,1,-1,2001,2
31,результат_NOUN,1,-1,2009,7
32,точка_NOUN,0,-1,2002,-1
33,работа_NOUN,0,-1,2012,-1
34,власть_NOUN,1,-1,2009,8
35,бизнесмен_NOUN,0,-1,2009,-1
36,уровень_NOUN,1,-1,2013,8
37,показание_NOUN,0,-1,2003,-1
38,исследование_NOUN,0,-1,2001,-1
39,завод_NOUN,0,-1,2000,-1
40,район_NOUN,1,-1,2001,7
41,шаг_NOUN,0,-1,2013,-1
42,процент_NOUN,1,-1,2013,4
43,столкновение_NOUN,1,-1,2009,2
44,качество_NOUN,1,-1,2013,9
45,рынок_NOUN,1,-1,2003,8
46,орган_NOUN,1,-1,2001,10
47,ситуация_NOUN,1,-1,2002,7
48,отношение_NOUN,1,-1,2013,6
49,поколение_NOUN,0,-1,2006,-1
50,час_NOUN,1,-1,2000,10
51,область_NOUN,1,-1,2012,7
52,возможность_NOUN,1,-1,2007,9
53,закон_NOUN,1,-1,2001,8
54,район_NOUN,1,-1,2000,5
55,вид_NOUN,1,-1,2004,9
56,решение_NOUN,1,-1,2000,4
57,нарушение_NOUN,0,-1,2009,-1
58,гол_NOUN,0,-1,2006,-1
59,женщина_NOUN,1,-1,2005,8
60,глава_NOUN,0,-1,2011,-1
61,декабрь_NOUN,1,-1,2010,9
62,фунт_NOUN,0,-1,2012,-1
63,место_NOUN,1,-1,2004,2
64,правительство_NOUN,1,-1,2010,5
65,программа_NOUN,1,-1,2011,9
66,свобода_NOUN,1,-1,2003,2
67,мир_NOUN,1,-1,2003,9
68,эксперт_NOUN,1,-1,2006,10
69,штраф_NOUN,0,-1,2009,-1
70,тариф_NOUN,0,-1,2001,-1
71,столица_NOUN,1,-1,2005,9
72,ситуация_NOUN,1,-1,2006,7
73,заместитель_NOUN,0,-1,2004,-1
74,власть_NOUN,1,-1,2012,4
75,власть_NOUN,1,-1,2003,7
76,карта_NOUN,0,-1,2013,-1
77,возможность_NOUN,1,-1,2013,7
78,соперник_NOUN,0,-1,2005,-1
79,план_NOUN,0,-1,2008,-1
80,вес_NOUN,0,-1,2002,-1
81,группа_NOUN,1,-1,2004,4
82,человек_NOUN,1,-1,2002,2
83,матч_NOUN,1,-1,2013,5
84,спасатель_NOUN,0,-1,2009,-1
85,миллиард_NOUN,1,-1,2009,6
86,итог_NOUN,1,-1,2004,10
87,защитник_NOUN,0,-1,2001,-1
88,страна_NOUN,1,-1,2008,2
89,команда_NOUN,1,-1,2008,4
90,уровень_NOUN,1,-1,2004,6
91,форма_NOUN,0,-1,2006,-1
92,хищение_NOUN,0,-1,2012,-1
93,акция_NOUN,1,-1,2007,4
94,приз_NOUN,0,-1,2007,-1
95,отсутствие_NOUN,0,-1,2000,-1
96,река_NOUN,0,-1,2007,-1
97,момент_NOUN,1,-1,2010,6
98,коллега_NOUN,0,-1,2013,-1
99,противник_NOUN,0,-1,2012,-1
100,власть_NOUN,1,-1,2007,6
101,премия_NOUN,0,-1,2003,-1
102,миллиард_NOUN,1,-1,2008,3
103,претензия_NOUN,0,-1,2011,-1
104,взгляд_NOUN,1,-1,2007,2
105,стратегия_NOUN,0,-1,2008,-1
106,родственник_NOUN,0,-1,2002,-1
107,бизнес_NOUN,1,-1,2005,7
108,выставка_NOUN,0,-1,2002,-1
109,слух_NOUN,0,-1,2006,-1
110,условие_NOUN,0,-1,2001,-1
111,родина_NOUN,0,-1,2010,-1
112,основа_NOUN,0,-1,2000,-1
113,инфляция_NOUN,0,-1,2006,-1
114,государство_NOUN,1,-1,2012,10
115,пункт_NOUN,0,-1,2010,-1
116,очки_NOUN,0,-1,2013,-1
117,поиск_NOUN,0,-1,2003,-1
118,история_NOUN,0,-1,2000,-1
119,помощь_NOUN,1,-1,2005,3
120,организация_NOUN,1,-1,2008,8
121,продукт_NOUN,0,-1,2005,-1
122,спецслужба_NOUN,1,-1,2003,3
123,метр_NOUN,0,-1,2000,-1
124,принятие_NOUN,0,-1,2006,-1
125,гора_NOUN,0,-1,2004,-1
126,культура_NOUN,0,-1,2011,-1
127,слово_NOUN,0,-1,2003,-1
128,вещество_NOUN,0,-1,2013,-1
129,разговор_NOUN,0,-1,2010,-1
130,высота_NOUN,0,-1,2002,-1
131,герой_NOUN,0,-1,2001,-1
132,автор_NOUN,0,-1,2007,-1
133,полоса_NOUN,0,-1,2011,-1
134,течение_NOUN,0,-1,2010,-1
135,деятельность_NOUN,1,-1,2011,1
136,техника_NOUN,0,-1,2002,-1
137,усилие_NOUN,0,-1,2007,-1
138,человек_NOUN,1,-1,2006,3
139,программа_NOUN,1,-1,2000,7
140,беседа_NOUN,0,-1,2007,-1
141,нефть_NOUN,1,-1,2013,1
142,аукцион_NOUN,0,-1,2006,-1
143,количество_NOUN,0,-1,2005,-1
144,золото_NOUN,1,-1,2012,1
145,минута_NOUN,0,-1,2002,-1
146,бомба_NOUN,0,-1,2004,-1
147,матч_NOUN,1,-1,2006,6
148,власть_NOUN,1,-1,2001,6
149,участник_NOUN,1,-1,2005,4
150,главное_NOUN,0,-1,2010,-1
151,процент_NOUN,1,-1,2002,4
152,агентство_NOUN,1,-1,2008,7
153,потребитель_NOUN,0,-1,2012,-1
154,заявка_NOUN,0,-1,2008,-1
155,милиционер_NOUN,1,-1,2004,1
156,процент_NOUN,1,-1,2003,6
157,миллион_NOUN,1,-1,2000,3
158,экипаж_NOUN,0,-1,2005,-1
159,рынок_NOUN,1,-1,2008,5
160,причина_NOUN,1,-1,2013,10
161,министр_NOUN,1,-1,2001,9
162,вид_NOUN,1,-1,2005,5
163,миллиард_NOUN,1,-1,2013,2
164,больной_NOUN,0,-1,2000,-1
165,кабинет_NOUN,0,-1,2008,-1
166,край_NOUN,0,-1,2008,-1
167,часть_NOUN,1,-1,2009,9
168,способ_NOUN,0,-1,2009,-1
169,контракт_NOUN,1,-1,2006,2
170,референдум_NOUN,0,-1,2013,-1
171,воздух_NOUN,0,-1,2011,-1
172,процент_NOUN,1,-1,2011,5
173,потребитель_NOUN,0,-1,2009,-1
174,участие_NOUN,0,-1,2008,-1
175,зона_NOUN,0,-1,2004,-1
176,транспорт_NOUN,0,-1,2010,-1
177,энергия_NOUN,0,-1,2007,-1
178,уровень_NOUN,1,-1,2002,10
179,глава_NOUN,1,-1,2002,6
180,инцидент_NOUN,1,-1,2000,2
181,ребенок_NOUN,1,-1,2009,10
182,день_NOUN,0,-1,2007,-1
183,сосед_NOUN,0,-1,2001,-1
184,банк_NOUN,1,-1,2007,5
185,страна_NOUN,1,-1,2012,3
186,жизнь_NOUN,1,-1,2010,8
187,часть_NOUN,1,-1,2012,6
188,торговля_NOUN,1,-1,2003,4
189,катастрофа_NOUN,0,-1,2009,-1
190,программа_NOUN,1,-1,2006,8
191,право_NOUN,1,-1,2007,7
192,игрок_NOUN,1,-1,2010,7
193,решение_NOUN,0,-1,2007,-1
194,часть_NOUN,1,-1,2010,4
195,направление_NOUN,0,-1,2009,-1
196,решение_NOUN,1,-1,2013,3
197,участник_NOUN,0,-1,2004,-1
198,герой_NOUN,0,-1,2005,-1
199,команда_NOUN,1,-1,2010,1
200,безопасность_NOUN,0,-1,2007,-1
201,финансирование_NOUN,0,-1,2002,-1
202,группа_NOUN,1,-1,2011,6
203,энергия_NOUN,0,-1,2002,-1
204,закон_NOUN,1,-1,2006,9
205,журнал_NOUN,0,-1,2009,-1
206,уровень_NOUN,1,-1,2007,10
207,проведение_NOUN,0,-1,2005,-1
208,вагон_NOUN,0,-1,2003,-1
209,представитель_NOUN,0,-1,2005,-1
210,ряд_NOUN,0,-1,2011,-1
211,процент_NOUN,1,-1,2010,3
212,государство_NOUN,1,-1,2000,6
213,изменение_NOUN,0,-1,2003,-1
214,март_NOUN,1,-1,2011,8
215,территория_NOUN,1,-1,2005,2
216,порядок_NOUN,1,-1,2003,1
217,обращение_NOUN,0,-1,2013,-1
218,корреспондент_NOUN,1,-1,2004,8
219,организация_NOUN,1,-1,2012,8
220,организация_NOUN,1,-1,2004,5
221,страна_NOUN,1,-1,2009,3
222,вуз_NOUN,0,-1,2005,-1
223,устройство_NOUN,0,-1,2005,-1
224,спор_NOUN,0,-1,2000,-1
225,впечатление_NOUN,0,-1,2007,-1
226,приказ_NOUN,0,-1,2003,-1
227,время_NOUN,1,-1,2012,2
228,формирование_NOUN,0,-1,2012,-1
229,сервис_NOUN,0,-1,2012,-1
230,статья_NOUN,1,-1,2001,1
231,производитель_NOUN,0,-1,2008,-1
232,орган_NOUN,1,-1,2004,7
233,миллиард_NOUN,1,-1,2010,2
234,замена_NOUN,0,-1,2005,-1
235,перевод_NOUN,0,-1,2011,-1
236,программа_NOUN,1,-1,2005,1
237,желание_NOUN,0,-1,2010,-1
238,происшествие_NOUN,0,-1,2004,-1
239,план_NOUN,1,-1,2005,6
240,жизнь_NOUN,1,-1,2003,10
241,магазин_NOUN,1,-1,2002,1
242,фильм_NOUN,0,-1,2006,-1
243,травма_NOUN,0,-1,2011,-1
244,должность_NOUN,1,-1,2000,1
245,передача_NOUN,1,-1,2008,1
246,участие_NOUN,1,-1,2007,8
247,мир_NOUN,1,-1,2008,6
248,месторождение_NOUN,0,-1,2006,-1
249,кредит_NOUN,1,-1,2009,1
250,ресурс_NOUN,0,-1,2008,-1
251,представитель_NOUN,1,-1,2001,4
252,помощь_NOUN,1,-1,2000,9
253,карта_NOUN,0,-1,2000,-1
254,дело_NOUN,1,-1,2009,4
255,энергетика_NOUN,1,-1,2003,5
256,место_NOUN,1,-1,2009,5
257,время_NOUN,1,-1,2011,3
258,ситуация_NOUN,1,-1,2000,8
259,закон_NOUN,1,-1,2011,7
260,риск_NOUN,0,-1,2008,-1
261,руководитель_NOUN,1,-1,2002,9
262,решение_NOUN,1,-1,2012,5
263,сфера_NOUN,0,-1,2009,-1
264,вопрос_NOUN,1,-1,2002,5
265,установка_NOUN,0,-1,2000,-1
266,покупатель_NOUN,1,-1,2006,1
267,зарплата_NOUN,0,-1,2001,-1
268,декабрь_NOUN,1,-1,2005,10
269,парк_NOUN,0,-1,2013,-1
270,решение_NOUN,1,-1,2004,3
271,помощь_NOUN,1,-1,2008,10
272,рынок_NOUN,1,-1,2002,8
273,часть_NOUN,1,-1,2001,5
274,лицо_NOUN,0,-1,2001,-1
275,взрыв_NOUN,0,-1,2013,-1
276,сила_NOUN,1,-1,2012,9
277,доля_NOUN,0,-1,2010,-1
278,поиск_NOUN,0,-1,2013,-1
279,бомба_NOUN,0,-1,2001,-1

