ID,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
0,утро_NOUN,0,-1,2011,-1
1,законодательство_NOUN,0,-1,2008,-1
2,государство_NOUN,1,-1,2012,8
3,программа_NOUN,1,-1,2005,5
4,система_NOUN,1,-1,2010,8
5,часть_NOUN,1,-1,2012,4
6,помощь_NOUN,1,-1,2000,8
7,комитет_NOUN,0,-1,2010,-1
8,процент_NOUN,1,-1,2010,5
9,интервью_NOUN,0,-1,2001,-1
10,миллион_NOUN,1,-1,2000,3
11,игрок_NOUN,1,-1,2010,10
12,участие_NOUN,1,-1,2001,9
13,прокуратура_NOUN,0,-1,2013,-1
14,долловек_NOUN,0,-1,2010,-1
15,трибуна_NOUN,0,-1,2011,-1
16,штаб_NOUN,0,-1,2000,-1
17,редактор_NOUN,0,-1,2007,-1
18,передача_NOUN,1,-1,2008,1
19,опасность_NOUN,0,-1,2010,-1
20,серия_NOUN,0,-1,2006,-1
21,нога_NOUN,1,-1,2005,2
22,жизнь_NOUN,0,-1,2005,-1
23,регистрация_NOUN,0,-1,2003,-1
24,увеличение_NOUN,0,-1,2005,-1
25,игрок_NOUN,1,-1,2013,10
26,сестра_NOUN,0,-1,2001,-1
27,эксперт_NOUN,1,-1,2006,9
28,представитель_NOUN,1,-1,2001,2
29,рынок_NOUN,1,-1,2008,7
30,поставка_NOUN,1,-1,2011,2
31,книга_NOUN,0,-1,2009,-1
32,причина_NOUN,0,-1,2004,-1
33,совещание_NOUN,0,-1,2008,-1
34,шоу_NOUN,0,-1,2011,-1
35,книга_NOUN,0,-1,2007,-1
36,страна_NOUN,1,-1,2008,4
37,отношение_NOUN,1,-1,2013,3
38,спецслужба_NOUN,1,-1,2003,2
39,сосед_NOUN,0,-1,2007,-1
40,начало_NOUN,1,-1,2002,10
41,решение_NOUN,1,-1,2000,4
42,топливо_NOUN,0,-1,2000,-1
43,цена_NOUN,1,-1,2013,6
44,ведомство_NOUN,0,-1,2009,-1
45,поиск_NOUN,0,-1,2012,-1
46,применение_NOUN,0,-1,2011,-1
47,вид_NOUN,1,-1,2004,7
48,отчет_NOUN,0,-1,2003,-1
49,читатель_NOUN,0,-1,2000,-1
50,характер_NOUN,0,-1,2001,-1
51,помощь_NOUN,1,-1,2012,7
52,лишение_NOUN,0,-1,2001,-1
53,тема_NOUN,0,-1,2011,-1
54,организация_NOUN,1,-1,2008,9
55,управление_NOUN,0,-1,2011,-1
56,миллиард_NOUN,1,-1,2008,5
57,издание_NOUN,0,-1,2004,-1
58,доступ_NOUN,0,-1,2013,-1
59,исключение_NOUN,0,-1,2001,-1
60,ребенок_NOUN,1,-1,2010,7
61,ситуация_NOUN,1,-1,2006,5
62,восстановление_NOUN,1,-1,2007,2
63,рынок_NOUN,1,-1,2003,7
64,группа_NOUN,1,-1,2004,4
65,организация_NOUN,1,-1,2009,7
